step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.328618,0.036321,0,2,0,0,0.091267,0,0.022017,0,0,0,0,0.118692,0.121522,0.20865,0,0,0,3.20038e-05,0,1,0.972239,0.180684,6.02189e-06,0.958349,0.00952457,0.463113,0.0577028
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0428477,6.31412e-05,0.495852,0.12133,0,4,0,0,0.0919195,0,0.0991512,0,0,0,0,0.179327,0.475057,0.202494,0,0,0,3.19759e-05,0,0.999833,0.827212,0.163719,4.1513e-05,0.969108,0.0443592,0.729226,0.136636
600,60,2.5,11,5,5,1,10,1,0,0,8,9,8.33333,0.048047,0.000651489,0.404687,0.212125,0,4,4,0,0.194394,0,0.194233,0,0,0,0,0.213164,0.581084,0.21858,0,0,0,3.1963e-05,0,0.998158,0.654705,0.152903,0.000127732,0.998462,0.0874323,0.838294,0.108458
800,80,3.33333,13,5,5,3,10,3,0,0,11,9,12.5,0.048832,0.00131042,0.376987,0.290657,0,6,6,0,0.230672,0,0.267839,0,0,0,0,0.226214,0.547039,0.312777,0,0,0,3.19503e-05,0,0.995495,0.650668,0.157151,0.000248799,0.998483,0.120884,0.864559,0.0647248
1000,100,4.16667,15,5,5,5,10,5,0,0,10,7,20.8333,0.0472824,0.00245389,0.342582,0.363956,0,10,10,0,0.235063,0,0.320867,0,0,0,0,0.223722,0.487202,0.439913,0,0,0,3.19375e-05,0,0.99063,0.646549,0.159702,0.000381125,0.998524,0.145099,0.852172,0.0355995
1200,120,5,21,5,10,6,15,6,0,0,8,5,20.8333,0.0446109,0.00405898,0.310241,0.428107,0,10,10,0,0.215826,0,0.357713,0,0,0,0,0.2105,0.422317,0.479918,0,0,0,3.19248e-05,0,0.983125,0.642338,0.161033,0.000510356,0.998524,0.16205,0.83988,0.0156884
1400,140,5.83333,26,5,13,8,19,7,0,0,4,8,20.8333,0.0415011,0.00546365,0.293628,0.488469,0,10,10,0,0.191082,0,0.382332,0,0,0,0,0.191454,0.368343,0.484749,0,0,0,3.1912e-05,0,0.975045,0.638046,0.161729,0.000628783,0.998524,0.173507,0.860083,0.0068243
1600,160,6.66667,36,5,17,14,27,9,0,0,3,10,25,0.0383384,0.00677614,0.282816,0.545469,0,10,10,4,0.176329,0.0315721,0.398624,0,0,0,0,0.170416,0.328019,0.470308,0,0,0,0.000162199,0,0.966425,0.633694,0.1619,0.000733705,0.998545,0.181219,0.881867,0.00630679
1800,180,7.5,39,5,10,24,25,14,0,0,1,9,29.1667,0.035331,0.0086156,0.26387,0.599648,0,10,10,6,0.167341,0.091569,0.409261,0,0,0,0,0.14984,0.288948,0.429424,0,0,0,0.000863713,0,0.95594,0.629308,0.161227,0.000825252,0.998566,0.186387,0.899951,0.00264886
2000,200,8.33333,43,5,12,26,26,17,0,0,0,10,29.1667,0.0325799,0.0108782,0.231166,0.649161,0,10,10,10,0.164427,0.172266,0.416029,0,0,0,0,0.132612,0.276555,0.394075,0,0,0,0.00187196,0,0.943717,0.624914,0.159967,0.000904741,0.998566,0.189812,0.915341,0.00928931
2200,220,9.16667,48,5,14,29,27,21,0,0,0,10,29.1667,0.0301246,0.0128582,0.204793,0.69312,0,10,10,10,0.16661,0.29226,0.420234,0,0,0,0,0.117596,0.25933,0.365003,0,0,0,0.00593382,0,0.931413,0.62053,0.158805,0.000973951,0.998566,0.192081,0.928617,0.00541648
2400,240,10,53,5,13,35,26,27,0,0,0,8,33.3333,0.0279695,0.0150163,0.192166,0.733003,0,10,10,10,0.159584,0.412245,0.422753,0,0,0,0,0.101796,0.260779,0.340164,0,0,0,0.111858,0,0.918054,0.616173,0.157361,0.00103471,0.998587,0.193585,0.940137,0.00454261
2600,260,10.8333,56,5,11,40,25,31,0,0,0,5,37.5,0.0261045,0.0203363,0.174243,0.769833,0,10,10,10,0.151316,0.532194,0.424569,0,0,0,0,0.0873074,0.272974,0.317792,0,0,0,0.2832,0,0.902398,0.611855,0.15529,0.00108917,0.998608,0.194772,0.950143,0.00390698
2800,280,11.6667,59,5,14,40,29,30,0,0,0,6,41.6667,0.0245024,0.0282142,0.155326,0.802867,0,10,10,10,0.138573,0.652168,0.424962,0,0,0,0,0.0747059,0.249617,0.29801,0,0,0,0.639311,0,0.885193,0.607588,0.152935,0.00113849,0.998629,0.195324,0.958815,0.0017531
3000,300,12.5,65,5,12,48,31,34,0,0,0,9,41.6667,0.0231225,0.0358691,0.141446,0.832481,0,10,10,10,0.126276,0.772159,0.424146,0,0,0,0,0.0638463,0.246448,0.281501,0,0,0,0.796754,0,0.8677,0.603378,0.15081,0.00118242,0.998629,0.19541,0.966318,0.00940794
3200,320,13.3333,68,5,14,49,31,36,1,0,0,10,45.8333,0.0219325,0.0464364,0.131532,0.85983,0,10,10,10,0.1154,0.892153,0.422615,0,0,0,0,0.0546465,0.290358,0.266533,0,0,0,0.796937,0,0.848327,0.599228,0.148419,0.00122126,0.998671,0.195315,0.972802,0.025548
3400,340,14.1667,71,5,9,57,31,38,2,0,0,7,45.8333,0.0209063,0.0574343,0.117821,0.884881,0,10,10,10,0.105952,1.01215,0.420632,0,0,0,0,0.0468362,0.29593,0.253982,0,0,0,0.797058,0,0.827727,0.595134,0.146273,0.00125561,0.998671,0.195099,0.978403,0.0145459
3600,360,15,74,5,9,60,31,37,6,0,0,7,50,0.0200202,0.0716833,0.104163,0.907116,0,10,10,10,0.0982158,1.13214,0.418317,0,0,0,0,0.0402108,0.268669,0.242152,0,0,0,0.797155,0,0.80444,0.59109,0.143826,0.00128601,0.998712,0.194785,0.98324,0.0055518
3800,380,15.8333,77,5,8,64,30,39,8,0,0,8,58.3333,0.0192535,0.0974159,0.0926857,0.926812,0,10,10,10,0.0921217,1.25214,0.415764,0,0,0,0,0.0347205,0.250152,0.230692,0,0,0,0.797241,0,0.777691,0.58709,0.141044,0.00131291,0.998796,0.194392,0.987417,0.00479133
4000,400,16.6667,80,5,10,65,32,39,9,0,0,6,58.3333,0.0185881,0.131763,0.0859781,0.944792,0,9,9,9,0.0868935,1.35736,0.413067,0,0,0,0,0.0300988,0.27756,0.219981,0,0,0,0.797349,0,0.746894,0.583135,0.138166,0.00133671,0.998817,0.193937,0.991028,0.0175224
