step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.466301,0.0514074,0,2,0,0,0.0912208,0,0.022017,0,0,0,0,0.118692,0.147604,0.202886,0,0,0,3.19928e-05,0,1,0.969887,0.178143,1.48704e-07,0.958349,0.00952457,0.463113,0.0691328
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0428376,0,0.70809,0.171949,0,4,0,0,0.0919812,0,0.0971754,0,0,0,0,0.179328,0.606603,0.202544,0,0,0,3.19758e-05,0,1,0.84182,0.1652,1.01506e-06,0.965359,0.0434783,0.729786,0.172212
600,60,2.5,7,5,2,0,7,0,0,0,9,8,0,0.0479826,0,0.771624,0.32113,0,4,3,0,0.16615,0,0.189976,0,0,0,0,0.209594,0.857352,0.218645,0,0,0,3.1963e-05,0,1,0.654709,0.152929,3.07236e-06,0.99842,0.085502,0.84057,0.16381
800,80,3.33333,9,5,4,0,9,0,0,0,9,10,0,0.0487499,0,0.673882,0.471234,0,6,6,0,0.251357,0,0.268115,0,0,0,0,0.225134,0.988077,0.359774,0,0,0,3.19503e-05,0,1,0.650689,0.157197,6.02574e-06,0.99842,0.120988,0.867239,0.148984
1000,100,4.16667,11,5,6,0,11,0,0,0,6,10,0,0.0472735,0,0.545782,0.593205,0,10,10,0,0.314284,0,0.327224,0,0,0,0,0.229339,0.938653,0.468066,0,0,0,3.19375e-05,0,1,0.646589,0.160076,9.41673e-06,0.99842,0.147957,0.852157,0.100454
1200,120,5,11,5,5,1,10,1,0,0,3,9,4.16667,0.0447118,9.56222e-05,0.455235,0.693255,0,10,10,0,0.31063,0,0.367138,0,0,0,0,0.220503,0.80324,0.485122,0,0,0,3.19248e-05,0,0.999513,0.642386,0.161887,1.28524e-05,0.998441,0.166307,0.839107,0.0435787
1400,140,5.83333,11,5,5,1,10,1,0,0,1,9,4.16667,0.0416984,0.000383199,0.448198,0.784283,0,10,10,0,0.274611,0,0.392684,0,0,0,0,0.202984,0.677037,0.488974,0,0,0,3.1912e-05,0,0.997844,0.638079,0.162916,1.60566e-05,0.998441,0.178197,0.859928,0.0178583
1600,160,6.66667,11,5,5,1,10,1,0,0,1,8,4.16667,0.038604,0.000634868,0.421236,0.871551,0,10,10,4,0.251666,0.0190408,0.409078,0,0,0,0,0.185111,0.57488,0.484555,0,0,0,7.5551e-05,0,0.996103,0.633686,0.163374,1.89102e-05,0.998441,0.185971,0.881479,0.00678715
1800,180,7.5,12,5,4,3,9,3,0,0,0,8,8.33333,0.035642,0.000981248,0.388848,0.952609,0,10,10,6,0.248855,0.0779221,0.419742,0,0,0,0,0.169349,0.493638,0.446824,0,0,0,0.00048662,0,0.993592,0.629234,0.16343,2.14028e-05,0.998462,0.191167,0.899344,0.00265341
