step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.329809,0.0363762,0,2,0,0,0.0913304,0,0.0267349,0,0,0,0,0.2967,0.0684314,0.266068,0,0,0,3.20516e-05,0,1,0.982799,0.204707,7.37298e-06,0.958349,0.011565,0.462364,0.0672376
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0434603,1.11716e-05,0.500569,0.121978,0,4,0,0,0.0929283,0,0.180929,0,0,0,0,0.448038,0.224166,0.272004,0,0,0,3.1977e-05,0,0.999971,0.89723,0.198524,6.14325e-05,0.998441,0.0811972,0.704597,0.131896
600,60,2.5,12,5,6,1,11,1,0,0,9,8,4.16667,0.0497485,0.000309294,0.371046,0.209321,0,4,0,0,0.200883,0,0.358365,0,0,0,0,0.5368,0.282199,0.253497,0,0,0,3.1963e-05,0,0.99887,0.760335,0.177432,0.000215323,0.998441,0.161507,0.757404,0.105939
800,80,3.33333,13,5,4,4,9,4,0,0,8,7,16.6667,0.0518856,0.000871235,0.381421,0.286535,0,6,6,0,0.23663,0,0.486847,0,0,0,0,0.554882,0.291616,0.230668,0,0,0,3.19503e-05,0,0.9951,0.650764,0.157344,0.000455825,0.998503,0.219898,0.741137,0.0966673
1000,100,4.16667,18,5,7,6,12,6,0,0,4,10,20.8333,0.0514986,0.00227898,0.335374,0.357637,0,10,10,0,0.280106,0,0.550675,0,0,0,0,0.55347,0.258424,0.329515,0,0,0,3.19375e-05,0,0.984974,0.646788,0.160131,0.00072889,0.998524,0.249198,0.789052,0.0664044
1200,120,5,25,5,13,7,18,7,0,0,3,9,20.8333,0.0495762,0.00390591,0.29864,0.421422,0,10,10,0,0.299264,0,0.579673,0,0,0,0,0.534756,0.202608,0.472309,0,0,0,3.19248e-05,0,0.972858,0.642782,0.161728,0.000986097,0.998524,0.262802,0.822116,0.0270784
1400,140,5.83333,32,5,17,10,23,9,0,0,2,7,20.8333,0.0468763,0.0053297,0.274418,0.478347,0,10,10,0,0.287238,0,0.59064,0,0,0,0,0.498689,0.149914,0.472957,0,0,0,3.1912e-05,0,0.960472,0.638703,0.162738,0.00120882,0.998524,0.268277,0.846766,0.00976526
1600,160,6.66667,42,5,15,22,27,15,0,0,1,8,29.1667,0.0438932,0.00719496,0.258135,0.532054,0,10,10,0,0.245074,0,0.594386,0,0,0,0,0.44129,0.115913,0.48066,0,0,0,3.18993e-05,0,0.945986,0.6346,0.162813,0.00139421,0.998566,0.270489,0.866493,0.00589079
1800,180,7.5,46,5,11,30,24,22,0,0,0,10,33.3333,0.0409542,0.00972563,0.243126,0.583171,0,10,10,6,0.218952,0.0295694,0.59449,0,0,0,0,0.384153,0.118939,0.465726,0,0,0,0.000148813,0,0.928342,0.630514,0.162003,0.00155007,0.998587,0.271056,0.883093,0.0215841
