step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.426211,0.0483137,0,2,0,0,0.0913103,0,0.022017,0,0,0,0,0.118692,0.062948,0.265866,0,0,0,3.19959e-05,0,1,0.982143,0.204561,1.48704e-07,0.958349,0.00952457,0.463113,0.0591475
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0428325,0,0.619213,0.156102,0,4,0,0,0.0932672,0,0.0964036,0,0,0,0,0.179329,0.221828,0.285109,0,0,0,3.19758e-05,0,1,0.933922,0.207436,1.00909e-06,0.963184,0.043132,0.730076,0.136722
600,60,2.5,8,5,3,0,8,0,0,0,10,9,0,0.0479647,0,0.603396,0.280022,0,4,3,0,0.204445,0,0.18888,0,0,0,0,0.212987,0.28692,0.287167,0,0,0,3.1963e-05,0,1,0.856211,0.200488,3.04602e-06,0.99842,0.085006,0.841315,0.134808
800,80,3.33333,11,5,6,0,11,0,0,0,9,10,0,0.0487414,0,0.578944,0.399526,0,6,6,0,0.240921,0,0.268007,0,0,0,0,0.22323,0.291474,0.439219,0,0,0,3.19503e-05,0,1,0.754031,0.186273,6.00525e-06,0.99842,0.120942,0.867925,0.110633
1000,100,4.16667,12,5,6,1,11,1,0,0,5,9,4.16667,0.0472601,0.000193323,0.506079,0.508454,0,10,10,0,0.264218,0,0.324824,0,0,0,0,0.223103,0.257556,0.496982,0,0,0,3.19375e-05,0,0.999109,0.646898,0.169491,9.38575e-06,0.998441,0.146872,0.853218,0.0678012
1200,120,5,13,5,7,1,12,1,0,0,3,8,4.16667,0.0446618,0.000468701,0.482765,0.60799,0,10,10,0,0.25707,0,0.362907,0,0,0,0,0.212376,0.206824,0.496356,0,0,0,3.19248e-05,0,0.997546,0.642902,0.16636,1.27511e-05,0.998441,0.16439,0.839935,0.0300818
1400,140,5.83333,13,5,6,2,11,2,0,0,2,9,8.33333,0.0416082,0.000728813,0.472182,0.703991,0,10,10,0,0.228181,0,0.387865,0,0,0,0,0.194377,0.168604,0.496796,0,0,0,3.1912e-05,0,0.995765,0.63896,0.166133,1.58588e-05,0.998462,0.176009,0.860057,0.01524
1600,160,6.66667,15,5,8,2,13,2,0,0,2,9,8.33333,0.0384826,0.00123684,0.457708,0.796982,0,10,10,4,0.206532,0.0146417,0.404079,0,0,0,0,0.174038,0.164835,0.490662,0,0,0,4.47589e-05,0,0.992278,0.635029,0.165436,1.86176e-05,0.998462,0.183695,0.881694,0.023673
1800,180,7.5,17,5,8,4,13,4,0,0,1,9,16.6667,0.0354973,0.00197002,0.443217,0.887557,0,10,10,6,0.202,0.0735216,0.414528,0,0,0,0,0.152937,0.178736,0.453371,0,0,0,0.000584504,0,0.987083,0.631114,0.165282,2.10222e-05,0.998504,0.188787,0.899648,0.038343
2000,200,8.33333,22,5,11,6,16,6,0,0,0,9,16.6667,0.0327582,0.0029221,0.400814,0.971964,0,10,10,10,0.200903,0.146407,0.421078,0,0,0,0,0.134528,0.201885,0.418957,0,0,0,0.00164623,0,0.979943,0.627216,0.16548,2.31055e-05,0.998504,0.192121,0.914932,0.042475
2200,220,9.16667,26,5,13,8,19,7,0,0,0,10,16.6667,0.0303074,0.0037553,0.4001,1.05211,0,10,10,10,0.193841,0.231341,0.424943,0,0,0,0,0.115349,0.233693,0.390496,0,0,0,0.0743036,0,0.972767,0.62333,0.165458,2.49116e-05,0.998504,0.194243,0.928129,0.0437425
2400,240,10,34,5,21,8,26,8,0,0,0,10,20.8333,0.028149,0.00494144,0.389055,1.13193,0,10,10,10,0.178608,0.311679,0.426823,0,0,0,0,0.0981088,0.254222,0.366058,0,0,0,0.293443,0,0.964466,0.619395,0.164911,2.64822e-05,0.998525,0.195466,0.939597,0.0371701
2600,260,10.8333,42,5,26,11,31,11,0,0,0,7,20.8333,0.0262665,0.00623592,0.368827,1.20807,0,10,10,10,0.162314,0.394622,0.427203,0,0,0,0,0.0832683,0.244261,0.34538,0,0,0,0.653677,0,0.955531,0.615191,0.164096,2.7851e-05,0.998525,0.196029,0.949581,0.019739
2800,280,11.6667,54,5,29,20,38,16,0,0,0,7,29.1667,0.0246337,0.00807985,0.344459,1.27984,0,10,10,10,0.146622,0.479268,0.426473,0,0,0,0,0.0705586,0.228399,0.326784,0,0,0,0.799013,0,0.944913,0.610451,0.162632,2.90453e-05,0.998566,0.196239,0.95827,0.0106082
3000,300,12.5,61,5,22,34,38,23,0,0,0,10,33.3333,0.023222,0.0106553,0.32058,1.34687,0,10,10,10,0.131999,0.564866,0.424942,0,0,0,0,0.0596081,0.213299,0.306215,0,0,0,0.799064,0,0.932057,0.596216,0.158261,3.00885e-05,0.998587,0.196247,0.965822,0.0143297
3200,320,13.3333,69,5,25,39,39,30,0,0,0,9,37.5,0.022003,0.0139791,0.296611,1.4089,0,10,10,10,0.118593,0.651614,0.422834,0,0,0,0,0.050223,0.192778,0.282332,0,0,0,0.799103,0,0.9179,0.566206,0.15003,3.10011e-05,0.998608,0.196103,0.972376,0.00673722
