step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.427996,0.0482976,0,4,1,0,0.0913151,0,0.022017,0,0,0,0,0.118692,0.0696891,0.28082,0,0,0,3.20173e-05,0,1,0.982368,0.204613,1.48704e-07,0.958349,0.00952457,0.463113,0.0683399
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0428371,0,0.619317,0.156587,0,8,5,0,0.0931595,0,0.0971217,0,0,0,0,0.179328,0.257524,0.425592,0,0,0,3.19758e-05,0,1,0.925692,0.205472,1.01444e-06,0.964892,0.0434539,0.729812,0.152446
600,60,2.5,10,5,5,0,10,0,0,0,10,9,0,0.0479773,0,0.611091,0.282726,0,8,7,0,0.180628,0,0.18885,0,0,0,0,0.212388,0.304432,0.510558,0,0,0,3.1963e-05,0,1,0.838312,0.196359,3.06494e-06,0.99842,0.0849952,0.840811,0.132539
800,80,3.33333,11,5,6,0,11,0,0,0,11,10,0,0.048712,0,0.566113,0.399744,0,12,11,0,0.226736,0,0.263172,0,0,0,0,0.225936,0.323227,0.503744,0,0,0,3.19503e-05,0,1,0.716813,0.177817,5.96575e-06,0.99842,0.118759,0.868845,0.111698
1000,100,4.16667,11,5,6,0,11,0,0,0,7,7,0,0.0471553,0,0.509308,0.507137,0,17,17,0,0.268675,0,0.318231,0,0,0,0,0.226907,0.276279,0.486395,0,0,0,3.19375e-05,0,1,0.646833,0.163372,9.20611e-06,0.99842,0.143887,0.856838,0.0539177
1200,120,5,11,5,4,2,9,2,0,0,6,6,8.33333,0.0444984,0.000394434,0.480027,0.606764,0,17,17,1,0.269462,0.0038442,0.356085,0,0,0,0,0.217635,0.212435,0.515,0,0,0,3.19248e-05,0,0.998082,0.642874,0.17491,1.24225e-05,0.998462,0.16129,0.840617,0.0210544
1400,140,5.83333,12,5,5,2,10,2,0,0,5,4,8.33333,0.0414105,0.000944217,0.450521,0.699198,0,17,17,5,0.259733,0.0332199,0.381621,0,0,0,0,0.199834,0.16612,0.532627,0,0,0,0.000175345,0,0.994918,0.638916,0.187731,1.54052e-05,0.998462,0.17316,0.860439,0.00799213
1600,160,6.66667,12,5,4,3,9,3,0,0,3,3,16.6667,0.0382735,0.00184019,0.419406,0.786865,0,17,17,7,0.247201,0.0900505,0.398716,0,0,0,0,0.179296,0.13453,0.478611,0,0,0,0.000818804,0,0.989276,0.634968,0.181759,1.8078e-05,0.998504,0.181234,0.882193,0.00301475
1800,180,7.5,13,5,5,3,10,3,0,0,1,7,16.6667,0.0352927,0.00280848,0.40425,0.868678,0,17,17,10,0.247595,0.168135,0.410024,0,0,0,0,0.15949,0.132381,0.43692,0,0,0,0.00209384,0,0.982362,0.631039,0.177979,2.04347e-05,0.998504,0.186707,0.900226,0.0221068
2000,200,8.33333,15,5,6,4,11,4,0,0,1,10,16.6667,0.0325678,0.00365587,0.397792,0.949606,0,17,17,16,0.248643,0.258477,0.417387,0,0,0,0,0.141316,0.165555,0.394494,0,0,0,0.0848738,0,0.975333,0.627137,0.17148,2.25015e-05,0.998504,0.190402,0.915551,0.0437828
2200,220,9.16667,18,5,8,5,13,5,0,0,0,9,16.6667,0.0301369,0.00439744,0.377186,1.02768,0,17,17,16,0.241409,0.361365,0.422028,0,0,0,0,0.124991,0.163631,0.358241,0,0,0,0.341497,0,0.968244,0.623258,0.165482,2.43167e-05,0.998504,0.192871,0.928753,0.0284358
