step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0294937,0,0.42602,0.048208,0,4,0,0,0.0913203,0,0.0267349,0,0,0,0,0.2967,0.0579006,0.266199,0,0,0,3.20238e-05,0,1,0.983091,0.204789,1.82065e-07,0.958349,0.011565,0.462364,0.0545672
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0434764,0,0.625321,0.156361,0,8,4,0,0.093216,0,0.1841,0,0,0,0,0.448032,0.207019,0.419479,0,0,0,3.1976e-05,0,1,0.923723,0.204931,1.53913e-06,0.99842,0.0826149,0.704014,0.125793
600,60,2.5,11,5,6,0,11,0,0,0,9,10,0,0.0498383,0,0.62717,0.283456,0,8,7,0,0.191584,0,0.364901,0,0,0,0,0.526409,0.23792,0.500465,0,0,0,3.1963e-05,0,1,0.822804,0.192698,5.47734e-06,0.99842,0.164475,0.754371,0.0976245
800,80,3.33333,12,5,6,1,11,1,0,0,10,9,4.16667,0.0520604,0.000238449,0.602653,0.407772,0,12,12,0,0.217084,0,0.492584,0,0,0,0,0.54735,0.261278,0.495017,0,0,0,3.19503e-05,0,0.998435,0.693315,0.171809,1.16611e-05,0.998441,0.222517,0.7409,0.0816903
1000,100,4.16667,12,5,6,1,11,1,0,0,7,8,4.16667,0.0517728,0.000508192,0.511435,0.519644,0,17,17,0,0.249481,0,0.555531,0,0,0,0,0.548525,0.213591,0.480621,0,0,0,3.19375e-05,0,0.996112,0.646788,0.160438,1.878e-05,0.998441,0.251434,0.788618,0.0364941
1200,120,5,12,5,6,1,11,1,0,0,6,6,4.16667,0.049835,0.000744253,0.469953,0.617351,0,17,17,0,0.253066,0,0.576862,0,0,0,0,0.527607,0.171964,0.48752,0,0,0,3.19248e-05,0,0.993637,0.642743,0.162529,2.53159e-05,0.998441,0.261587,0.821495,0.0157569
1400,140,5.83333,12,5,4,3,9,3,0,0,5,5,12.5,0.0470533,0.00119177,0.461936,0.711703,0,17,17,4,0.236718,0.0362036,0.586893,0,0,0,0,0.482247,0.142082,0.536539,0,0,0,0.00020267,0,0.989225,0.638687,0.187024,3.07952e-05,0.998483,0.266637,0.846101,0.0072681
1600,160,6.66667,17,5,8,4,13,4,0,0,4,5,12.5,0.0440161,0.00194151,0.426394,0.801353,0,17,17,8,0.231197,0.13637,0.592136,0,0,0,0,0.435537,0.120606,0.533534,0,0,0,0.0013741,0,0.98179,0.634647,0.201987,3.53571e-05,0.998483,0.269524,0.86588,0.00310602
1800,180,7.5,19,5,7,7,12,7,0,0,1,7,16.6667,0.0410417,0.00276284,0.394478,0.883687,0,17,17,12,0.236701,0.263411,0.594448,0,0,0,0,0.389438,0.104195,0.481032,0,0,0,0.0907645,0,0.97303,0.630639,0.194161,3.92006e-05,0.998504,0.271086,0.882567,0.00264451
2000,200,8.33333,20,5,8,7,13,7,0,0,0,10,16.6667,0.0382879,0.00361592,0.372115,0.960517,0,17,17,17,0.236875,0.411193,0.594331,0,0,0,0,0.34673,0.129287,0.437026,0,0,0,0.401174,0,0.96312,0.626673,0.187278,4.25039e-05,0.998504,0.271548,0.897028,0.0345322
2200,220,9.16667,26,5,13,8,18,8,0,0,0,9,16.6667,0.0358193,0.00436249,0.348697,1.03302,0,17,17,17,0.230055,0.585568,0.593974,0,0,0,0,0.307309,0.133321,0.395466,0,0,0,0.798922,0,0.95322,0.622748,0.179361,4.54015e-05,0.998504,0.271897,0.909706,0.0261409
2400,240,10,32,5,17,10,22,10,0,0,0,9,16.6667,0.0336505,0.00501583,0.347356,1.10243,0,17,17,17,0.212259,0.791004,0.593347,0,0,0,0,0.263466,0.128639,0.36348,0,0,0,0.7989,0,0.943336,0.618862,0.173629,4.79925e-05,0.998504,0.272119,0.92085,0.01933
2600,260,10.8333,44,5,25,14,31,13,0,0,0,10,20.8333,0.0317641,0.00621017,0.342784,1.17208,0,17,17,17,0.189542,1.00318,0.591752,0,0,0,0,0.221231,0.127475,0.33691,0,0,0,0.798877,0,0.931351,0.615007,0.168715,5.03278e-05,0.998525,0.2719,0.930629,0.0117918
2800,280,11.6667,52,5,29,18,34,18,0,0,0,10,25,0.030124,0.00800939,0.326922,1.23941,0,17,17,17,0.168455,1.21894,0.588811,0,0,0,0,0.186114,0.114282,0.3174,0,0,0,0.798865,0,0.916841,0.611173,0.165522,5.24115e-05,0.998546,0.271167,0.939189,0.00479184
3000,300,12.5,67,5,34,28,41,26,0,0,0,9,29.1667,0.0286948,0.0103209,0.307317,1.30309,0,17,17,17,0.149187,1.42343,0.584867,0,0,0,0,0.15675,0.104384,0.303265,0,0,0,0.798886,0,0.899992,0.607347,0.163574,5.42462e-05,0.998567,0.270276,0.94667,0.00215371
3200,320,13.3333,77,5,29,43,44,33,0,0,0,6,37.5,0.0274461,0.0132079,0.288406,1.36316,0,17,17,17,0.132438,1.61829,0.580237,0,0,0,0,0.131811,0.0981026,0.292523,0,0,0,0.798921,0,0.881609,0.603522,0.162242,5.58448e-05,0.998608,0.26929,0.953206,0.00224705
3400,340,14.1667,86,5,27,54,45,41,0,0,0,8,37.5,0.0263521,0.0191736,0.273389,1.41962,0,17,17,17,0.118644,1.81621,0.575191,0,0,0,0,0.110541,0.119706,0.279686,0,0,0,0.79895,0,0.86036,0.599693,0.159465,5.72267e-05,0.998608,0.268229,0.958918,0.0215302
3600,360,15,95,5,24,66,47,44,4,0,0,9,45.8333,0.0253919,0.0282624,0.253862,1.47258,0,16,16,16,0.107564,2.00845,0.569919,0,0,0,0,0.0928021,0.132868,0.263466,0,0,0,0.79898,0,0.836895,0.595865,0.154839,5.84175e-05,0.99865,0.267109,0.963913,0.0197406
3800,380,15.8333,102,5,24,73,48,45,9,0,0,8,45.8333,0.0245458,0.041574,0.234326,1.52152,0,16,16,16,0.0987246,2.20768,0.564439,0,0,0,0,0.0780454,0.141648,0.251835,0,0,0,0.798984,0,0.809625,0.592028,0.15164,5.94523e-05,0.998671,0.265941,0.968288,0.0139472
4000,400,16.6667,107,5,26,76,49,45,13,0,0,8,50,0.0237966,0.0573676,0.219365,1.56719,0,14,14,14,0.0914527,2.39248,0.558827,0,0,0,0,0.0657899,0.145261,0.242611,0,0,0,0.799026,0,0.779887,0.588045,0.149056,6.0334e-05,0.998733,0.264746,0.972126,0.00834039
4200,420,17.5,113,5,25,83,50,46,17,0,0,8,54.1667,0.0231299,0.0831402,0.203113,1.60965,0,10,10,10,0.0853814,2.533,0.553178,0,0,0,0,0.0558355,0.144098,0.233656,0,0,0,0.799108,0,0.745686,0.583815,0.146282,6.10789e-05,0.998796,0.263556,0.975504,0.00521793
4400,440,18.3333,120,5,25,90,47,52,21,0,0,7,58.3333,0.0225341,0.119935,0.18452,1.64842,0,7,7,7,0.0803642,2.65007,0.547587,0,0,0,0,0.0475547,0.138674,0.223409,0,0,0,0.799188,0,0.704337,0.579347,0.142745,6.16852e-05,0.998817,0.262375,0.978486,0.0158978
4600,460,19.1667,129,5,29,95,54,48,23,4,0,6,62.5,0.0220001,0.156299,0.167222,1.68392,0,7,7,7,0.0764897,2.75297,0.542139,0,0,0,0,0.0409641,0.134939,0.213986,0,0,0,0.799257,0,0.661108,0.574816,0.139348,6.21899e-05,0.998859,0.261203,0.981128,0.0172897
4800,480,20,134,5,28,101,50,54,22,8,0,5,66.6667,0.0215204,0.200597,0.147719,1.71561,0,3,3,3,0.0732781,2.82612,0.536861,0,0,0,0,0.0355805,0.128521,0.204548,0,0,0,0.799349,0,0.61333,0.570378,0.135805,6.26106e-05,0.9989,0.260039,0.983476,0.0124832
