step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.457812,0.0499578,0,4,0,0,0.0913401,0,0.0267349,0,0,0,0,0.2967,0.0750403,0.266224,0,0,0,3.21433e-05,0,1,0.983273,0.204817,7.37298e-06,0.958349,0.011565,0.462364,0.0771196
400,40,1.66667,9,5,4,0,9,0,0,0,9,10,0,0.043495,0,0.711286,0.169922,0,8,4,0,0.092888,0,0.187164,0,0,0,0,0.448025,0.285582,0.409017,0,0,0,3.19765e-05,0,1,0.893912,0.197766,6.31821e-05,0.99842,0.0839888,0.703387,0.171947
600,60,2.5,10,5,3,2,8,2,0,0,9,10,8.33333,0.0499233,0.000247414,0.721807,0.317457,0,8,8,0,0.201834,0,0.369226,0,0,0,0,0.53111,0.332594,0.468475,0,0,0,3.19632e-05,0,0.998933,0.733722,0.171146,0.000227167,0.998462,0.166443,0.751684,0.145695
800,80,3.33333,12,5,5,2,10,2,0,0,10,8,8.33333,0.0521085,0.000815554,0.672074,0.457725,0,12,12,0,0.258596,0,0.488067,0,0,0,0,0.566405,0.348492,0.469044,0,0,0,3.19503e-05,0,0.99508,0.650757,0.157359,0.000476312,0.998462,0.220491,0.740754,0.107992
1000,100,4.16667,14,5,5,4,10,4,0,0,8,6,16.6667,0.0516721,0.00167857,0.649457,0.590014,0,17,17,0,0.263121,0,0.545932,0,0,0,0,0.559032,0.305304,0.478782,0,0,0,3.19375e-05,0,0.987683,0.646763,0.16039,0.000750413,0.998503,0.247099,0.788559,0.0576051
1200,120,5,19,5,8,6,14,5,0,0,7,5,20.8333,0.0496831,0.00270502,0.624271,0.717969,0,17,17,0,0.235801,0,0.57407,0,0,0,0,0.522288,0.263038,0.485674,0,0,0,3.19248e-05,0,0.977853,0.642739,0.162449,0.00100431,0.998524,0.260311,0.821629,0.0283761
1400,140,5.83333,26,5,13,8,18,8,0,0,4,5,20.8333,0.0469437,0.00427875,0.613113,0.842219,0,17,17,4,0.220569,0.038129,0.586265,0,0,0,0,0.469052,0.203488,0.467656,0,0,0,0.000235485,0,0.965484,0.638696,0.163287,0.00122404,0.998524,0.266337,0.846347,0.0114258
1600,160,6.66667,36,5,13,18,23,13,0,0,1,9,20.8333,0.043942,0.00565598,0.599897,0.964338,0,17,17,6,0.206715,0.112397,0.591582,0,0,0,0,0.414661,0.16385,0.430082,0,0,0,0.00122308,0,0.953093,0.634657,0.163742,0.00140757,0.998524,0.269258,0.86615,0.0134004
1800,180,7.5,39,5,11,23,21,18,0,0,1,9,29.1667,0.0409902,0.00818718,0.538879,1.07796,0,17,17,10,0.203861,0.199888,0.594159,0,0,0,0,0.369706,0.146349,0.396404,0,0,0,0.0294821,0,0.936118,0.63064,0.162877,0.00156179,0.998566,0.270939,0.882818,0.0164136
2000,200,8.33333,47,5,11,31,24,23,0,0,0,9,33.3333,0.0382516,0.0105488,0.503897,1.1825,0,17,17,15,0.195477,0.297356,0.594376,0,0,0,0,0.327205,0.135715,0.368428,0,0,0,0.213981,0,0.918627,0.626656,0.161938,0.00169407,0.998587,0.271552,0.897244,0.0119463
2200,220,9.16667,52,5,13,34,25,27,0,0,0,9,33.3333,0.0357922,0.0132834,0.469694,1.28003,0,17,17,15,0.185804,0.41355,0.593773,0,0,0,0,0.287737,0.126363,0.344085,0,0,0,0.595128,0,0.89883,0.622711,0.160526,0.00180973,0.998587,0.27179,0.909885,0.0127348
2400,240,10,56,5,13,38,26,30,0,0,0,9,45.8333,0.0336217,0.0197289,0.432656,1.37102,0,17,17,16,0.17488,0.54672,0.592428,0,0,0,0,0.251689,0.124567,0.32229,0,0,0,0.799055,0,0.876397,0.618804,0.158556,0.00191185,0.99865,0.271688,0.921,0.0131072
2600,260,10.8333,62,5,16,41,29,33,0,0,0,8,45.8333,0.0317244,0.0320064,0.39067,1.45335,0,17,17,16,0.166923,0.72495,0.59027,0,0,0,0,0.219341,0.131714,0.301537,0,0,0,0.799035,0,0.8494,0.614935,0.155712,0.00200241,0.99865,0.271265,0.930769,0.0229592
2800,280,11.6667,70,5,17,48,33,36,1,0,0,8,45.8333,0.0300746,0.043503,0.373795,1.52956,0,17,17,17,0.154377,0.910616,0.58734,0,0,0,0,0.186118,0.130126,0.28446,0,0,0,0.79901,0,0.821934,0.611099,0.153283,0.00208292,0.998671,0.270647,0.939335,0.0157166
3000,300,12.5,73,5,13,55,31,38,4,0,0,9,45.8333,0.028642,0.0571981,0.360655,1.60326,0,17,17,17,0.142864,1.10223,0.583618,0,0,0,0,0.156591,0.117743,0.270381,0,0,0,0.79899,0,0.790608,0.607295,0.151189,0.00215426,0.998691,0.269795,0.946829,0.0103853
3200,320,13.3333,80,5,18,57,36,38,6,0,0,10,54.1667,0.0273948,0.0792919,0.342203,1.67401,0,17,17,17,0.130889,1.28125,0.579232,0,0,0,0,0.132326,0.115522,0.257626,0,0,0,0.799,0,0.755605,0.603522,0.148917,0.00221686,0.998775,0.268811,0.953374,0.0123261
3400,340,14.1667,89,5,24,60,38,42,9,0,0,9,54.1667,0.0263054,0.11212,0.317624,1.74021,0,17,17,17,0.119792,1.45677,0.57441,0,0,0,0,0.112487,0.120722,0.245653,0,0,0,0.799011,0,0.715453,0.599779,0.146379,0.00227128,0.998775,0.267756,0.959087,0.0120314
3600,360,15,97,5,27,65,43,45,9,0,0,9,58.3333,0.025351,0.139364,0.293282,1.8016,0,17,17,17,0.110182,1.62687,0.569342,0,0,0,0,0.0963814,0.104893,0.234992,0,0,0,0.799024,0,0.674755,0.596066,0.143894,0.0023183,0.998796,0.266644,0.964077,0.0044727
3800,380,15.8333,106,5,19,82,45,46,15,0,0,7,58.3333,0.0245125,0.16254,0.272951,1.85833,0,16,16,16,0.101731,1.79338,0.564167,0,0,0,0,0.0827626,0.0936183,0.226515,0,0,0,0.79904,0,0.633429,0.592384,0.141895,0.00235876,0.998796,0.265489,0.96844,0.0022472
4000,400,16.6667,115,5,23,87,50,47,17,1,0,6,62.5,0.0237734,0.183555,0.257613,1.91159,0,16,16,16,0.0945315,1.96112,0.558962,0,0,0,0,0.0709897,0.0863714,0.221312,0,0,0,0.799052,0,0.590552,0.588732,0.14089,0.00239348,0.9989,0.26431,0.97226,0.00216587
4200,420,17.5,124,5,20,99,52,50,20,2,0,6,66.6667,0.0231195,0.221688,0.24133,1.96167,0,11,11,11,0.088752,2.10383,0.553761,0,0,0,0,0.060978,0.0817534,0.216058,0,0,0,0.799088,0,0.538975,0.585112,0.139606,0.00242316,0.998942,0.263125,0.975612,0.00440735
4400,440,18.3333,126,5,14,107,47,52,22,5,0,7,70.8333,0.022538,0.26583,0.224811,2.00839,0,7,7,7,0.0839133,2.22685,0.548565,0,0,0,0,0.0520161,0.0791628,0.210702,0,0,0,0.799144,0,0.482822,0.581523,0.13807,0.00244836,0.999004,0.261949,0.97856,0.00928622
4600,460,19.1667,130,5,18,107,50,50,23,7,0,7,75,0.0220178,0.320932,0.204357,2.05149,0,6,6,6,0.07972,2.27707,0.543377,0,0,0,0,0.0441434,0.065263,0.204414,0,0,0,0.799304,0,0.420122,0.577964,0.13599,0.00246947,0.999046,0.260782,0.981163,0.00523603
4800,480,20,134,5,18,111,50,53,23,8,0,7,75,0.0215493,0.367355,0.189004,2.09092,0,4,4,4,0.0761344,2.32765,0.538198,0,0,0,0,0.037374,0.0568731,0.198891,0,0,0,0.799415,0,0.35591,0.574435,0.134076,0.00248683,0.999046,0.259623,0.98347,0.00458528
5000,500,20.8333,0,0,0,0,0,0,0,0,0,7,100,0.0211345,0.437511,0.152095,2.12603,0,4,4,4,0.0730536,2.3798,0.535722,0,0,0,0,0.0316321,0.0484335,0.187187,0,0,0,0.799493,0,0.266295,0.570934,0.129574,0.00250265,0.999921,0.258472,0.985522,0.00212616
5200,520,21.6667,0,0,0,0,0,0,0,0,0,7,100,0.0208052,0.500994,0.120415,2.15301,0,0,0,0,0.0703557,2.38032,0.534738,0,0,0,0,0.0266771,0.0577438,0.170722,0,0,0,0.799632,0,0.164808,0.567459,0.123075,0.0025247,0.999921,0.257427,0.987318,0.0165017
