step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.458606,0.0500325,0,4,0,0,0.0913335,0,0.0267349,0,0,0,0,0.2967,0.0667934,0.26601,0,0,0,9.51258e-05,0,1,0.982664,0.204671,7.37298e-06,0.958349,0.011565,0.462364,0.0675413
400,40,1.66667,8,5,2,1,7,1,0,0,9,10,4.16667,0.0434587,4.12331e-05,0.712984,0.171032,0,8,4,0,0.0926389,0,0.181817,0,0,0,0,0.44804,0.288229,0.401262,0,0,0,3.19764e-05,0,0.999892,0.872599,0.192532,6.13621e-05,0.998441,0.0815854,0.704699,0.176257
600,60,2.5,11,5,5,1,10,1,0,0,8,9,8.33333,0.0497856,0.000524508,0.594489,0.300856,0,8,7,0,0.224146,0,0.360138,0,0,0,0,0.542615,0.307784,0.454702,0,0,0,3.19631e-05,0,0.997781,0.696693,0.161934,0.000217657,0.998462,0.162323,0.75622,0.120354
800,80,3.33333,13,5,4,4,9,4,0,0,9,10,16.6667,0.0519042,0.00128852,0.574137,0.416748,0,12,12,0,0.285918,0,0.481752,0,0,0,0,0.57891,0.255046,0.46608,0,0,0,3.19503e-05,0,0.992418,0.650745,0.157327,0.000457634,0.998503,0.217613,0.741073,0.0641773
1000,100,4.16667,18,5,8,5,13,5,0,0,7,10,20.8333,0.0515043,0.00258629,0.554329,0.530855,0,17,17,0,0.310501,0,0.545597,0,0,0,0,0.575913,0.199809,0.47516,0,0,0,3.19375e-05,0,0.982408,0.646751,0.160169,0.00073004,0.998524,0.246914,0.789001,0.0291204
1200,120,5,24,5,12,7,17,7,0,0,4,9,20.8333,0.0495723,0.00417484,0.511829,0.638895,0,17,17,0,0.294622,0,0.573724,0,0,0,0,0.544511,0.152863,0.479125,0,0,0,3.19248e-05,0,0.970216,0.642749,0.161765,0.000986421,0.998524,0.260123,0.822082,0.0117572
1400,140,5.83333,29,5,14,10,19,10,0,0,2,9,25,0.0468624,0.00565952,0.505887,0.742479,0,17,17,4,0.274791,0.0381426,0.586203,0,0,0,0,0.493398,0.116545,0.459914,0,0,0,0.000255597,0,0.957546,0.638753,0.162705,0.00120794,0.998545,0.266277,0.846758,0.00437604
1600,160,6.66667,37,5,11,21,20,17,0,0,1,8,29.1667,0.0438842,0.00770585,0.47247,0.843395,0,17,17,5,0.261116,0.108136,0.591624,0,0,0,0,0.443296,0.0895954,0.422213,0,0,0,0.00360794,0,0.942254,0.634775,0.16266,0.00139355,0.998566,0.269245,0.866501,0.00159064
1800,180,7.5,42,5,14,23,23,19,0,0,1,7,29.1667,0.0409484,0.010082,0.443717,0.935152,0,17,17,10,0.242722,0.178133,0.594236,0,0,0,0,0.400838,0.0705325,0.390783,0,0,0,0.0922844,0,0.924907,0.630826,0.162329,0.00154957,0.998566,0.270943,0.883107,0.000578293
2000,200,8.33333,50,5,14,31,24,26,0,0,1,6,37.5,0.0382213,0.0153466,0.417964,1.02171,0,17,17,16,0.220714,0.25627,0.59449,0,0,0,0,0.356594,0.0578391,0.365719,0,0,0,0.308432,0,0.904351,0.626911,0.162257,0.00168343,0.998608,0.271573,0.897477,0.000210107
2200,220,9.16667,57,5,14,38,26,31,0,0,0,8,37.5,0.0357747,0.0210452,0.404362,1.10447,0,17,17,16,0.195466,0.346395,0.594438,0,0,0,0,0.310465,0.0586493,0.344492,0,0,0,0.665762,0,0.882051,0.623036,0.161848,0.00180106,0.998608,0.272061,0.910066,0.00668355
2400,240,10,64,5,15,44,29,34,1,0,0,8,45.8333,0.0336253,0.0286241,0.364057,1.18137,0,17,17,17,0.173989,0.447543,0.594096,0,0,0,0,0.272622,0.0545732,0.327091,0,0,0,0.799395,0,0.857882,0.6192,0.161438,0.00190651,0.998671,0.272413,0.921128,0.00528368
2600,260,10.8333,72,5,19,48,34,37,1,0,0,9,45.8333,0.0317574,0.0418876,0.341577,1.25199,0,17,17,17,0.15503,0.554116,0.593035,0,0,0,0,0.236927,0.0513595,0.311327,0,0,0,0.799385,0,0.828238,0.615402,0.160431,0.00200197,0.998671,0.272436,0.930829,0.00299687
2800,280,11.6667,82,5,17,60,39,40,3,0,0,10,54.1667,0.0301409,0.0595612,0.327576,1.31921,0,17,17,17,0.138303,0.66489,0.591047,0,0,0,0,0.199901,0.0508626,0.297667,0,0,0,0.799378,0,0.795682,0.61164,0.159238,0.00208836,0.998754,0.27207,0.939313,0.0028823
3000,300,12.5,91,5,18,68,42,41,8,0,0,9,54.1667,0.0287412,0.0868452,0.310472,1.38319,0,17,17,17,0.124727,0.775839,0.58809,0,0,0,0,0.167605,0.0555067,0.284284,0,0,0,0.799378,0,0.756609,0.607909,0.157317,0.00216602,0.998775,0.271363,0.946713,0.00704052
