step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.449472,0.0493918,0,4,0,0,0.0913518,0,0.0267349,0,0,0,0,0.2967,0.0582117,0.267192,0,0,0,3.22584e-05,0,1,0.985922,0.205469,7.37298e-06,0.958349,0.011565,0.462364,0.0600972
400,40,1.66667,9,5,4,0,9,0,0,0,9,10,0,0.0434337,0,0.704923,0.168247,0,8,4,0,0.0927971,0,0.176931,0,0,0,0,0.448049,0.283719,0.401523,0,0,0,3.19772e-05,0,1,0.873389,0.192716,6.01035e-05,0.99842,0.0794025,0.705613,0.176029
600,60,2.5,10,5,4,1,9,1,0,0,12,8,12.5,0.0496318,0.000826628,0.564065,0.284611,0,8,7,0,0.241173,0,0.348721,0,0,0,0,0.548879,0.282642,0.446114,0,0,0,3.19633e-05,0,0.996699,0.679663,0.156796,0.000207463,0.998483,0.157163,0.76143,0.105725
800,80,3.33333,12,5,4,3,9,3,0,0,14,8,12.5,0.0516157,0.00162196,0.5601,0.396858,0,12,12,0,0.26008,0,0.468057,0,0,0,0,0.572811,0.25118,0.468124,0,0,0,3.19504e-05,0,0.9913,0.650743,0.157341,0.000432864,0.998483,0.211396,0.741457,0.0685807
1000,100,4.16667,14,5,5,4,10,4,0,0,10,9,16.6667,0.05114,0.00255672,0.519748,0.504267,0,17,17,0,0.266268,0,0.536733,0,0,0,0,0.564447,0.215051,0.477069,0,0,0,3.19375e-05,0,0.984033,0.646743,0.1602,0.00069136,0.998503,0.242853,0.789664,0.0429975
1200,120,5,19,5,7,7,12,7,0,0,8,7,20.8333,0.0492758,0.00405304,0.483423,0.604694,0,17,17,0,0.255059,0,0.573481,0,0,0,0,0.533881,0.169766,0.482527,0,0,0,3.19248e-05,0,0.972885,0.642732,0.161774,0.000946779,0.998524,0.259948,0.822926,0.0191495
1400,140,5.83333,26,5,11,10,16,10,0,0,6,5,25,0.0466664,0.00547368,0.509121,0.704932,0,17,17,4,0.242382,0.0326882,0.58579,0,0,0,0,0.480883,0.133177,0.470011,0,0,0,0.000199125,0,0.960475,0.638724,0.162773,0.00117415,0.998545,0.266028,0.8476,0.00763196
1600,160,6.66667,33,5,14,14,19,14,0,0,5,3,25,0.0437465,0.00741513,0.4972,0.805931,0,17,17,6,0.235311,0.1124,0.591257,0,0,0,0,0.428533,0.104945,0.430867,0,0,0,0.00214816,0,0.945605,0.634732,0.162812,0.0013643,0.998545,0.269018,0.86725,0.00290979
1800,180,7.5,39,5,15,19,20,19,0,0,0,9,29.1667,0.040849,0.00953243,0.465959,0.903748,0,17,17,10,0.22415,0.202395,0.594123,0,0,0,0,0.37675,0.0917568,0.397571,0,0,0,0.0952987,0,0.929324,0.630767,0.162332,0.00152419,0.998566,0.270831,0.883738,0.00934967
2000,200,8.33333,44,5,15,24,22,22,0,0,0,10,29.1667,0.0381475,0.0116805,0.471447,0.997652,0,17,17,15,0.205707,0.292765,0.594467,0,0,0,0,0.32681,0.127815,0.369568,0,0,0,0.33942,0,0.91198,0.626835,0.161573,0.00166124,0.998566,0.271502,0.897993,0.0413336
2200,220,9.16667,53,5,17,31,28,25,0,0,0,9,41.6667,0.0357144,0.0188436,0.441308,1.08988,0,17,17,16,0.184978,0.397531,0.593793,0,0,0,0,0.280564,0.11073,0.343189,0,0,0,0.741135,0,0.889272,0.62291,0.1595,0.00178092,0.998629,0.27171,0.910483,0.0182404
2400,240,10,60,5,13,42,29,31,0,0,0,9,41.6667,0.0335582,0.0276686,0.385144,1.17257,0,17,17,16,0.181213,0.502525,0.592007,0,0,0,0,0.245402,0.0953635,0.320385,0,0,0,0.799265,0,0.864629,0.618991,0.15725,0.00188579,0.998629,0.271414,0.921476,0.00916306
2600,260,10.8333,66,5,13,48,30,36,0,0,0,8,45.8333,0.0316638,0.038484,0.361241,1.24723,0,17,17,16,0.162979,0.607521,0.589309,0,0,0,0,0.209989,0.0920777,0.300234,0,0,0,0.799272,0,0.838062,0.615091,0.154746,0.00197762,0.99865,0.270818,0.931155,0.013706
2800,280,11.6667,69,5,13,51,31,36,2,0,0,9,50,0.0300091,0.0547076,0.337074,1.3173,0,17,17,17,0.144758,0.712517,0.585779,0,0,0,0,0.178149,0.0847975,0.282114,0,0,0,0.799277,0,0.805777,0.611223,0.15198,0.00205809,0.998712,0.270022,0.939664,0.00911344
3000,300,12.5,71,5,13,53,31,36,4,0,0,10,50,0.0285662,0.0722876,0.319777,1.38315,0,17,17,17,0.129299,0.817514,0.581544,0,0,0,0,0.150411,0.0776376,0.268157,0,0,0,0.799281,0,0.769784,0.607391,0.15,0.0021284,0.998754,0.269101,0.94713,0.00526154
3200,320,13.3333,78,5,15,58,33,41,4,0,0,7,62.5,0.0273068,0.110419,0.295442,1.44498,0,17,17,17,0.116491,0.929637,0.576746,0,0,0,0,0.126567,0.0776431,0.255627,0,0,0,0.799265,0,0.724341,0.6036,0.147872,0.00218943,0.998879,0.268093,0.953671,0.00780158
3400,340,14.1667,83,5,16,62,35,37,11,0,0,9,66.6667,0.0262049,0.160754,0.263747,1.50124,0,15,15,15,0.106102,1.03276,0.571543,0,0,0,0,0.106452,0.0743735,0.243237,0,0,0,0.799276,0,0.672012,0.599848,0.145213,0.00224197,0.998921,0.267012,0.959397,0.00548431
3600,360,15,90,5,20,65,37,41,12,0,0,9,66.6667,0.0252376,0.209696,0.234275,1.55105,0,15,15,15,0.0990204,1.13626,0.566095,0,0,0,0,0.0904411,0.0731168,0.232474,0,0,0,0.799276,0,0.616778,0.596134,0.142724,0.00228684,0.998921,0.265872,0.96441,0.00589716
3800,380,15.8333,96,5,21,70,40,43,13,0,0,8,66.6667,0.0243863,0.247287,0.212836,1.59581,0,14,14,14,0.0939549,1.2309,0.560585,0,0,0,0,0.0776441,0.0668662,0.224456,0,0,0,0.799285,0,0.562364,0.592455,0.140939,0.00232499,0.998921,0.264689,0.968804,0.0026877
4000,400,16.6667,103,5,19,79,41,46,16,0,0,8,66.6667,0.0236355,0.276172,0.196897,1.63688,0,13,13,13,0.090042,1.3185,0.55514,0,0,0,0,0.0672509,0.0614635,0.218774,0,0,0,0.799303,0,0.50875,0.588811,0.139768,0.00235742,0.998921,0.263502,0.972659,0.00170482
4200,420,17.5,110,5,9,96,44,46,19,1,0,8,70.8333,0.0229722,0.303148,0.183714,1.67512,0,10,10,10,0.0870044,1.38165,0.549842,0,0,0,0,0.0588234,0.0572905,0.214442,0,0,0,0.799352,0,0.454595,0.585199,0.138875,0.00238511,0.998983,0.262325,0.976047,0.00494635
4400,440,18.3333,112,5,10,97,41,49,19,3,0,8,75,0.0223852,0.352146,0.165977,1.71018,0,8,8,8,0.0841746,1.4388,0.544729,0,0,0,0,0.0515286,0.0549242,0.208527,0,0,0,0.799399,0,0.392126,0.581619,0.137134,0.00240892,0.999046,0.261157,0.979028,0.00763815
4600,460,19.1667,113,5,11,97,43,46,20,4,0,8,79.1667,0.0218644,0.413443,0.145975,1.74137,0,8,8,8,0.0813967,1.4838,0.539786,0,0,0,0,0.0450369,0.0471948,0.201502,0,0,0,0.799463,0,0.322437,0.578068,0.134773,0.00242949,0.999109,0.259997,0.981655,0.00320155
4800,480,20,113,5,11,97,43,47,20,3,0,7,100,0.0214003,0.464598,0.131003,1.76929,0,3,3,3,0.0790739,1.5162,0.534974,0,0,0,0,0.0396436,0.0412582,0.195351,0,0,0,0.799542,0,0.27589,0.574546,0.13262,0.00244727,0.999171,0.258845,0.983976,0.00241392
5000,500,20.8333,0,0,0,0,0,0,0,0,0,8,100,0.0210308,0.519143,0.0989494,1.79189,0,2,2,2,0.0770298,1.51973,0.536791,0,0,0,0,0.0350601,0.069515,0.176211,0,0,0,0.799659,0,0.174371,0.57105,0.125153,0.00247128,0.999921,0.257762,0.98601,0.030739
5200,520,21.6667,0,0,0,0,0,0,0,0,0,8,100,0.0207591,0.555691,0.0794143,1.80959,0,0,0,0,0.0753285,1.51973,0.537419,0,0,0,0,0.031233,0.0954901,0.157994,0,0,0,0.799739,0,0.0721073,0.567577,0.117961,0.00250413,0.999921,0.257017,0.987726,0.0373844
5400,540,22.5,0,0,0,0,0,0,0,0,0,8,100,0.0205471,0.58018,0.0675116,1.82417,0,0,0,0,0.0737297,1.51973,0.537356,0,0,0,0,0.0280745,0.128576,0.15242,0,0,0,0.799787,0,9.16662e-07,0.564124,0.115748,0.00254048,0.999921,0.256757,0.989141,0.0439237
5600,560,23.3333,0,0,0,0,0,0,0,0,0,8,100,0.0203737,0.596589,0.0603092,1.83694,0,0,0,0,0.07245,1.51973,0.536875,0,0,0,0,0.0257161,0.179877,0.147714,0,0,0,0.799811,0,9.16662e-07,0.560685,0.113817,0.00257765,0.999921,0.256378,0.990302,0.05266
5800,580,24.1667,0,0,0,0,0,0,0,0,0,7,100,0.0202277,0.607584,0.0472932,1.84723,0,0,0,0,0.0724239,1.51973,0.536245,0,0,0,0,0.0242147,0.198331,0.143717,0,0,0,0.799819,0,9.16662e-07,0.557255,0.112118,0.00261453,0.999921,0.255914,0.991256,0.0398492
