step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.449386,0.0495463,0,4,0,0,0.091343,0,0.0267349,0,0,0,0,0.2967,0.0585606,0.266751,0,0,0,3.20696e-05,0,1,0.984693,0.20517,7.37298e-06,0.958349,0.011565,0.462364,0.0592165
400,40,1.66667,8,5,2,1,7,1,0,0,9,10,8.33333,0.0434519,7.12839e-05,0.693629,0.167371,0,8,4,0,0.0929636,0,0.180173,0,0,0,0,0.448042,0.268101,0.408285,0,0,0,3.19764e-05,0,0.999813,0.893768,0.197458,6.10155e-05,0.998462,0.0808545,0.704927,0.165399
600,60,2.5,11,5,5,1,10,1,0,0,10,10,8.33333,0.0497403,0.000661417,0.667117,0.304078,0,8,8,0,0.230711,0,0.358914,0,0,0,0,0.535075,0.271535,0.465749,0,0,0,3.19631e-05,0,0.997554,0.730239,0.169227,0.000214636,0.998462,0.161772,0.757739,0.0979926
800,80,3.33333,12,5,4,3,9,3,0,0,11,7,16.6667,0.0519186,0.00145768,0.589443,0.433376,0,12,12,0,0.301501,0,0.489396,0,0,0,0,0.574284,0.259186,0.469039,0,0,0,3.19503e-05,0,0.991996,0.650758,0.157331,0.000457923,0.998503,0.22106,0.741132,0.0766042
1000,100,4.16667,15,5,5,5,10,5,0,0,5,8,20.8333,0.0515886,0.00279579,0.540663,0.545357,0,17,17,0,0.305537,0,0.551612,0,0,0,0,0.564897,0.229957,0.479632,0,0,0,3.19375e-05,0,0.981681,0.646772,0.160124,0.000736956,0.998524,0.249636,0.788965,0.0535625
1200,120,5,19,5,7,7,12,7,0,0,2,10,20.8333,0.0496744,0.00435819,0.530544,0.653417,0,17,17,0,0.293234,0,0.5791,0,0,0,0,0.529216,0.206475,0.500455,0,0,0,3.19248e-05,0,0.96942,0.642778,0.167807,0.000997015,0.998524,0.262561,0.821943,0.037265
1400,140,5.83333,26,5,12,9,17,9,0,0,2,8,25,0.0469438,0.00581997,0.477496,0.753957,0,17,17,4,0.304314,0.0326734,0.589058,0,0,0,0,0.496654,0.161624,0.567566,0,0,0,0.000187176,0,0.956717,0.638783,0.200517,0.00121839,0.998545,0.267579,0.846553,0.0134509
1600,160,6.66667,31,5,12,14,17,14,0,0,1,7,25,0.0439396,0.00771818,0.466208,0.848688,0,17,17,6,0.28641,0.110124,0.593411,0,0,0,0,0.446558,0.131587,0.566871,0,0,0,0.00108246,0,0.941846,0.6348,0.216096,0.00140238,0.998545,0.270065,0.866286,0.00539064
1800,180,7.5,37,5,15,17,20,17,0,0,0,9,29.1667,0.0409869,0.00983985,0.474626,0.942961,0,17,17,10,0.254296,0.200114,0.59449,0,0,0,0,0.388238,0.140364,0.551157,0,0,0,0.0435515,0,0.925416,0.63084,0.222853,0.00155705,0.998566,0.271072,0.882911,0.0246128
2000,200,8.33333,46,5,18,23,25,21,0,0,0,10,33.3333,0.0382487,0.0123608,0.464909,1.0378,0,17,17,15,0.229109,0.305705,0.59449,0,0,0,0,0.333421,0.130343,0.509428,0,0,0,0.236635,0,0.906683,0.626907,0.21681,0.00168981,0.998587,0.271587,0.897309,0.0145847
2200,220,9.16667,52,5,19,28,27,25,0,0,0,10,33.3333,0.0357929,0.0148691,0.425127,1.12817,0,17,17,15,0.213544,0.440636,0.59417,0,0,0,0,0.289579,0.110169,0.449383,0,0,0,0.635861,0,0.886868,0.623004,0.201378,0.00180634,0.998587,0.271953,0.909929,0.00610847
2400,240,10,60,5,21,34,29,31,0,0,0,10,41.6667,0.0336281,0.0203677,0.410141,1.21239,0,17,17,16,0.195224,0.585966,0.592904,0,0,0,0,0.247753,0.110673,0.402842,0,0,0,0.798993,0,0.864897,0.619133,0.189742,0.00190963,0.998629,0.271888,0.921025,0.0165429
2600,260,10.8333,70,5,22,43,36,34,0,0,0,10,45.8333,0.0317333,0.0294928,0.383045,1.29224,0,17,17,17,0.17613,0.735958,0.590545,0,0,0,0,0.211689,0.104425,0.363402,0,0,0,0.79899,0,0.840027,0.615296,0.17962,0.00200095,0.99865,0.271369,0.930775,0.0108167
2800,280,11.6667,76,5,21,50,36,39,1,0,0,9,45.8333,0.0300801,0.0405512,0.355349,1.36622,0,17,17,17,0.158173,0.885952,0.587192,0,0,0,0,0.180643,0.112026,0.331703,0,0,0,0.79899,0,0.813263,0.611491,0.171504,0.00208131,0.99865,0.270596,0.93933,0.0109982
3000,300,12.5,86,5,26,55,40,42,4,0,0,10,50,0.0286395,0.0570854,0.319277,1.43424,0,17,17,17,0.147624,1.03595,0.583141,0,0,0,0,0.155899,0.104612,0.30424,0,0,0,0.798996,0,0.780784,0.607718,0.164188,0.0021517,0.998733,0.269692,0.946824,0.00742415
3200,320,13.3333,100,5,24,71,48,44,8,0,0,9,58.3333,0.0273844,0.0786474,0.297738,1.49634,0,17,17,17,0.132498,1.18594,0.578661,0,0,0,0,0.133027,0.0931224,0.284076,0,0,0,0.799009,0,0.743759,0.603973,0.159062,0.0022132,0.998817,0.268703,0.953379,0.00277646
3400,340,14.1667,104,5,19,80,47,46,11,0,0,9,62.5,0.0262898,0.13015,0.2629,1.55246,0,17,17,17,0.119994,1.33669,0.573879,0,0,0,0,0.113977,0.0860658,0.266466,0,0,0,0.799022,0,0.694851,0.600259,0.15436,0.00226682,0.998858,0.267646,0.959107,0.00246278
3600,360,15,112,5,22,85,47,49,16,0,0,9,62.5,0.0253332,0.172885,0.238288,1.60262,0,16,16,16,0.109627,1.49037,0.56892,0,0,0,0,0.0978114,0.0796067,0.253668,0,0,0,0.799028,0,0.643947,0.596573,0.151093,0.00231345,0.998879,0.266536,0.964111,0.0010512
3800,380,15.8333,119,5,22,92,49,50,20,0,0,8,66.6667,0.0244948,0.211103,0.2177,1.64849,0,15,15,15,0.100673,1.63332,0.563867,0,0,0,0,0.0839995,0.0737468,0.243963,0,0,0,0.799047,0,0.591904,0.592918,0.148664,0.00235391,0.998921,0.265385,0.968484,0.000534736
4000,400,16.6667,125,5,20,100,50,52,22,1,0,6,70.8333,0.0237574,0.255061,0.196303,1.69014,0,13,13,13,0.0932298,1.75519,0.558771,0,0,0,0,0.0722958,0.0669962,0.235585,0,0,0,0.7991,0,0.535781,0.589293,0.146439,0.00238889,0.998983,0.264208,0.972309,0.000281848
4200,420,17.5,130,5,19,106,48,55,22,5,0,6,75,0.023106,0.316353,0.173147,1.72722,0,10,10,10,0.0874962,1.84939,0.553682,0,0,0,0,0.0626906,0.0588133,0.227318,0,0,0,0.799184,0,0.471146,0.585698,0.143992,0.002419,0.999046,0.263028,0.975662,0.000132788
4400,440,18.3333,135,5,22,108,50,56,20,9,0,7,79.1667,0.0225281,0.373957,0.155542,1.76023,0,7,7,7,0.0827974,1.92199,0.548652,0,0,0,0,0.0545378,0.0536592,0.219745,0,0,0,0.799273,0,0.402963,0.582133,0.141604,0.00244484,0.999109,0.261853,0.978607,0.00360133
4600,460,19.1667,136,5,20,111,52,56,22,6,0,7,100,0.0220131,0.438559,0.13622,1.78958,0,7,7,7,0.0789872,1.96699,0.543696,0,0,0,0,0.04765,0.0444302,0.211514,0,0,0,0.799376,0,0.328171,0.578598,0.138775,0.00246693,0.999171,0.260687,0.981202,0.00171104
