step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.422806,0.0478145,0,4,1,0,0.091348,0,0.0267349,0,0,0,0,0.2967,0.0417348,0.353211,0,0,0,3.20184e-05,0,1,0.987119,0.205772,1.82065e-07,0.958349,0.011565,0.462364,0.0399115
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0434625,0,0.622962,0.155949,0,8,5,0,0.0933587,0,0.182524,0,0,0,0,0.448039,0.190791,0.482636,0,0,0,3.19763e-05,0,1,0.929209,0.206179,1.522e-06,0.99842,0.0819043,0.704551,0.118695
600,60,2.5,11,5,5,1,10,1,0,0,10,7,4.16667,0.0498244,9.71576e-05,0.557315,0.27377,0,8,8,0,0.18849,0,0.365625,0,0,0,0,0.525606,0.209052,0.515639,0,0,0,3.19631e-05,0,0.999506,0.84203,0.196876,5.45024e-06,0.998441,0.164797,0.75491,0.0829616
800,80,3.33333,12,5,6,1,11,1,0,0,10,4,4.16667,0.0520677,0.000384543,0.553032,0.384751,0,12,12,0,0.220468,0,0.494336,0,0,0,0,0.546227,0.193624,0.516359,0,0,0,3.19503e-05,0,0.997429,0.758096,0.186528,1.16683e-05,0.998441,0.223307,0.740928,0.0539823
1000,100,4.16667,12,5,6,1,11,1,0,0,9,3,4.16667,0.0517791,0.000636044,0.534445,0.494019,0,17,17,0,0.209887,0,0.55435,0,0,0,0,0.533738,0.167933,0.513382,0,0,0,3.19375e-05,0,0.994969,0.67903,0.176424,1.87941e-05,0.998441,0.250901,0.78862,0.0298881
1200,120,5,12,5,5,2,10,2,0,0,8,3,8.33333,0.0498275,0.000868904,0.537086,0.602249,0,17,17,1,0.196311,0.0167117,0.577034,0,0,0,0,0.502916,0.141329,0.506436,0,0,0,6.04723e-05,0,0.992391,0.642905,0.172074,2.52972e-05,0.998462,0.261663,0.821502,0.014626
1400,140,5.83333,12,5,5,2,10,2,0,0,6,4,8.33333,0.0470483,0.00135944,0.486779,0.705525,0,17,17,5,0.194442,0.0723412,0.587036,0,0,0,0,0.464324,0.122414,0.480575,0,0,0,0.000518727,0,0.987434,0.638975,0.171794,3.07777e-05,0.998462,0.2667,0.846113,0.00712688
1600,160,6.66667,15,5,5,5,11,4,0,0,3,4,12.5,0.0440126,0.00197025,0.430379,0.797885,0,17,17,7,0.20084,0.178895,0.592225,0,0,0,0,0.420535,0.107542,0.444676,0,0,0,0.00515541,0,0.981016,0.635062,0.172331,3.53414e-05,0.998483,0.269563,0.865893,0.00291623
1800,180,7.5,17,5,7,5,12,5,0,0,3,8,12.5,0.0410391,0.00262279,0.420643,0.882264,0,17,17,11,0.213488,0.360877,0.594402,0,0,0,0,0.374589,0.122544,0.41485,0,0,0,0.183117,0,0.973581,0.631169,0.172528,3.91867e-05,0.998483,0.271064,0.88258,0.024617
