step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0294937,0,0.445701,0.0494553,0,4,1,0,0.0913454,0,0.0267349,0,0,0,0,0.2967,0.0417693,0.351474,0,0,0,3.21883e-05,0,1,0.985761,0.205435,7.37298e-06,0.958349,0.011565,0.462364,0.0396125
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0434296,1.59436e-05,0.694387,0.166908,0,8,5,0,0.0930857,0,0.176413,0,0,0,0,0.448051,0.220646,0.47247,0,0,0,3.19772e-05,0,0.999958,0.901474,0.199435,5.99032e-05,0.998441,0.0791682,0.705762,0.138676
600,60,2.5,11,5,5,1,10,1,0,0,10,9,4.16667,0.0496106,0.00031347,0.601603,0.291674,0,8,5,0,0.195267,0,0.346102,0,0,0,0,0.539288,0.250396,0.484387,0,0,0,3.19632e-05,0,0.998862,0.756547,0.176375,0.000206092,0.998441,0.155978,0.762156,0.0954229
800,80,3.33333,13,5,4,4,9,4,0,0,11,9,16.6667,0.05156,0.000985524,0.572635,0.409649,0,12,12,0,0.254521,0,0.467205,0,0,0,0,0.573179,0.237551,0.467282,0,0,0,3.19503e-05,0,0.994575,0.650765,0.157333,0.000428392,0.998503,0.211003,0.741524,0.0675641
1000,100,4.16667,17,5,7,5,12,5,0,0,6,8,20.8333,0.0510689,0.00216997,0.538745,0.522386,0,17,17,0,0.25082,0,0.540304,0,0,0,0,0.562745,0.2091,0.478566,0,0,0,3.19375e-05,0,0.985565,0.646786,0.160302,0.000684236,0.998524,0.244451,0.789788,0.0485202
1200,120,5,23,5,11,7,16,7,0,0,6,7,20.8333,0.0492024,0.00381051,0.528243,0.628894,0,17,17,1,0.257037,0.0140851,0.577456,0,0,0,0,0.528084,0.164956,0.476987,0,0,0,4.22207e-05,0,0.973651,0.642787,0.161863,0.000937902,0.998524,0.261725,0.823094,0.0206144
1400,140,5.83333,28,5,12,11,18,10,0,0,4,5,25,0.0466028,0.00548129,0.507071,0.733156,0,17,17,5,0.254899,0.0617687,0.591426,0,0,0,0,0.483695,0.129247,0.453816,0,0,0,0.000580645,0,0.960533,0.638766,0.16266,0.00116495,0.998545,0.268553,0.847795,0.00773742
1600,160,6.66667,34,5,11,18,18,16,0,0,2,8,25,0.0437029,0.00742179,0.493058,0.833841,0,17,17,6,0.239029,0.139682,0.594486,0,0,0,0,0.429356,0.103952,0.417479,0,0,0,0.0102337,0,0.945663,0.634748,0.162723,0.00135642,0.998545,0.270458,0.867441,0.00341523
1800,180,7.5,40,5,14,21,21,19,0,0,1,10,33.3333,0.0408185,0.00966909,0.458202,0.927646,0,17,17,11,0.249301,0.24085,0.594487,0,0,0,0,0.383185,0.105262,0.386386,0,0,0,0.144043,0,0.928923,0.630753,0.162167,0.00151743,0.998587,0.27098,0.883907,0.0174616
2000,200,8.33333,44,5,12,27,21,23,0,0,0,10,33.3333,0.0381258,0.0125135,0.429403,1.01696,0,17,17,16,0.235623,0.34832,0.594484,0,0,0,0,0.337514,0.100696,0.359042,0,0,0,0.451428,0,0.9091,0.626794,0.160887,0.00165541,0.998587,0.271495,0.898135,0.0131144
