step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.451298,0.0496425,0,4,1,0,0.0913385,0,0.0267349,0,0,0,0,0.2967,0.0632065,0.350655,0,0,0,3.20874e-05,0,1,0.983538,0.204885,7.37298e-06,0.958349,0.011565,0.462364,0.0619789
400,40,1.66667,10,5,4,1,9,1,0,0,9,10,4.16667,0.0434387,3.65118e-05,0.691364,0.167545,0,8,5,0,0.0928957,0,0.177909,0,0,0,0,0.448047,0.228064,0.469883,0,0,0,3.19769e-05,0,0.999903,0.893854,0.197639,6.03592e-05,0.998441,0.0798403,0.705412,0.13422
600,60,2.5,11,5,5,1,10,1,0,0,8,10,4.16667,0.049622,0.00033147,0.665967,0.306867,0,8,5,0,0.176132,0,0.34456,0,0,0,0,0.537196,0.292479,0.474782,0,0,0,3.19632e-05,0,0.99861,0.726984,0.169378,0.00020699,0.998441,0.155286,0.761722,0.11365
800,80,3.33333,14,5,4,5,10,4,0,0,9,10,12.5,0.0515117,0.000876462,0.623456,0.434119,0,12,10,0,0.225801,0,0.46003,0,0,0,0,0.568831,0.296992,0.467441,0,0,0,3.19503e-05,0,0.995026,0.650739,0.157339,0.000425139,0.998483,0.207762,0.741532,0.0859654
1000,100,4.16667,15,5,5,5,10,5,0,0,6,10,20.8333,0.0509677,0.00235147,0.599029,0.555935,0,17,17,0,0.242899,0,0.530861,0,0,0,0,0.552336,0.250302,0.476498,0,0,0,3.19375e-05,0,0.985796,0.64672,0.159952,0.00067519,0.998524,0.240181,0.789891,0.0510921
1200,120,5,21,5,10,6,15,6,0,0,3,10,20.8333,0.0491142,0.00396935,0.54067,0.67127,0,17,17,1,0.248657,0.0140967,0.570988,0,0,0,0,0.523253,0.205101,0.47415,0,0,0,4.23014e-05,0,0.973901,0.642665,0.161586,0.000927736,0.998524,0.258794,0.823282,0.0297666
1400,140,5.83333,28,5,14,9,19,9,0,0,2,10,25,0.0465456,0.00571805,0.519679,0.776421,0,17,17,5,0.248423,0.0617875,0.585143,0,0,0,0,0.479287,0.165069,0.451257,0,0,0,0.000568025,0,0.960438,0.638588,0.162354,0.00115637,0.998545,0.265706,0.848003,0.0182925
1600,160,6.66667,33,5,14,14,19,14,0,0,1,10,25,0.0436631,0.00762899,0.500663,0.878618,0,17,17,7,0.231632,0.141129,0.59081,0,0,0,0,0.429805,0.133003,0.415398,0,0,0,0.00511841,0,0.945568,0.634516,0.162469,0.00134902,0.998545,0.268787,0.867634,0.00991377
1800,180,7.5,42,5,15,22,24,18,0,0,1,10,29.1667,0.0407901,0.00961618,0.464091,0.976747,0,17,17,10,0.22004,0.246123,0.593778,0,0,0,0,0.386035,0.132817,0.385124,0,0,0,0.127253,0,0.929646,0.630471,0.162126,0.00151105,0.998566,0.270646,0.884074,0.0207194
