step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.455297,0.0497205,0,4,0,0,0.0913537,0,0.022017,0,0,0,0,0.118692,0.0616924,0.267095,0,0,0,3.38123e-05,0,1,0.985673,0.205405,6.02189e-06,0.958349,0.00952457,0.463113,0.0656912
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.04282,0,0.711297,0.170194,0,8,4,0,0.0927873,0,0.0944298,0,0,0,0,0.17933,0.281135,0.40441,0,0,0,3.19768e-05,0,1,0.881037,0.194635,4.01912e-05,0.960791,0.0422462,0.730555,0.175428
600,60,2.5,9,5,3,1,8,1,0,0,9,9,8.33333,0.0479102,0.000572351,0.753656,0.321455,0,8,6,0,0.168562,0,0.184855,0,0,0,0,0.209234,0.380371,0.453603,0,0,0,3.19631e-05,0,0.99841,0.696403,0.161465,0.000119699,0.998462,0.083189,0.843411,0.158286
800,80,3.33333,12,5,4,3,9,3,0,0,10,10,12.5,0.0486174,0.00111904,0.698657,0.467645,0,12,12,0,0.226211,0,0.260272,0,0,0,0,0.222734,0.409911,0.461038,0,0,0,3.19503e-05,0,0.996287,0.650624,0.157297,0.000233397,0.998483,0.117439,0.872338,0.144996
1000,100,4.16667,13,5,4,4,9,4,0,0,5,10,12.5,0.0470502,0.00187786,0.604844,0.59696,0,17,17,0,0.266911,0,0.315279,0,0,0,0,0.224163,0.340614,0.476008,0,0,0,3.19375e-05,0,0.992389,0.646438,0.160319,0.00036109,0.998483,0.142538,0.860644,0.0759577
1200,120,5,17,5,7,5,12,5,0,0,4,9,20.8333,0.0443829,0.00307366,0.561797,0.715512,0,17,17,0,0.270332,0,0.353089,0,0,0,0,0.214228,0.258217,0.483534,0,0,0,3.19248e-05,0,0.986481,0.642197,0.162034,0.000487484,0.998524,0.159915,0.841869,0.0302649
1400,140,5.83333,22,5,12,5,17,5,0,0,2,9,20.8333,0.0412884,0.00460136,0.543052,0.824785,0,17,17,4,0.254036,0.0217871,0.378655,0,0,0,0,0.196099,0.203108,0.468334,0,0,0,9.71537e-05,0,0.978542,0.63795,0.162905,0.000604508,0.998524,0.171793,0.860793,0.0212926
1600,160,6.66667,29,5,16,8,22,7,0,0,1,10,20.8333,0.0381477,0.0059383,0.541622,0.933981,0,17,17,6,0.232103,0.0679744,0.395753,0,0,0,0,0.174734,0.157942,0.432028,0,0,0,0.000583587,0,0.97022,0.633732,0.163382,0.000709237,0.998524,0.179865,0.882575,0.0126697
1800,180,7.5,35,5,15,15,23,12,0,0,0,9,25,0.0351644,0.00731041,0.529606,1.04141,0,17,17,11,0.209732,0.117968,0.407038,0,0,0,0,0.154247,0.148629,0.40013,0,0,0,0.00243423,0,0.961195,0.629564,0.163403,0.000801437,0.998545,0.185322,0.900631,0.0230502
2000,200,8.33333,40,5,14,21,25,15,0,0,0,10,29.1667,0.0324373,0.00960419,0.527272,1.14789,0,17,17,15,0.191554,0.180563,0.4143,0,0,0,0,0.132832,0.155883,0.37165,0,0,0,0.0650941,0,0.949377,0.625453,0.162406,0.000882138,0.998566,0.188968,0.915973,0.0258205
2200,220,9.16667,48,5,13,30,29,19,0,0,0,10,33.3333,0.0300025,0.0122491,0.506278,1.25186,0,17,17,16,0.179526,0.258707,0.4187,0,0,0,0,0.114064,0.15582,0.346951,0,0,0,0.245958,0,0.935921,0.621403,0.160967,0.000952714,0.998587,0.191323,0.92919,0.0192203
2400,240,10,53,5,10,38,30,23,0,0,0,9,37.5,0.0278618,0.0155781,0.479987,1.35095,0,17,17,17,0.168369,0.344003,0.421064,0,0,0,0,0.0978171,0.13051,0.325918,0,0,0,0.55425,0,0.921529,0.617407,0.159397,0.00101457,0.998608,0.192758,0.94065,0.00991336
2600,260,10.8333,58,5,13,40,32,26,0,0,0,9,37.5,0.0259974,0.0212478,0.453022,1.44446,0,17,17,17,0.158751,0.440149,0.421894,0,0,0,0,0.0836291,0.114382,0.307495,0,0,0,0.799067,0,0.905801,0.613463,0.157563,0.0010689,0.998608,0.193498,0.950608,0.00627043
2800,280,11.6667,62,5,16,41,32,30,0,0,0,9,41.6667,0.024383,0.0275654,0.429072,1.53311,0,17,17,17,0.147255,0.544847,0.421584,0,0,0,0,0.0711901,0.10921,0.291752,0,0,0,0.799052,0,0.889525,0.609568,0.155732,0.00111667,0.998629,0.193779,0.959257,0.00502532
3000,300,12.5,67,5,13,49,34,33,0,0,0,9,45.8333,0.0229892,0.0378102,0.401371,1.61643,0,17,17,17,0.135347,0.653645,0.420434,0,0,0,0,0.0604291,0.127193,0.276644,0,0,0,0.799029,0,0.871091,0.605717,0.153278,0.00115873,0.99865,0.193817,0.966761,0.012489
