step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.455861,0.0499142,0,4,0,0,0.0913397,0,0.022017,0,0,0,0,0.296729,0.0554921,0.266573,0,0,0,0.000212291,0,1,0.9842,0.205049,6.02189e-06,0.958349,0.00952457,0.463113,0.0558996
400,40,1.66667,10,5,5,0,10,0,0,0,9,10,0,0.043054,0,0.713881,0.170328,0,8,4,0,0.0928496,0,0.165861,0,0,0,0,0.448225,0.24319,0.405905,0,0,0,3.19769e-05,0,1,0.885385,0.195668,5.12607e-05,0.99842,0.0744946,0.710422,0.149317
600,60,2.5,11,5,5,1,10,1,0,0,9,9,4.16667,0.0489015,0.00026707,0.620634,0.303922,0,8,5,0,0.182796,0,0.330548,0,0,0,0,0.535256,0.29883,0.461036,0,0,0,3.19631e-05,0,0.999019,0.710974,0.165896,0.000180028,0.998441,0.149023,0.772467,0.109704
800,80,3.33333,12,5,4,3,9,3,0,0,11,7,12.5,0.0505271,0.000818251,0.548197,0.426073,0,12,12,0,0.228487,0,0.447098,0,0,0,0,0.568284,0.283449,0.465707,0,0,0,3.19503e-05,0,0.995723,0.650751,0.157343,0.000375645,0.998483,0.201966,0.745058,0.0808363
1000,100,4.16667,15,5,6,4,11,4,0,0,7,8,16.6667,0.0496655,0.00194029,0.5448,0.53499,0,17,17,0,0.256502,0,0.489586,0,0,0,0,0.566492,0.240958,0.476182,0,0,0,3.19375e-05,0,0.988798,0.646756,0.160132,0.000591585,0.998503,0.221567,0.79238,0.0513169
1200,120,5,20,5,9,6,14,6,0,0,3,8,20.8333,0.0471934,0.00351651,0.521677,0.641065,0,17,17,0,0.276035,0,0.489586,0,0,0,0,0.543706,0.182956,0.482384,0,0,0,3.19248e-05,0,0.979254,0.642748,0.161723,0.000774899,0.998524,0.222005,0.826879,0.0189891
1400,140,5.83333,25,5,10,10,15,10,0,0,1,10,20.8333,0.0440298,0.00498892,0.528188,0.744883,0,17,17,4,0.257154,0.0381356,0.489587,0,0,0,0,0.495936,0.156155,0.466285,0,0,0,0.000282372,0,0.969047,0.638739,0.162752,0.00092249,0.998524,0.22244,0.853093,0.0213477
1600,160,6.66667,33,5,14,14,20,13,0,0,0,9,29.1667,0.0407197,0.00718699,0.541448,0.853405,0,17,17,5,0.227837,0.108119,0.489587,0,0,0,0,0.434135,0.142467,0.427252,0,0,0,0.00126402,0,0.956268,0.634742,0.162625,0.00104106,0.998566,0.222871,0.874314,0.0212926
1800,180,7.5,40,5,15,20,22,18,0,0,0,10,33.3333,0.0375496,0.0100744,0.496301,0.958701,0,17,17,10,0.215181,0.194641,0.489587,0,0,0,0,0.381133,0.114804,0.393144,0,0,0,0.0757986,0,0.940734,0.630768,0.161591,0.00113793,0.998587,0.223299,0.892224,0.00949124
