step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.446827,0.0494612,0,4,0,0,0.0913452,0,0.022017,0,0,0,0,0.296729,0.0461961,0.267125,0,0,0,3.66557e-05,0,1,0.985704,0.20542,6.02189e-06,0.958349,0.00952457,0.463113,0.0460501
400,40,1.66667,9,5,4,0,9,0,0,0,9,10,0,0.0430913,0,0.694939,0.167021,0,8,4,0,0.0931421,0,0.17211,0,0,0,0,0.448209,0.226281,0.414375,0,0,0,3.19769e-05,0,1,0.909678,0.201486,5.30788e-05,0.99842,0.0772948,0.709026,0.144012
600,60,2.5,11,5,5,1,10,1,0,0,9,10,4.16667,0.0491076,0.000264225,0.631344,0.298768,0,8,7,0,0.20663,0,0.347909,0,0,0,0,0.531308,0.238969,0.484291,0,0,0,3.19633e-05,0,0.998837,0.781133,0.182214,0.0001932,0.998441,0.156875,0.765434,0.0927004
800,80,3.33333,12,5,5,2,10,2,0,0,12,7,12.5,0.0509286,0.000937935,0.622223,0.423936,0,12,12,0,0.239329,0,0.459527,0,0,0,0,0.55495,0.23829,0.475634,0,0,0,3.19503e-05,0,0.994368,0.650772,0.159464,0.000408243,0.998483,0.20763,0.743955,0.0718105
1000,100,4.16667,16,5,7,4,12,4,0,0,9,7,16.6667,0.0499698,0.00193319,0.596366,0.546518,0,17,17,0,0.22292,0,0.489589,0,0,0,0,0.542025,0.20489,0.480639,0,0,0,3.19375e-05,0,0.986836,0.646798,0.160401,0.000624779,0.998503,0.221627,0.791577,0.0408417
1200,120,5,22,5,11,6,16,6,0,0,5,6,20.8333,0.0474003,0.00310665,0.535506,0.658649,0,17,17,0,0.243002,0,0.489589,0,0,0,0,0.520483,0.166069,0.48633,0,0,0,3.19248e-05,0,0.978078,0.642808,0.162322,0.00080416,0.998524,0.222064,0.826051,0.0180395
1400,140,5.83333,28,5,12,11,18,10,0,0,4,7,25,0.0441739,0.00529339,0.495653,0.760665,0,17,17,4,0.246785,0.032693,0.489589,0,0,0,0,0.477578,0.132267,0.473895,0,0,0,0.000186822,0,0.965982,0.638817,0.162686,0.000947811,0.998545,0.222498,0.852344,0.00660253
1600,160,6.66667,33,5,14,14,19,14,0,0,3,10,29.1667,0.0408226,0.00771433,0.47761,0.857932,0,17,17,7,0.247791,0.116084,0.489589,0,0,0,0,0.430574,0.11933,0.433307,0,0,0,0.00137786,0,0.952458,0.634841,0.16238,0.00106289,0.998566,0.222928,0.873677,0.0108514
1800,180,7.5,40,5,15,20,22,18,0,0,0,9,33.3333,0.0376248,0.0101425,0.445089,0.95029,0,17,17,12,0.237493,0.221078,0.489589,0,0,0,0,0.384024,0.102067,0.398967,0,0,0,0.0731661,0,0.938027,0.630888,0.161741,0.00115682,0.998587,0.223355,0.891702,0.00477241
2000,200,8.33333,46,5,18,23,25,21,0,0,0,10,33.3333,0.0347127,0.0129279,0.434088,1.03819,0,17,17,17,0.222328,0.346761,0.489589,0,0,0,0,0.335413,0.0959273,0.369859,0,0,0,0.313834,0,0.921698,0.626967,0.160752,0.0012358,0.998587,0.223778,0.907265,0.00586973
2200,220,9.16667,50,5,13,32,25,25,0,0,0,7,37.5,0.0321355,0.0160794,0.402625,1.12266,0,17,17,17,0.213691,0.511742,0.489589,0,0,0,0,0.293353,0.0920335,0.347466,0,0,0,0.793298,0,0.904982,0.623082,0.16045,0.00130446,0.998608,0.224198,0.920825,0.00721404
2400,240,10,56,5,11,40,25,31,0,0,0,10,41.6667,0.0298967,0.0230786,0.372604,1.20052,0,17,17,17,0.19874,0.675833,0.489589,0,0,0,0,0.257642,0.0888756,0.327784,0,0,0,0.798905,0,0.885849,0.619232,0.159596,0.00136611,0.998629,0.224614,0.932652,0.00629123
2600,260,10.8333,58,5,11,42,25,33,0,0,0,6,41.6667,0.0279764,0.0313748,0.347374,1.27262,0,17,17,17,0.180133,0.827177,0.489588,0,0,0,0,0.224914,0.0832192,0.311872,0,0,0,0.79894,0,0.865441,0.61542,0.158912,0.001423,0.998629,0.225027,0.942941,0.00332547
2800,280,11.6667,64,5,15,44,27,36,1,0,0,9,41.6667,0.0263428,0.0386351,0.328345,1.34045,0,17,17,17,0.161617,0.980696,0.489442,0,0,0,0,0.19547,0.100639,0.297315,0,0,0,0.798956,0,0.845038,0.611641,0.157675,0.00147652,0.998629,0.22537,0.951851,0.0191123
3000,300,12.5,72,5,16,51,33,36,3,0,0,8,45.8333,0.0249565,0.0505336,0.322127,1.40594,0,17,17,17,0.144306,1.13174,0.488832,0,0,0,0,0.163385,0.0982163,0.281891,0,0,0,0.798968,0,0.820076,0.607895,0.155194,0.00152698,0.998691,0.2255,0.959529,0.0103312
3200,320,13.3333,73,5,12,56,29,40,4,0,0,8,45.8333,0.0237774,0.0623136,0.310678,1.46946,0,17,17,17,0.129626,1.29216,0.487681,0,0,0,0,0.136491,0.0920499,0.270221,0,0,0,0.798961,0,0.793667,0.604176,0.153481,0.00157406,0.998692,0.225398,0.966125,0.0047206
3400,340,14.1667,80,5,18,57,34,38,8,0,0,10,54.1667,0.0227677,0.0857198,0.294388,1.5304,0,14,14,14,0.116953,1.43728,0.485804,0,0,0,0,0.114205,0.0960032,0.258796,0,0,0,0.798975,0,0.762993,0.600484,0.151265,0.00161713,0.998754,0.225061,0.97178,0.0107017
3600,360,15,84,5,18,61,34,40,10,0,0,8,54.1667,0.0218935,0.11057,0.270939,1.58708,0,14,14,14,0.107102,1.55727,0.48313,0,0,0,0,0.0963711,0.0859707,0.248454,0,0,0,0.799021,0,0.728291,0.596817,0.148992,0.00165536,0.998796,0.224519,0.976635,0.0044424
3800,380,15.8333,90,5,16,69,36,43,11,0,0,9,58.3333,0.0211293,0.139501,0.249886,1.63948,0,14,14,14,0.100237,1.67727,0.479782,0,0,0,0,0.0824322,0.0785739,0.240364,0,0,0,0.799068,0,0.690495,0.593174,0.147217,0.00168847,0.998838,0.22384,0.980815,0.00249101
4000,400,16.6667,101,5,21,75,43,43,15,0,0,8,62.5,0.0204571,0.171392,0.231816,1.68779,0,13,13,13,0.0949412,1.79727,0.47606,0,0,0,0,0.0711932,0.0767601,0.233681,0,0,0,0.799103,0,0.650355,0.589555,0.145677,0.00171674,0.998879,0.223058,0.984431,0.00674678
4200,420,17.5,112,5,25,82,49,46,17,0,0,6,62.5,0.019864,0.204887,0.215299,1.73262,0,10,10,10,0.0902565,1.89357,0.472245,0,0,0,0,0.0613966,0.0704307,0.226806,0,0,0,0.79917,0,0.608049,0.585962,0.143791,0.00174086,0.998879,0.2222,0.987572,0.00479341
4400,440,18.3333,121,5,25,91,49,50,20,2,0,7,66.6667,0.0193401,0.242859,0.200746,1.77451,0,8,8,8,0.0858426,1.98072,0.468353,0,0,0,0,0.05277,0.0648076,0.221006,0,0,0,0.799232,0,0.563146,0.582394,0.142117,0.00176153,0.998942,0.221289,0.990311,0.00465467
4600,460,19.1667,130,5,29,96,53,52,20,5,0,7,70.8333,0.0188744,0.288092,0.185362,1.81337,0,8,8,8,0.0817397,2.05571,0.464331,0,0,0,0,0.0451304,0.0565549,0.215708,0,0,0,0.799296,0,0.514054,0.57885,0.140464,0.00177905,0.999004,0.220332,0.992709,0.00198507
4800,480,20,135,5,27,103,51,58,21,5,0,7,75,0.018457,0.349167,0.165187,1.84853,0,5,5,5,0.078398,2.12186,0.460189,0,0,0,0,0.0388753,0.0493406,0.209928,0,0,0,0.799362,0,0.457588,0.575333,0.138471,0.00179358,0.999067,0.219344,0.994818,0.000915458
5000,500,20.8333,143,5,22,116,54,61,20,8,0,7,100,0.01808,0.418089,0.144585,1.87981,0,4,4,4,0.0757661,2.18186,0.456,0,0,0,0,0.0339067,0.0468399,0.202646,0,0,0,0.79942,0,0.394841,0.571841,0.135759,0.00180533,0.999171,0.218348,0.996683,0.00336353
5200,520,21.6667,0,0,0,0,0,0,0,0,0,5,100,0.0177843,0.487979,0.0998561,1.90386,0,0,0,0,0.0734458,2.18246,0.458689,0,0,0,0,0.0298178,0.035158,0.185829,0,0,0,0.799587,0,0.27826,0.568375,0.129136,0.00182223,0.999921,0.218167,0.998322,0.00153013
5400,540,22.5,0,0,0,0,0,0,0,0,0,3,100,0.0175735,0.53481,0.0741744,1.9211,0,0,0,0,0.0713798,2.18246,0.459809,0,0,0,0,0.0261453,0.0267593,0.172634,0,0,0,0.799706,0,0.189779,0.564933,0.123882,0.00184628,0.999921,0.218317,0.999697,0.000774874
5600,560,23.3333,0,0,0,0,0,0,0,0,0,3,100,0.0174098,0.566188,0.0574201,1.93419,0,0,0,0,0.0696462,2.18246,0.459909,0,0,0,0,0.0228581,0.0205397,0.162244,0,0,0,0.799789,0,0.100923,0.561515,0.119686,0.00187262,0.999921,0.218205,1.00082,0.000388858
5800,580,24.1667,0,0,0,0,0,0,0,0,0,2,100,0.0172716,0.587214,0.0454945,1.94443,0,0,0,0,0.0683609,2.18246,0.459235,0,0,0,0,0.0200776,0.0157012,0.154053,0,0,0,0.799847,0,0.0278557,0.558121,0.116317,0.00189861,0.999921,0.217845,1.00174,0.000180323
6000,600,25,0,0,0,0,0,0,0,0,0,2,100,0.0171464,0.601302,0.0369256,1.95264,0,0,0,0,0.0672134,2.18246,0.457957,0,0,0,0,0.0175911,0.0119209,0.147538,0,0,0,0.799888,0,9.41974e-07,0.55475,0.113577,0.00192284,0.999921,0.217352,1.00251,7.85539e-05
6200,620,25.8333,0,0,0,0,0,0,0,0,0,2,100,0.0170267,0.610742,0.0304567,1.95936,0,0,0,0,0.0660792,2.18246,0.456179,0,0,0,0,0.0154274,0.00899911,0.142337,0,0,0,0.799917,0,9.41974e-07,0.551402,0.111327,0.00194454,0.999921,0.216724,1.00315,3.28923e-05
6400,640,26.6667,0,0,0,0,0,0,0,0,0,2,100,0.0169083,0.617067,0.0254182,1.96494,0,0,0,0,0.0649272,2.18246,0.453996,0,0,0,0,0.0135796,0.00676034,0.138245,0,0,0,0.799938,0,9.41974e-07,0.548078,0.109493,0.00196333,0.999921,0.215922,1.00373,1.34021e-05
6600,660,27.5,0,0,0,0,0,0,0,0,0,0,100,0.0167888,0.621305,0.021432,1.96961,0,0,0,0,0.063755,2.18246,0.451503,0,0,0,0,0.0119558,0.00505725,0.135471,0,0,0,0.799953,0,9.41974e-07,0.544777,0.108165,0.00197909,0.999922,0.215121,1.00424,5.35317e-06
6800,680,28.3333,0,0,0,0,0,0,0,0,0,0,100,0.0166674,0.624145,0.0182894,1.97358,0,0,0,0,0.0625463,2.18246,0.448741,0,0,0,0,0.0102752,0.00376945,0.133066,0,0,0,0.799964,0,9.41974e-07,0.541498,0.106966,0.0019919,0.999922,0.214321,1.00473,2.10609e-06
7000,700,29.1667,0,0,0,0,0,0,0,0,0,0,100,0.0165426,0.626047,0.0157309,1.97697,0,0,0,0,0.0613651,2.18246,0.445666,0,0,0,0,0.00866243,0.00280066,0.130966,0,0,0,0.799971,0,9.41974e-07,0.538242,0.105874,0.00200171,0.999922,0.213444,1.0052,8.18819e-07
7200,720,30,0,0,0,0,0,0,0,0,0,0,100,0.0164127,0.627322,0.0136067,1.97991,0,0,0,0,0.0602535,2.18246,0.442267,0,0,0,0,0.00720748,0.00207504,0.129114,0,0,0,0.799977,0,9.41974e-07,0.535007,0.104871,0.00200839,0.999922,0.212488,1.00566,3.15324e-07
