step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.45035,0.0495618,0,4,0,0,0.0913394,0,0.022017,0,0,0,0,0.118692,0.0540303,0.266622,0,0,0,0.000150751,0,1,0.98433,0.205082,6.02189e-06,0.958349,0.00952457,0.463113,0.0541462
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0428336,0,0.698169,0.167995,0,8,4,0,0.0928643,0,0.097028,0,0,0,0,0.179328,0.23876,0.407841,0,0,0,3.1977e-05,0,1,0.890635,0.196968,4.08395e-05,0.964711,0.0434084,0.729904,0.15125
600,60,2.5,10,5,4,1,9,1,0,0,8,10,4.16667,0.0479893,0.000225444,0.739216,0.315713,0,8,6,0,0.178155,0,0.191159,0,0,0,0,0.209622,0.323619,0.461277,0,0,0,3.19632e-05,0,0.999383,0.711934,0.166088,0.000124359,0.998441,0.0860368,0.840553,0.125597
800,80,3.33333,12,5,4,3,9,3,0,0,8,10,16.6667,0.0487821,0.000747248,0.651974,0.45913,0,12,12,0,0.236176,0,0.268719,0,0,0,0,0.223893,0.33518,0.46662,0,0,0,3.19503e-05,0,0.997507,0.650751,0.157327,0.000244951,0.998503,0.121269,0.86656,0.106383
1000,100,4.16667,14,5,4,5,9,5,0,0,6,8,16.6667,0.0472833,0.00185201,0.539749,0.576416,0,17,17,0,0.263207,0,0.323913,0,0,0,0,0.224929,0.290408,0.481759,0,0,0,3.19375e-05,0,0.992158,0.646747,0.160969,0.000380093,0.998503,0.146468,0.853209,0.0619284
1200,120,5,19,5,8,6,13,6,0,0,4,8,20.8333,0.0446566,0.00328281,0.518122,0.683688,0,17,17,0,0.263949,0,0.361033,0,0,0,0,0.213526,0.231411,0.506213,0,0,0,3.19248e-05,0,0.985138,0.642721,0.169791,0.000512862,0.998524,0.163548,0.839898,0.025442
1400,140,5.83333,23,5,8,10,15,8,0,0,1,10,20.8333,0.0415753,0.0047844,0.504493,0.78697,0,17,17,4,0.263377,0.0326872,0.385491,0,0,0,0,0.195727,0.184465,0.476295,0,0,0,0.000199831,0,0.97703,0.638683,0.16303,0.000634363,0.998524,0.174938,0.860044,0.0116968
1600,160,6.66667,28,5,12,11,17,11,0,0,1,8,25,0.0384282,0.00655196,0.517008,0.889389,0,17,17,7,0.240756,0.0965002,0.401555,0,0,0,0,0.172881,0.147477,0.436581,0,0,0,0.000943615,0,0.967501,0.634651,0.163186,0.000741672,0.998545,0.182552,0.88174,0.00600103
1800,180,7.5,32,5,9,18,17,15,0,0,0,10,25,0.0354278,0.00835877,0.510845,0.992656,0,17,17,11,0.218831,0.170669,0.411944,0,0,0,0,0.151129,0.141763,0.403028,0,0,0,0.0229685,0,0.957068,0.63064,0.162944,0.000834967,0.998545,0.187612,0.899754,0.00774617
2000,200,8.33333,39,5,9,25,22,17,0,0,0,7,25,0.0326781,0.00993997,0.500719,1.09426,0,17,17,16,0.201022,0.261829,0.418447,0,0,0,0,0.131163,0.127632,0.375367,0,0,0,0.166598,0,0.94649,0.62666,0.162619,0.000915645,0.998545,0.190922,0.915094,0.00531255
2200,220,9.16667,44,5,8,31,25,19,0,0,0,10,29.1667,0.0302194,0.0120271,0.488588,1.1936,0,17,17,16,0.193643,0.39671,0.422256,0,0,0,0,0.113151,0.142047,0.351126,0,0,0,0.504649,0,0.934128,0.622714,0.161611,0.000985462,0.998566,0.193014,0.928337,0.0290205
2400,240,10,48,5,8,35,24,24,0,0,0,10,29.1667,0.0280556,0.0138637,0.439222,1.28654,0,17,17,17,0.180825,0.531701,0.424191,0,0,0,0,0.0996073,0.131504,0.331183,0,0,0,0.799009,0,0.921733,0.618803,0.160695,0.00104614,0.998566,0.19426,0.939844,0.0163512
2600,260,10.8333,52,5,12,35,28,24,0,0,0,8,37.5,0.0261716,0.0181497,0.403999,1.37139,0,17,17,17,0.165626,0.672319,0.424817,0,0,0,0,0.0873516,0.119328,0.312994,0,0,0,0.799025,0,0.907386,0.614926,0.159133,0.00109923,0.998608,0.194949,0.949858,0.0133956
2800,280,11.6667,55,5,11,39,27,28,0,0,0,8,41.6667,0.0245429,0.0261284,0.376373,1.44924,0,17,17,17,0.149798,0.814438,0.424511,0,0,0,0,0.0748684,0.109496,0.295684,0,0,0,0.799034,0,0.890289,0.611083,0.15682,0.00114601,0.998629,0.195286,0.958564,0.00815607
3000,300,12.5,57,5,11,41,26,31,0,0,0,10,45.8333,0.0231402,0.034609,0.358419,1.52322,0,17,17,17,0.135629,0.957533,0.42345,0,0,0,0,0.0632431,0.10248,0.28083,0,0,0,0.799048,0,0.872575,0.607273,0.154588,0.00118747,0.99865,0.195381,0.96612,0.00712516
3200,320,13.3333,64,5,16,43,31,33,0,0,0,8,45.8333,0.0219333,0.0450285,0.335559,1.59279,0,17,17,17,0.123843,1.1034,0.421782,0,0,0,0,0.0537957,0.0941537,0.26768,0,0,0,0.799058,0,0.853567,0.603496,0.152299,0.00122422,0.99865,0.195272,0.972662,0.00484242
