step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.42404,0.0481396,0,4,0,0,0.0913214,0,0.022017,0,0,0,0,0.296729,0.0467421,0.266473,0,0,0,3.20431e-05,0,1,0.983827,0.204972,1.48704e-07,0.958349,0.00952457,0.463113,0.0437534
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0430684,0,0.619972,0.155872,0,8,4,0,0.0933167,0,0.168493,0,0,0,0,0.448219,0.214304,0.423948,0,0,0,3.19758e-05,0,1,0.936229,0.20797,1.28484e-06,0.99842,0.0756724,0.70988,0.13562
600,60,2.5,10,5,5,0,10,0,0,0,11,6,0,0.0490359,0,0.609655,0.276967,0,8,8,0,0.188154,0,0.345082,0,0,0,0,0.521824,0.217103,0.516489,0,0,0,3.1963e-05,0,1,0.871644,0.204143,4.66324e-06,0.99842,0.155594,0.767928,0.0896131
800,80,3.33333,12,5,6,1,11,1,0,0,13,8,4.16667,0.0508868,1.59914e-06,0.594812,0.399222,0,12,12,0,0.196114,0,0.463262,0,0,0,0,0.538341,0.23193,0.52341,0,0,0,3.19503e-05,0,0.99999,0.787224,0.19382,1.00039e-05,0.998441,0.209307,0.744152,0.0860017
1000,100,4.16667,12,5,6,1,11,1,0,0,6,8,4.16667,0.0499491,0.000300917,0.527223,0.513138,0,17,17,0,0.217514,0,0.489588,0,0,0,0,0.533755,0.212262,0.511658,0,0,0,3.19375e-05,0,0.997948,0.682283,0.176898,1.54248e-05,0.998441,0.221619,0.791701,0.052926
1200,120,5,12,5,5,2,10,2,0,0,6,7,8.33333,0.0473855,0.000672263,0.487011,0.614247,0,17,17,0,0.212109,0,0.489588,0,0,0,0,0.503903,0.169649,0.501276,0,0,0,3.19248e-05,0,0.995192,0.64292,0.168748,1.99252e-05,0.998462,0.222056,0.826153,0.0225309
1400,140,5.83333,12,5,3,4,8,4,0,0,5,7,16.6667,0.044163,0.00144033,0.458555,0.708157,0,17,17,4,0.218364,0.0381289,0.489589,0,0,0,0,0.465538,0.140741,0.482726,0,0,0,0.000223265,0,0.989435,0.638985,0.166166,2.35469e-05,0.998504,0.22249,0.852425,0.0123085
1600,160,6.66667,14,5,5,4,10,4,0,0,4,9,16.6667,0.0408144,0.00245855,0.406326,0.794312,0,17,17,6,0.225439,0.129018,0.489589,0,0,0,0,0.425351,0.123811,0.439144,0,0,0,0.00131753,0,0.98127,0.635061,0.164805,2.64601e-05,0.998504,0.222921,0.873742,0.00856639
1800,180,7.5,17,5,6,6,11,6,0,0,0,9,16.6667,0.0376185,0.00334963,0.391616,0.874596,0,17,17,10,0.234155,0.283612,0.489589,0,0,0,0,0.382007,0.109921,0.407761,0,0,0,0.0888166,0,0.973105,0.631154,0.165341,2.88453e-05,0.998504,0.223348,0.891753,0.00351782
