step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.448135,0.0494455,0,4,0,0,0.0913477,0,0.022017,0,0,0,0,0.296729,0.0464057,0.267261,0,0,0,7.3508e-05,0,1,0.986082,0.205512,6.02189e-06,0.958349,0.00952457,0.463113,0.0470028
400,40,1.66667,10,5,5,0,10,0,0,0,9,10,0,0.0430941,0,0.69352,0.167159,0,8,4,0,0.0930927,0,0.172972,0,0,0,0,0.448209,0.255796,0.412561,0,0,0,3.19761e-05,0,1,0.90455,0.200247,5.32187e-05,0.99842,0.0776784,0.708934,0.161161
600,60,2.5,11,5,5,1,10,1,0,0,9,10,12.5,0.0491387,0.000774121,0.59506,0.29761,0,8,8,0,0.202926,0,0.350699,0,0,0,0,0.530345,0.300024,0.471692,0,0,0,3.19631e-05,0,0.996745,0.755519,0.174613,0.000195078,0.998483,0.158134,0.764402,0.130226
800,80,3.33333,13,5,4,4,9,4,0,0,11,9,12.5,0.0509999,0.00157601,0.562543,0.415028,0,12,12,0,0.249883,0,0.464234,0,0,0,0,0.562627,0.334698,0.468384,0,0,0,3.19503e-05,0,0.991132,0.650487,0.15726,0.000413667,0.998483,0.209763,0.743825,0.122672
1000,100,4.16667,15,5,5,5,10,5,0,0,9,8,20.8333,0.0500262,0.00258224,0.548703,0.526773,0,17,17,0,0.2613,0,0.489589,0,0,0,0,0.557236,0.273277,0.47894,0,0,0,3.19375e-05,0,0.983997,0.646086,0.160003,0.000630622,0.998524,0.221637,0.79144,0.0598805
1200,120,5,22,5,9,8,14,8,0,0,7,7,25,0.0474385,0.00420549,0.525905,0.633823,0,17,17,0,0.239106,0,0.489589,0,0,0,0,0.522433,0.211038,0.551185,0,0,0,3.19248e-05,0,0.973698,0.641626,0.18911,0.000809342,0.998545,0.222074,0.825906,0.0243359
1400,140,5.83333,26,5,10,11,15,11,0,0,4,7,29.1667,0.0442004,0.00657679,0.491256,0.735771,0,17,17,4,0.235753,0.0326893,0.489589,0,0,0,0,0.476278,0.178432,0.578328,0,0,0,0.000200651,0,0.960704,0.637189,0.207108,0.000952302,0.998566,0.222508,0.85221,0.0251736
1600,160,6.66667,35,5,14,16,19,16,0,0,3,9,29.1667,0.0408414,0.00909393,0.448481,0.829593,0,17,17,7,0.244777,0.113151,0.489589,0,0,0,0,0.431291,0.167749,0.551181,0,0,0,0.00131252,0,0.946415,0.632817,0.211692,0.00106676,0.998566,0.222938,0.873563,0.0266879
1800,180,7.5,40,5,14,21,21,19,0,0,2,10,33.3333,0.0376385,0.0118784,0.435653,0.918667,0,17,17,11,0.229385,0.203143,0.489589,0,0,0,0,0.380205,0.133058,0.475037,0,0,0,0.0805245,0,0.930483,0.628527,0.193869,0.00116017,0.998587,0.223365,0.891608,0.0119248
