step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.449578,0.0495544,0,4,0,0,0.0913405,0,0.022017,0,0,0,0,0.118692,0.0596648,0.266729,0,0,0,3.20686e-05,0,1,0.98462,0.205153,6.02189e-06,0.958349,0.00952457,0.463113,0.0603804
400,40,1.66667,8,5,2,1,7,1,0,0,9,10,4.16667,0.0428546,3.19722e-06,0.699104,0.167634,0,8,4,0,0.0929151,0,0.10014,0,0,0,0,0.179325,0.284033,0.407616,0,0,0,3.19765e-05,0,0.999992,0.890419,0.196856,4.1839e-05,0.970696,0.0448067,0.728904,0.177617
600,60,2.5,10,5,4,1,9,1,0,0,10,10,4.16667,0.0480517,0.000302315,0.688419,0.308033,0,8,5,0,0.19441,0,0.193487,0,0,0,0,0.213964,0.351223,0.455271,0,0,0,3.19632e-05,0,0.999158,0.696396,0.162132,0.000128167,0.998441,0.0870957,0.838161,0.142228
800,80,3.33333,11,5,3,3,8,3,0,0,9,9,12.5,0.0488315,0.000875628,0.649153,0.444308,0,12,12,0,0.25508,0,0.269802,0,0,0,0,0.226493,0.365632,0.465808,0,0,0,3.19503e-05,0,0.99695,0.650748,0.157341,0.000249149,0.998483,0.121769,0.864245,0.10209
1000,100,4.16667,14,5,5,4,10,4,0,0,4,9,20.8333,0.0473062,0.00207309,0.563719,0.565031,0,17,17,0,0.284182,0,0.324757,0,0,0,0,0.22558,0.295587,0.483478,0,0,0,3.19375e-05,0,0.991777,0.646737,0.163833,0.000383278,0.998524,0.146857,0.851386,0.0553383
1200,120,5,20,5,11,4,16,4,0,0,2,10,20.8333,0.0446559,0.00372573,0.512191,0.671685,0,17,17,0,0.298911,0,0.361898,0,0,0,0,0.216782,0.232275,0.528222,0,0,0,3.19248e-05,0,0.984335,0.642699,0.180734,0.000514539,0.998524,0.163944,0.838197,0.0306406
1400,140,5.83333,23,5,12,6,17,6,0,0,1,8,20.8333,0.0415631,0.00517201,0.491975,0.771887,0,17,17,4,0.297134,0.0326919,0.386741,0,0,0,0,0.199762,0.202472,0.56347,0,0,0,0.000226862,0,0.976293,0.638648,0.20145,0.000634943,0.998524,0.175505,0.85999,0.0276688
1600,160,6.66667,32,5,13,14,24,8,0,0,0,10,25,0.0384166,0.00712438,0.494253,0.870742,0,17,17,6,0.273983,0.0948567,0.403241,0,0,0,0,0.177365,0.173946,0.504018,0,0,0,0.00105592,0,0.966118,0.634597,0.193087,0.000741952,0.998545,0.183315,0.88172,0.0222899
1800,180,7.5,36,5,11,20,24,12,0,0,0,10,29.1667,0.0354243,0.00892789,0.496564,0.969849,0,17,17,10,0.242832,0.169849,0.413972,0,0,0,0,0.154202,0.14017,0.438049,0,0,0,0.0468428,0,0.955444,0.630556,0.179344,0.000835649,0.998566,0.188531,0.89975,0.0108126
2000,200,8.33333,42,5,10,27,26,16,0,0,0,10,29.1667,0.0326852,0.0111515,0.490457,1.06905,0,17,17,15,0.215864,0.26037,0.420643,0,0,0,0,0.132455,0.133403,0.389385,0,0,0,0.218826,0,0.94302,0.626533,0.170159,0.000917149,0.998566,0.191916,0.915088,0.0194886
2200,220,9.16667,47,5,10,32,28,19,0,0,0,9,29.1667,0.0302361,0.0130974,0.474717,1.16607,0,17,17,15,0.199755,0.386664,0.424453,0,0,0,0,0.113514,0.135552,0.350372,0,0,0,0.567687,0,0.930524,0.622523,0.162899,0.000987885,0.998566,0.194011,0.928319,0.0177528
2400,240,10,52,5,13,34,30,22,0,0,0,9,33.3333,0.028079,0.0153957,0.441604,1.25881,0,17,17,15,0.182695,0.521656,0.426236,0,0,0,0,0.0975551,0.140187,0.325323,0,0,0,0.79914,0,0.91658,0.618519,0.15964,0.00104933,0.998587,0.195201,0.939807,0.0141757
2600,260,10.8333,57,5,12,40,30,27,0,0,0,10,37.5,0.0261977,0.0191335,0.400949,1.34241,0,17,17,15,0.165977,0.669699,0.426613,0,0,0,0,0.0851243,0.145493,0.307786,0,0,0,0.799117,0,0.9016,0.614508,0.158087,0.00110285,0.998608,0.195805,0.949803,0.0108537
2800,280,11.6667,61,5,10,46,29,32,0,0,0,9,41.6667,0.0245682,0.0267638,0.383191,1.42135,0,17,17,15,0.148831,0.819843,0.426021,0,0,0,0,0.0717049,0.138297,0.29144,0,0,0,0.799093,0,0.884557,0.610358,0.155933,0.00114972,0.998629,0.196029,0.958497,0.00561883
3000,300,12.5,65,5,11,49,31,34,0,0,0,9,41.6667,0.0231618,0.0345998,0.362403,1.49623,0,17,17,15,0.133444,0.970062,0.424643,0,0,0,0,0.0603489,0.120084,0.277439,0,0,0,0.799078,0,0.867078,0.606044,0.153831,0.00119091,0.998629,0.196019,0.966047,0.00258044
