step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.425988,0.0483032,0,2,0,0,0.0913108,0,0.0267349,0,0,0,0,0.2967,0.064885,0.265894,0,0,0,3.19966e-05,0,1,0.982221,0.20458,1.82065e-07,0.958349,0.011565,0.462364,0.062001
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0435437,0,0.620041,0.155577,0,4,0,0,0.0933834,0,0.194853,0,0,0,0,0.448004,0.236509,0.288758,0,0,0,3.19758e-05,0,1,0.944328,0.209936,1.62231e-06,0.99842,0.0874395,0.701572,0.142352
600,60,2.5,11,5,6,0,11,0,0,0,10,9,0,0.0501382,0,0.653313,0.285389,0,4,4,0,0.170224,0,0.384759,0,0,0,0,0.52095,0.268253,0.31162,0,0,0,3.1963e-05,0,1,0.874846,0.20471,5.97996e-06,0.99842,0.173456,0.744297,0.131903
800,80,3.33333,13,5,7,1,12,1,0,0,12,10,0,0.0525026,0,0.618058,0.414139,0,6,6,0,0.203987,0,0.50599,0,0,0,0,0.547796,0.324363,0.450631,0,0,0,3.19503e-05,0,1,0.744148,0.183291,1.26525e-05,0.99842,0.228622,0.740209,0.135796
1000,100,4.16667,14,5,6,3,11,3,0,0,5,10,8.33333,0.0521595,0.000174376,0.542076,0.531876,0,10,10,0,0.233112,0,0.557277,0,0,0,0,0.549123,0.297598,0.472173,0,0,0,3.19375e-05,0,0.998612,0.646852,0.160446,1.99277e-05,0.998462,0.252297,0.787644,0.0787081
1200,120,5,15,5,6,4,11,4,0,0,4,8,12.5,0.0501,0.000805413,0.479646,0.63361,0,10,10,0,0.25278,0,0.576778,0,0,0,0,0.534091,0.232196,0.484361,0,0,0,3.19248e-05,0,0.993233,0.642891,0.162536,2.63531e-05,0.998483,0.261623,0.820471,0.0344447
1400,140,5.83333,19,5,9,5,15,4,0,0,2,7,12.5,0.0472377,0.0016034,0.430834,0.724558,0,10,10,0,0.240157,0,0.586687,0,0,0,0,0.497571,0.17928,0.488202,0,0,0,3.1912e-05,0,0.985797,0.638917,0.163927,3.17062e-05,0.998483,0.266617,0.845165,0.01467
1600,160,6.66667,24,5,14,5,19,5,0,0,1,5,12.5,0.0441478,0.00230174,0.414725,0.809082,0,10,10,4,0.23307,0.0547566,0.591936,0,0,0,0,0.454747,0.137956,0.461567,0,0,0,0.000473385,0,0.978362,0.634942,0.16479,3.61528e-05,0.998483,0.269506,0.86508,0.00598238
1800,180,7.5,32,5,20,7,25,7,0,0,1,4,12.5,0.0411381,0.00291288,0.380843,0.887807,0,10,10,6,0.216943,0.124749,0.594475,0,0,0,0,0.407197,0.110916,0.425988,0,0,0,0.00160893,0,0.970928,0.630977,0.165268,3.98971e-05,0.998483,0.271169,0.881908,0.00392408
2000,200,8.33333,43,5,26,12,33,10,0,0,1,9,16.6667,0.0383612,0.00357233,0.394689,0.965833,0,10,10,10,0.201669,0.218893,0.594494,0,0,0,0,0.351936,0.127068,0.396478,0,0,0,0.0737882,0,0.962502,0.627031,0.165437,4.31203e-05,0.998504,0.271691,0.896496,0.0335958
2200,220,9.16667,52,5,25,22,36,16,0,0,0,10,25,0.0358794,0.00484322,0.381991,1.0444,0,10,10,10,0.193216,0.358881,0.594301,0,0,0,0,0.3038,0.129167,0.371096,0,0,0,0.353918,0,0.950846,0.623109,0.165018,4.59613e-05,0.998545,0.272114,0.909278,0.0257096
2400,240,10,62,5,25,32,39,23,0,0,0,8,25,0.0336985,0.00686339,0.360104,1.1182,0,10,10,10,0.177642,0.49887,0.593135,0,0,0,0,0.2585,0.132929,0.348511,0,0,0,0.799096,0,0.936009,0.619211,0.163884,4.8496e-05,0.998546,0.272092,0.920504,0.0184043
2600,260,10.8333,73,5,27,41,43,30,0,0,0,10,25,0.0317907,0.00863132,0.350815,1.1896,0,10,10,10,0.160032,0.642447,0.590561,0,0,0,0,0.21643,0.150818,0.329933,0,0,0,0.799117,0,0.921261,0.615339,0.162853,5.07384e-05,0.998546,0.271505,0.930357,0.0250166
2800,280,11.6667,83,5,28,50,47,36,0,0,0,9,25,0.0301236,0.0101785,0.337913,1.25894,0,10,10,10,0.143612,0.794949,0.586839,0,0,0,0,0.181116,0.166204,0.314686,0,0,0,0.799109,0,0.906652,0.61149,0.161926,5.27011e-05,0.998546,0.270699,0.938995,0.0208934
3000,300,12.5,89,5,23,61,43,43,3,0,0,8,29.1667,0.0286671,0.0119894,0.319582,1.32518,0,10,10,10,0.128793,0.948853,0.58231,0,0,0,0,0.151465,0.161364,0.301198,0,0,0,0.7991,0,0.890725,0.607658,0.160697,5.44051e-05,0.998567,0.269773,0.946561,0.00998442
3200,320,13.3333,95,5,22,68,46,44,5,0,0,9,33.3333,0.0273933,0.0160604,0.30427,1.38812,0,10,10,10,0.115934,1.10433,0.577228,0,0,0,0,0.126575,0.181288,0.288696,0,0,0,0.79909,0,0.872683,0.603843,0.15904,5.58737e-05,0.998587,0.268753,0.953185,0.0218361
3400,340,14.1667,102,5,21,76,46,46,10,0,0,9,33.3333,0.0262773,0.0209564,0.273926,1.4471,0,10,10,10,0.113686,1.26147,0.571814,0,0,0,0,0.108183,0.181147,0.277935,0,0,0,0.799076,0,0.853986,0.600044,0.157405,5.71319e-05,0.998587,0.267658,0.958982,0.0168364
3600,360,15,109,5,20,84,48,47,14,0,0,9,33.3333,0.0252981,0.0252411,0.250373,1.49966,0,9,9,9,0.122661,1.41862,0.566338,0,0,0,0,0.0972451,0.150199,0.269107,0,0,0,0.79907,0,0.835566,0.59626,0.155992,5.8208e-05,0.998588,0.266506,0.964059,0.00827071
3800,380,15.8333,112,5,17,90,44,49,18,1,0,9,37.5,0.0244395,0.0299262,0.241485,1.54931,0,9,9,9,0.123281,1.56063,0.560978,0,0,0,0,0.0882517,0.125967,0.26079,0,0,0,0.799102,0,0.815491,0.592495,0.154333,5.91528e-05,0.998629,0.265319,0.968505,0.00517265
4000,400,16.6667,117,5,22,90,48,48,17,4,0,8,41.6667,0.0236853,0.0369464,0.233723,1.59723,0,7,7,7,0.111085,1.70605,0.555656,0,0,0,0,0.0740334,0.106459,0.252857,0,0,0,0.79913,0,0.792336,0.588755,0.15246,5.99586e-05,0.99865,0.26413,0.972401,0.00231369
