step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.453515,0.0498781,0,2,0,0,0.09134,0,0.0267349,0,0,0,0,0.2967,0.0588657,0.266598,0,0,0,3.20568e-05,0,1,0.984269,0.205066,7.37298e-06,0.958349,0.011565,0.462364,0.058885
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0434647,1.91195e-05,0.703575,0.168704,0,4,0,0,0.0930731,0,0.18238,0,0,0,0,0.448037,0.226168,0.275882,0,0,0,3.19761e-05,0,0.99995,0.908552,0.201208,6.16578e-05,0.998441,0.0818409,0.704467,0.139539
600,60,2.5,11,5,5,1,10,1,0,0,9,10,4.16667,0.0498279,0.000316249,0.757679,0.320041,0,4,4,0,0.194276,0,0.366638,0,0,0,0,0.520999,0.282328,0.256136,0,0,0,3.1963e-05,0,0.998749,0.770051,0.17946,0.000220344,0.998441,0.165262,0.754788,0.117554
800,80,3.33333,14,5,6,3,12,2,0,0,8,10,8.33333,0.0520549,0.000584263,0.682321,0.464144,0,6,6,0,0.270249,0,0.490276,0,0,0,0,0.563969,0.314832,0.401536,0,0,0,3.19503e-05,0,0.996675,0.650709,0.157325,0.000469689,0.998462,0.221479,0.74092,0.102772
1000,100,4.16667,20,5,10,5,16,4,0,0,5,10,16.6667,0.0516935,0.00131911,0.629942,0.595932,0,10,10,0,0.290686,0,0.549805,0,0,0,0,0.563906,0.266374,0.464242,0,0,0,3.19375e-05,0,0.990254,0.646425,0.160297,0.000749247,0.998503,0.248842,0.788682,0.0513796
1200,120,5,26,5,13,8,18,8,0,0,3,9,20.8333,0.0497397,0.00283742,0.562372,0.716133,0,10,10,0,0.283942,0,0.576683,0,0,0,0,0.541303,0.19919,0.47996,0,0,0,3.19248e-05,0,0.978802,0.641881,0.161882,0.00100761,0.998524,0.261491,0.821657,0.0187298
1400,140,5.83333,34,5,14,15,22,12,0,0,0,10,20.8333,0.0469895,0.00439462,0.543592,0.826808,0,10,10,0,0.250748,0,0.586753,0,0,0,0,0.494434,0.150818,0.484037,0,0,0,3.1912e-05,0,0.966409,0.637257,0.162683,0.00122779,0.998524,0.266559,0.846301,0.00670894
1600,160,6.66667,47,5,24,18,29,18,0,0,0,9,29.1667,0.0439724,0.00679837,0.511511,0.932723,0,10,10,4,0.222814,0.0195108,0.592069,0,0,0,0,0.4452,0.125474,0.473709,0,0,0,8.0039e-05,0,0.950461,0.632669,0.162261,0.00141064,0.998566,0.26948,0.866075,0.0118211
1800,180,7.5,54,5,25,24,30,24,0,0,0,10,29.1667,0.0410111,0.00928784,0.49389,1.03389,0,10,10,6,0.201232,0.0710457,0.594335,0,0,0,0,0.392027,0.0987317,0.435513,0,0,0,0.000775815,0,0.933113,0.628178,0.161476,0.00156431,0.998566,0.271021,0.882739,0.00450846
