step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.454454,0.0498476,0,2,0,0,0.0913407,0,0.0267349,0,0,0,0,0.2967,0.0530815,0.266734,0,0,0,3.58003e-05,0,1,0.984635,0.205157,7.37298e-06,0.958349,0.011565,0.462364,0.0530402
400,40,1.66667,9,5,4,0,9,0,0,0,9,10,0,0.0434499,0,0.707618,0.169473,0,4,0,0,0.0929447,0,0.180497,0,0,0,0,0.448044,0.240371,0.271447,0,0,0,3.19761e-05,0,1,0.8956,0.198139,6.09215e-05,0.99842,0.0809924,0.705009,0.151614
600,60,2.5,10,5,4,1,9,1,0,0,8,9,12.5,0.04978,0.000761273,0.652246,0.30768,0,4,4,0,0.194305,0,0.363343,0,0,0,0,0.522355,0.286063,0.241847,0,0,0,3.1963e-05,0,0.996711,0.737468,0.170485,0.000217077,0.998483,0.163773,0.756441,0.117619
800,80,3.33333,12,5,5,2,10,2,0,0,8,10,16.6667,0.0519894,0.00170751,0.623986,0.434751,0,6,6,0,0.268852,0,0.488899,0,0,0,0,0.564381,0.298056,0.384362,0,0,0,3.19503e-05,0,0.989892,0.650671,0.1573,0.000463664,0.998503,0.220847,0.741032,0.100494
1000,100,4.16667,17,5,8,4,13,4,0,0,6,10,20.8333,0.0516766,0.00297836,0.609134,0.557086,0,10,10,0,0.277642,0,0.554322,0,0,0,0,0.557669,0.269088,0.463584,0,0,0,3.19375e-05,0,0.979604,0.646472,0.160073,0.00074582,0.998524,0.250872,0.788816,0.0758642
1200,120,5,20,5,10,5,15,5,0,0,3,10,20.8333,0.0497581,0.00451796,0.552623,0.676549,0,10,10,0,0.273333,0,0.576825,0,0,0,0,0.529525,0.224159,0.482092,0,0,0,3.19248e-05,0,0.967285,0.642217,0.161617,0.00100753,0.998524,0.261552,0.821732,0.0405199
1400,140,5.83333,27,5,10,12,18,9,0,0,3,8,20.8333,0.0470005,0.00586532,0.536276,0.785263,0,10,10,0,0.271575,0,0.58686,0,0,0,0,0.492836,0.16939,0.482451,0,0,0,3.1912e-05,0,0.954893,0.637961,0.162591,0.00122759,0.998524,0.266605,0.846332,0.0153062
1600,160,6.66667,33,5,11,17,22,11,0,0,3,7,25,0.043979,0.00748738,0.488478,0.888208,0,10,10,4,0.265771,0.0489814,0.592132,0,0,0,0,0.448812,0.142124,0.461139,0,0,0,0.000436853,0,0.941002,0.633738,0.162787,0.00141033,0.998545,0.269505,0.866085,0.00863578
1800,180,7.5,38,5,12,21,24,14,0,0,0,8,29.1667,0.0410152,0.00977615,0.485896,0.986436,0,10,10,6,0.240302,0.118962,0.594421,0,0,0,0,0.393597,0.135605,0.421882,0,0,0,0.001659,0,0.924075,0.629566,0.162083,0.00156394,0.998566,0.271057,0.882739,0.0161409
