step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,8,0,0.0294937,0,0.448608,0.0495057,0,2,0,0,0.0913439,0,0.0267349,0,0,0,0,0.2967,0.0497082,0.266905,0,0,0,3.20882e-05,0,1,0.985111,0.205273,7.37298e-06,0.958349,0.011565,0.462364,0.0489877
400,40,1.66667,9,5,4,0,9,0,0,0,9,10,0,0.0434268,0,0.69877,0.167543,0,4,0,0,0.0929393,0,0.176572,0,0,0,0,0.448053,0.249059,0.269606,0,0,0,3.19762e-05,0,1,0.890657,0.196908,5.97681e-05,0.99842,0.0792349,0.705878,0.157674
600,60,2.5,13,5,6,2,11,2,0,0,7,10,8.33333,0.0496655,0.000463737,0.601891,0.298077,0,4,4,0,0.195887,0,0.353713,0,0,0,0,0.528168,0.324099,0.23206,0,0,0,3.1963e-05,0,0.99808,0.702864,0.16311,0.000209458,0.998462,0.15942,0.76035,0.14798
800,80,3.33333,15,5,5,5,10,5,0,0,10,10,16.6667,0.0517168,0.00142503,0.596023,0.418225,0,6,6,0,0.207294,0,0.473295,0,0,0,0,0.549646,0.359898,0.372034,0,0,0,3.19503e-05,0,0.991766,0.650599,0.157276,0.000440858,0.998503,0.213774,0.741355,0.11497
1000,100,4.16667,20,5,8,7,13,7,0,0,5,10,20.8333,0.0512626,0.00244897,0.511611,0.530164,0,10,10,0,0.243024,0,0.539793,0,0,0,0,0.549697,0.305381,0.450754,0,0,0,3.19375e-05,0,0.982872,0.646163,0.160229,0.000703771,0.998524,0.244254,0.789456,0.0555253
1200,120,5,26,5,10,11,17,9,0,0,5,8,20.8333,0.0493716,0.00405468,0.492179,0.630234,0,10,10,0,0.266083,0,0.572921,0,0,0,0,0.532495,0.227602,0.474909,0,0,0,3.19248e-05,0,0.970857,0.641513,0.161625,0.000959257,0.998524,0.259716,0.822653,0.0225992
1400,140,5.83333,33,5,16,12,22,11,0,0,4,5,29.1667,0.0467286,0.00628145,0.486072,0.728396,0,10,10,0,0.237796,0,0.585867,0,0,0,0,0.486039,0.167189,0.472226,0,0,0,3.1912e-05,0,0.955721,0.636825,0.161787,0.00118472,0.998566,0.266082,0.847329,0.00850287
1600,160,6.66667,41,5,13,23,25,16,0,0,1,9,29.1667,0.0437901,0.00883546,0.453999,0.82286,0,10,10,4,0.22463,0.0234734,0.591262,0,0,0,0,0.432986,0.125384,0.454403,0,0,0,0.000133616,0,0.938373,0.6322,0.161259,0.00137348,0.998566,0.26904,0.86701,0.00371554
1800,180,7.5,47,5,14,28,26,21,0,0,0,10,33.3333,0.0408804,0.0116282,0.42006,0.910089,0,10,10,6,0.218121,0.059472,0.594027,0,0,0,0,0.39112,0.103198,0.418937,0,0,0,0.000657838,0,0.919118,0.627687,0.160216,0.00153217,0.998587,0.270806,0.883536,0.00728695
