step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.449612,0.0495295,0,2,0,0,0.0913454,0,0.0267349,0,0,0,0,0.2967,0.0641219,0.266795,0,0,0,3.2086e-05,0,1,0.984827,0.205201,7.37298e-06,0.958349,0.011565,0.462364,0.0644241
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0434511,0,0.696998,0.16735,0,4,0,0,0.0930622,0,0.179742,0,0,0,0,0.448042,0.252252,0.273707,0,0,0,3.19766e-05,0,1,0.902311,0.199714,6.09758e-05,0.99842,0.0806616,0.704932,0.156486
600,60,2.5,12,5,5,2,10,2,0,0,10,10,12.5,0.0497022,0.000687562,0.653149,0.30575,0,4,2,0,0.188642,0,0.351999,0,0,0,0,0.53707,0.341626,0.236699,0,0,0,3.19631e-05,0,0.997022,0.722771,0.166957,0.000212193,0.998483,0.158646,0.758988,0.152819
800,80,3.33333,13,5,3,5,9,4,0,0,12,10,12.5,0.0516855,0.00150026,0.613736,0.433622,0,6,6,0,0.234914,0,0.468471,0,0,0,0,0.569287,0.388593,0.258864,0,0,0,3.19503e-05,0,0.991478,0.650607,0.157282,0.00043945,0.998483,0.211592,0.741311,0.125211
1000,100,4.16667,16,5,5,6,10,6,0,0,5,9,16.6667,0.0511905,0.00249695,0.554569,0.55185,0,10,10,0,0.278254,0,0.537118,0,0,0,0,0.564462,0.359176,0.370367,0,0,0,3.19375e-05,0,0.982811,0.645973,0.160186,0.000697932,0.998503,0.243036,0.789498,0.0800563
1200,120,5,23,5,11,7,16,7,0,0,4,8,20.8333,0.0493181,0.00392368,0.517311,0.658898,0,10,10,0,0.286044,0,0.572362,0,0,0,0,0.535716,0.275042,0.471601,0,0,0,3.19248e-05,0,0.971415,0.640858,0.161599,0.000953494,0.998524,0.259456,0.822759,0.0328731
1400,140,5.83333,30,5,13,12,19,11,0,0,2,9,29.1667,0.0466937,0.00598263,0.504617,0.760555,0,10,10,0,0.255149,0,0.585398,0,0,0,0,0.48795,0.204962,0.477912,0,0,0,3.1912e-05,0,0.956892,0.635542,0.16174,0.00117982,0.998566,0.265863,0.847451,0.014754
1600,160,6.66667,39,5,13,21,23,16,0,0,1,9,33.3333,0.0437661,0.00876134,0.458049,0.858156,0,10,10,2,0.226694,0.0104233,0.590909,0,0,0,0,0.440074,0.149356,0.457587,0,0,0,3.18993e-05,0,0.938924,0.630279,0.160853,0.00136928,0.998587,0.268873,0.867124,0.00536759
1800,180,7.5,45,5,12,28,25,20,0,0,0,10,33.3333,0.0408636,0.0117191,0.438702,0.948189,0,10,10,5,0.201907,0.039595,0.593842,0,0,0,0,0.389173,0.11502,0.424655,0,0,0,0.000326495,0,0.919099,0.625195,0.159562,0.00152857,0.998587,0.270716,0.883636,0.00608606
2000,200,8.33333,54,5,13,36,29,25,0,0,0,9,33.3333,0.0381587,0.0143076,0.433334,1.03513,0,10,10,9,0.179663,0.0752932,0.594485,0,0,0,0,0.337319,0.0890095,0.389971,0,0,0,0.00143185,0,0.899276,0.620331,0.158403,0.00166512,0.998587,0.271522,0.89791,0.00312542
2200,220,9.16667,58,5,14,39,28,30,0,0,0,9,37.5,0.0357261,0.0170072,0.40019,1.11856,0,10,10,9,0.165851,0.128767,0.594233,0,0,0,0,0.296752,0.0709472,0.361343,0,0,0,0.0554517,0,0.879175,0.615691,0.157295,0.00178477,0.998608,0.27192,0.910416,0.00165074
2400,240,10,63,5,16,42,30,33,0,0,0,10,45.8333,0.0335803,0.0285127,0.362954,1.19515,0,10,10,9,0.1533,0.198515,0.593304,0,0,0,0,0.260817,0.0651002,0.334938,0,0,0,0.210526,0,0.852793,0.61126,0.155139,0.00189102,0.99865,0.272008,0.921412,0.0053426
2600,260,10.8333,69,5,18,46,36,33,0,0,0,9,45.8333,0.0317062,0.0396934,0.334434,1.26505,0,10,10,9,0.141255,0.275538,0.591594,0,0,0,0,0.22871,0.06886,0.312753,0,0,0,0.482767,0,0.825705,0.607012,0.153084,0.00198585,0.99865,0.271738,0.931074,0.00799402
2800,280,11.6667,75,5,17,53,34,39,2,0,0,10,45.8333,0.0300783,0.0524982,0.326925,1.33141,0,10,10,10,0.129576,0.35721,0.589064,0,0,0,0,0.193969,0.0670107,0.295517,0,0,0,0.799417,0,0.795803,0.602918,0.151712,0.00207067,0.998691,0.271153,0.939543,0.0109219
3000,300,12.5,80,5,20,55,34,42,4,0,0,10,50,0.0286658,0.0688881,0.308741,1.39543,0,10,10,10,0.119146,0.438356,0.58575,0,0,0,0,0.165377,0.0676406,0.278628,0,0,0,0.799403,0,0.760815,0.598951,0.149415,0.00214632,0.998733,0.270332,0.946947,0.00957286
3200,320,13.3333,86,5,20,61,35,43,8,0,0,9,58.3333,0.0274383,0.105968,0.280537,1.45457,0,10,10,10,0.109975,0.521827,0.581818,0,0,0,0,0.141384,0.060911,0.264156,0,0,0,0.799396,0,0.716647,0.595088,0.147216,0.00221334,0.998817,0.269375,0.95341,0.0057417
3400,340,14.1667,98,5,22,71,44,44,10,0,0,7,62.5,0.0263684,0.149155,0.254023,1.50821,0,10,10,10,0.101626,0.599825,0.577438,0,0,0,0,0.120784,0.0553339,0.252057,0,0,0,0.799419,0,0.667739,0.59131,0.145253,0.00227232,0.998879,0.26835,0.959046,0.00343063
3600,360,15,109,5,26,78,48,48,13,0,0,9,62.5,0.0254327,0.187641,0.23487,1.55719,0,10,10,10,0.0943724,0.679173,0.572728,0,0,0,0,0.103026,0.051669,0.242876,0,0,0,0.799431,0,0.616035,0.587602,0.143875,0.00232387,0.998879,0.267269,0.963961,0.00271964
