step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.422084,0.0476079,0,2,0,0,0.0913703,0,0.0267349,0,0,0,0,0.2967,0.0616733,0.268234,0,0,0,3.19908e-05,0,1,0.988809,0.206174,1.82065e-07,0.958349,0.011565,0.462364,0.0575531
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0435356,0,0.616303,0.154806,0,4,0,0,0.0936151,0,0.193706,0,0,0,0,0.448008,0.237586,0.290614,0,0,0,3.19758e-05,0,1,0.95062,0.211307,1.61246e-06,0.99842,0.0869214,0.701872,0.142739
600,60,2.5,10,5,5,0,10,0,0,0,10,8,0,0.0501212,0,0.544077,0.26709,0,4,4,0,0.205068,0,0.385949,0,0,0,0,0.527907,0.238026,0.335603,0,0,0,3.1963e-05,0,1,0.893395,0.208983,5.95095e-06,0.99842,0.173984,0.744963,0.100231
800,80,3.33333,12,5,7,0,12,0,0,0,10,6,0,0.0525699,0,0.569857,0.379682,0,6,6,0,0.215001,0,0.513809,0,0,0,0,0.547956,0.234293,0.500175,0,0,0,3.19503e-05,0,1,0.821458,0.201329,1.27768e-05,0.99842,0.232162,0.740202,0.075649
1000,100,4.16667,12,5,6,1,11,1,0,0,8,6,4.16667,0.0522546,6.0024e-05,0.537388,0.491232,0,10,10,0,0.203047,0,0.558477,0,0,0,0,0.535452,0.194559,0.525553,0,0,0,3.19375e-05,0,0.999529,0.742076,0.190708,2.01578e-05,0.998441,0.252853,0.787528,0.0400124
1200,120,5,12,5,5,2,10,2,0,0,7,5,8.33333,0.0501639,0.000435348,0.4815,0.593298,0,10,10,0,0.186473,0,0.577276,0,0,0,0,0.505517,0.152347,0.526691,0,0,0,3.19248e-05,0,0.996393,0.679824,0.182621,2.65583e-05,0.998462,0.26186,0.8203,0.0150498
1400,140,5.83333,13,5,6,2,11,2,0,0,3,6,12.5,0.0472811,0.00127534,0.450313,0.685492,0,10,10,0,0.168343,0,0.587078,0,0,0,0,0.464966,0.121816,0.522342,0,0,0,3.1912e-05,0,0.988995,0.639038,0.176787,3.18835e-05,0.998483,0.266805,0.84499,0.00609978
1600,160,6.66667,17,5,9,3,14,3,0,0,2,10,16.6667,0.0441778,0.00213014,0.458599,0.777335,0,10,10,4,0.161035,0.0486412,0.59219,0,0,0,0,0.41071,0.111559,0.498544,0,0,0,0.000339485,0,0.980643,0.635138,0.175346,3.63049e-05,0.998504,0.269632,0.864922,0.0132668
1800,180,7.5,22,5,12,5,17,5,0,0,0,9,16.6667,0.0411592,0.00306223,0.437861,0.867552,0,10,10,6,0.157684,0.121785,0.594494,0,0,0,0,0.361191,0.0992764,0.455465,0,0,0,0.00121464,0,0.970731,0.631258,0.173604,4.00277e-05,0.998504,0.271189,0.881775,0.0103256
2000,200,8.33333,29,5,19,5,24,5,0,0,0,10,16.6667,0.0383758,0.00387793,0.423783,0.954091,0,10,10,10,0.157745,0.226954,0.594387,0,0,0,0,0.315599,0.0923875,0.42197,0,0,0,0.0611361,0,0.960821,0.6274,0.17282,4.32321e-05,0.998504,0.271654,0.896387,0.0115227
