step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.451563,0.0495406,0,2,0,0,0.0913467,0,0.0267349,0,0,0,0,0.2967,0.0610086,0.266667,0,0,0,3.24059e-05,0,1,0.984492,0.205116,7.37298e-06,0.958349,0.011565,0.462364,0.0610452
400,40,1.66667,9,5,4,0,9,0,0,0,9,10,0,0.0434522,0,0.696621,0.167306,0,4,0,0,0.0930371,0,0.180384,0,0,0,0,0.448042,0.257934,0.273541,0,0,0,3.19763e-05,0,1,0.901722,0.199589,6.10351e-05,0.99842,0.0809469,0.704929,0.158914
600,60,2.5,11,5,5,1,10,1,0,0,8,10,8.33333,0.0497442,0.000594832,0.616708,0.299316,0,4,1,0,0.186261,0,0.357591,0,0,0,0,0.527326,0.328938,0.242182,0,0,0,3.19631e-05,0,0.997714,0.735404,0.170413,0.000214871,0.998462,0.161171,0.757615,0.139323
800,80,3.33333,14,5,6,3,11,3,0,0,9,10,16.6667,0.0518393,0.00124899,0.541325,0.41754,0,6,6,0,0.245808,0,0.478502,0,0,0,0,0.561277,0.326462,0.230528,0,0,0,3.19503e-05,0,0.993245,0.650568,0.157268,0.000451813,0.998503,0.216137,0.741165,0.106969
1000,100,4.16667,17,5,8,4,13,4,0,0,6,9,20.8333,0.0514227,0.00242664,0.506165,0.521716,0,10,10,0,0.282649,0,0.543739,0,0,0,0,0.555888,0.24408,0.32598,0,0,0,3.19375e-05,0,0.98379,0.646337,0.160165,0.00072108,0.998524,0.246061,0.789155,0.0432687
1200,120,5,25,5,12,8,17,8,0,0,6,5,20.8333,0.0495068,0.00403513,0.519811,0.625236,0,10,10,0,0.25058,0,0.573377,0,0,0,0,0.516373,0.18354,0.472839,0,0,0,3.19248e-05,0,0.971772,0.642079,0.161684,0.000977446,0.998524,0.259951,0.822272,0.0164937
1400,140,5.83333,31,5,15,11,21,10,0,0,5,4,25,0.0468175,0.00568516,0.500889,0.727207,0,10,10,0,0.21947,0,0.58616,0,0,0,0,0.471114,0.139829,0.4809,0,0,0,3.1912e-05,0,0.958638,0.63784,0.162438,0.00120016,0.998545,0.266243,0.846948,0.00662026
1600,160,6.66667,39,5,15,19,24,15,0,0,4,3,33.3333,0.0438525,0.00800182,0.468998,0.825002,0,10,10,4,0.193603,0.010272,0.591545,0,0,0,0,0.422539,0.107922,0.47515,0,0,0,3.18993e-05,0,0.942417,0.633647,0.162142,0.00138682,0.998587,0.269195,0.866671,0.00259366
1800,180,7.5,45,5,12,28,24,21,0,0,2,8,33.3333,0.0409253,0.0110544,0.452428,0.91748,0,10,10,6,0.175249,0.0391429,0.594088,0,0,0,0,0.373928,0.104488,0.447298,0,0,0,0.000318265,0,0.922593,0.629517,0.160942,0.00154373,0.998587,0.270862,0.883251,0.015765
2000,200,8.33333,52,5,14,33,29,23,0,0,0,10,37.5,0.0382031,0.0139345,0.432851,1.00645,0,10,10,10,0.162572,0.082939,0.594317,0,0,0,0,0.328674,0.0955027,0.408853,0,0,0,0.00162308,0,0.902637,0.625453,0.159828,0.00167822,0.998608,0.271481,0.897595,0.016025
2200,220,9.16667,58,5,17,36,30,28,0,0,0,8,37.5,0.0357516,0.0198094,0.411957,1.0907,0,10,10,10,0.157674,0.162807,0.593358,0,0,0,0,0.28606,0.0978619,0.375848,0,0,0,0.0663628,0,0.880377,0.621454,0.158238,0.00179522,0.998608,0.271558,0.910168,0.0145224
