step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.449311,0.0493949,0,2,1,0,0.0913566,0,0.0267349,0,0,0,0,0.2967,0.0739441,0.336273,0,0,0,3.1997e-05,0,1,0.985484,0.205355,7.37298e-06,0.958349,0.011565,0.462364,0.0720815
400,40,1.66667,10,5,4,1,9,1,0,0,9,10,8.33333,0.0434556,3.34756e-05,0.693539,0.167068,0,4,1,0,0.093064,0,0.180398,0,0,0,0,0.44804,0.259495,0.369752,0,0,0,3.19761e-05,0,0.999913,0.901854,0.199497,6.12003e-05,0.998462,0.0809559,0.704768,0.154807
600,60,2.5,11,5,5,1,10,1,0,0,9,10,16.6667,0.0497533,0.00114655,0.670673,0.308852,0,4,4,0,0.194734,0,0.359283,0,0,0,0,0.528158,0.357012,0.347764,0,0,0,3.19631e-05,0,0.995314,0.726018,0.166431,0.00021546,0.998503,0.161937,0.757272,0.151377
800,80,3.33333,12,5,6,1,11,1,0,0,10,9,16.6667,0.0518882,0.00220145,0.574623,0.431817,0,6,6,0,0.27542,0,0.483402,0,0,0,0,0.572517,0.374112,0.409932,0,0,0,3.19503e-05,0,0.987696,0.650758,0.157329,0.000455591,0.998503,0.218345,0.741124,0.118616
1000,100,4.16667,17,5,7,5,12,5,0,0,6,9,20.8333,0.0515607,0.00313605,0.509126,0.540978,0,10,10,0,0.317974,0,0.55371,0,0,0,0,0.578072,0.327542,0.46667,0,0,0,3.19375e-05,0,0.978376,0.646759,0.160376,0.000733794,0.998524,0.250573,0.789017,0.0672729
1200,120,5,23,5,12,6,17,6,0,0,4,9,20.8333,0.0496892,0.00465596,0.504605,0.642878,0,10,10,1,0.318571,0.0115314,0.576369,0,0,0,0,0.55096,0.266466,0.475234,0,0,0,3.19248e-05,0,0.966,0.642727,0.161911,0.000997656,0.998524,0.26133,0.821969,0.0286379
1400,140,5.83333,28,5,14,9,19,9,0,0,3,9,25,0.046953,0.00625395,0.486524,0.741807,0,10,10,1,0.284552,0.0265193,0.586524,0,0,0,0,0.501751,0.225298,0.468657,0,0,0,0.000130896,0,0.952715,0.638677,0.16266,0.00121898,0.998545,0.266437,0.846556,0.014735
1600,160,6.66667,34,5,15,14,19,15,0,0,2,10,25,0.0439456,0.00809797,0.491795,0.840028,0,10,10,4,0.252975,0.0630856,0.591898,0,0,0,0,0.444364,0.21806,0.43678,0,0,0,0.000554894,0,0.937844,0.634635,0.162713,0.00140287,0.998545,0.269383,0.866279,0.0290387
1800,180,7.5,41,5,13,23,22,19,0,0,2,9,33.3333,0.0409908,0.0106841,0.466706,0.936669,0,10,10,6,0.221449,0.108057,0.594451,0,0,0,0,0.390184,0.19239,0.401276,0,0,0,0.00110804,0,0.919666,0.630617,0.16179,0.00155744,0.998587,0.271054,0.882901,0.0131873
2000,200,8.33333,50,5,15,30,26,24,0,0,0,10,33.3333,0.0382513,0.0134018,0.441287,1.0277,0,10,10,10,0.203495,0.17374,0.59449,0,0,0,0,0.341485,0.177235,0.371205,0,0,0,0.00194167,0,0.899842,0.626634,0.160563,0.00169013,0.998587,0.271587,0.897299,0.0101726
2200,220,9.16667,57,5,16,36,31,26,0,0,0,9,41.6667,0.0357946,0.0202846,0.407557,1.11318,0,10,10,10,0.193588,0.287877,0.594092,0,0,0,0,0.298178,0.144106,0.344545,0,0,0,0.0596158,0,0.876969,0.62269,0.158674,0.00180657,0.998629,0.271918,0.90992,0.00539441
2400,240,10,66,5,12,49,34,32,0,0,0,9,45.8333,0.0336274,0.0315425,0.377504,1.19146,0,10,10,10,0.177609,0.397747,0.592771,0,0,0,0,0.257386,0.119706,0.320377,0,0,0,0.332312,0,0.850492,0.618789,0.156124,0.00190955,0.99865,0.27183,0.921018,0.00386832
2600,260,10.8333,70,5,15,50,36,33,1,0,0,8,50,0.0317326,0.0459172,0.356863,1.26521,0,10,10,10,0.161071,0.51107,0.590677,0,0,0,0,0.217913,0.106663,0.299701,0,0,0,0.798845,0,0.820807,0.614931,0.153614,0.00200087,0.998691,0.271471,0.930772,0.00989392
