step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,7,0,0.0293782,0,0.451216,0.0497207,0,2,0,0,0.0913469,0,0.022017,0,0,0,0,0.118692,0.0425266,0.267299,0,0,0,6.20459e-05,0,1,0.986179,0.205537,6.02189e-06,0.958349,0.00952457,0.463113,0.0419113
400,40,1.66667,9,5,3,1,8,1,0,0,9,10,4.16667,0.0428121,1.59436e-05,0.698864,0.167982,0,4,0,0,0.0932385,0,0.0930698,0,0,0,0,0.179331,0.17203,0.279962,0,0,0,3.19765e-05,0,0.999958,0.920333,0.204018,3.98146e-05,0.957224,0.0416365,0.731008,0.11068
600,60,2.5,12,5,6,1,11,1,0,0,10,10,4.16667,0.0478744,0.00031347,0.724812,0.314643,0,4,1,0,0.190785,0,0.182543,0,0,0,0,0.211308,0.2344,0.263772,0,0,0,3.19631e-05,0,0.999125,0.793663,0.184875,0.000117593,0.998441,0.0821439,0.844764,0.103666
800,80,3.33333,13,5,5,3,10,3,0,0,13,10,12.5,0.0485727,0.000810142,0.673639,0.455873,0,6,4,0,0.254113,0,0.259738,0,0,0,0,0.227315,0.276998,0.365528,0,0,0,3.19503e-05,0,0.997387,0.650747,0.157438,0.000230074,0.998483,0.117191,0.873981,0.102884
1000,100,4.16667,15,5,6,4,11,4,0,0,7,10,12.5,0.0470212,0.00160753,0.593819,0.582045,0,10,9,0,0.279302,0,0.315936,0,0,0,0,0.227772,0.25487,0.449771,0,0,0,3.19375e-05,0,0.993671,0.64658,0.16035,0.00035813,0.998483,0.142827,0.861705,0.0595777
1200,120,5,17,5,6,6,12,5,0,0,6,8,12.5,0.0443762,0.00230536,0.56763,0.698839,0,10,10,0,0.272593,0,0.354459,0,0,0,0,0.215451,0.217397,0.481707,0,0,0,3.19248e-05,0,0.989373,0.642096,0.162336,0.000485812,0.998483,0.160528,0.841082,0.0339521
1400,140,5.83333,22,5,8,9,14,8,0,0,4,8,20.8333,0.0413016,0.00373914,0.535124,0.808446,0,10,10,0,0.26481,0,0.380296,0,0,0,0,0.198916,0.188,0.483452,0,0,0,3.1912e-05,0,0.981962,0.637383,0.163128,0.000604437,0.998524,0.17253,0.86085,0.0279379
1600,160,6.66667,29,5,14,10,19,10,0,0,3,10,25,0.0381759,0.00520657,0.537325,0.915884,0,10,10,1,0.240735,0.00694787,0.397536,0,0,0,0,0.177871,0.155645,0.479197,0,0,0,3.18993e-05,0,0.973616,0.63264,0.163375,0.000710744,0.998545,0.180668,0.882587,0.0163028
1800,180,7.5,38,5,15,18,26,12,0,0,1,10,29.1667,0.0352042,0.00764535,0.537667,1.02365,0,10,10,4,0.209827,0.0258452,0.408892,0,0,0,0,0.154561,0.131517,0.45123,0,0,0,0.000145517,0,0.962269,0.627975,0.162471,0.000804448,0.998566,0.186161,0.900597,0.0210446
2000,200,8.33333,45,5,16,24,29,16,0,0,0,10,29.1667,0.0324849,0.0100291,0.531328,1.13113,0,10,10,9,0.184776,0.0505923,0.416105,0,0,0,0,0.133323,0.138183,0.415633,0,0,0,0.000433256,0,0.950105,0.623436,0.161425,0.000886449,0.998566,0.189787,0.915896,0.0358065
2200,220,9.16667,53,5,17,31,32,21,0,0,0,10,29.1667,0.0300545,0.0121151,0.514185,1.23613,0,10,10,9,0.16827,0.0890886,0.42038,0,0,0,0,0.114507,0.149289,0.383874,0,0,0,0.0059138,0,0.937841,0.619023,0.160456,0.000958029,0.998566,0.192088,0.929079,0.0223707
2400,240,10,63,5,24,34,38,25,0,0,0,8,37.5,0.0279144,0.0157557,0.486478,1.33684,0,10,10,9,0.155219,0.141085,0.422545,0,0,0,0,0.0980431,0.139747,0.356114,0,0,0,0.0724082,0,0.923712,0.614609,0.158881,0.00102052,0.998608,0.193435,0.940514,0.0126208
2600,260,10.8333,75,5,25,45,43,32,0,0,0,10,45.8333,0.0260481,0.0230881,0.45766,1.432,0,10,10,10,0.14154,0.193483,0.423188,0,0,0,0,0.0836062,0.138282,0.33113,0,0,0,0.221637,0,0.907153,0.610105,0.156599,0.00107515,0.99865,0.194094,0.950456,0.0160803
2800,280,11.6667,84,5,25,54,46,37,1,0,0,9,50,0.0244303,0.0356855,0.420054,1.5199,0,10,10,10,0.128717,0.245431,0.422722,0,0,0,0,0.0710914,0.11245,0.30792,0,0,0,0.453454,0,0.887608,0.605509,0.153538,0.001123,0.998691,0.194325,0.959098,0.00950427
3000,300,12.5,92,5,23,64,46,42,4,0,0,10,50,0.0230327,0.0518415,0.388578,1.60087,0,10,10,10,0.117299,0.29623,0.421436,0,0,0,0,0.060277,0.0982659,0.287347,0,0,0,0.768179,0,0.865106,0.600947,0.150324,0.00116497,0.998712,0.194349,0.966602,0.00990709
3200,320,13.3333,100,5,24,71,50,42,8,0,0,10,54.1667,0.0218269,0.078832,0.36027,1.67606,0,10,10,10,0.107412,0.351579,0.419545,0,0,0,0,0.0508879,0.0837405,0.269507,0,0,0,0.799455,0,0.83741,0.596487,0.147221,0.00120182,0.998775,0.194221,0.973108,0.00440624
3400,340,14.1667,105,5,21,79,49,45,11,0,0,7,62.5,0.0207861,0.111711,0.331325,1.74568,0,10,10,10,0.0990626,0.411578,0.417207,0,0,0,0,0.0428476,0.0746788,0.253876,0,0,0,0.799435,0,0.807076,0.592153,0.144203,0.00123415,0.998858,0.193973,0.978741,0.00222987
3600,360,15,112,5,20,87,50,48,14,0,0,9,62.5,0.0198865,0.156943,0.301313,1.80896,0,10,10,10,0.0919329,0.471577,0.414548,0,0,0,0,0.0360013,0.0732933,0.239993,0,0,0,0.799421,0,0.771964,0.587947,0.141231,0.0012625,0.998858,0.193627,0.983616,0.00608706
3800,380,15.8333,117,5,17,95,50,50,17,0,0,8,62.5,0.019107,0.191931,0.279632,1.86713,0,10,10,10,0.0858205,0.531576,0.411668,0,0,0,0,0.0301651,0.0678935,0.22962,0,0,0,0.799413,0,0.737292,0.583864,0.139132,0.00128732,0.998858,0.193203,0.987834,0.00303913
4000,400,16.6667,118,5,16,97,49,49,18,2,0,9,66.6667,0.0184294,0.229663,0.259389,1.9213,0,7,7,7,0.0808065,0.579825,0.408641,0,0,0,0,0.0252845,0.0659791,0.221318,0,0,0,0.799434,0,0.700798,0.579894,0.137427,0.00130901,0.998921,0.192713,0.991487,0.00624778
4200,420,17.5,122,5,17,100,48,53,18,3,0,8,66.6667,0.0178381,0.267627,0.239624,1.97128,0,6,6,6,0.076866,0.609824,0.405533,0,0,0,0,0.0212538,0.0570696,0.214095,0,0,0,0.79948,0,0.662232,0.576026,0.135799,0.00132795,0.998921,0.192172,0.994653,0.00257235
4400,440,18.3333,127,5,16,106,50,51,19,7,0,7,75,0.0173201,0.30967,0.219618,2.01763,0,4,4,4,0.0742054,0.635324,0.402396,0,0,0,0,0.0180428,0.0491652,0.208142,0,0,0,0.799534,0,0.62123,0.572248,0.134389,0.00134447,0.999046,0.191588,0.997404,0.00115071
4600,460,19.1667,129,5,16,108,51,52,21,5,0,7,79.1667,0.0168646,0.375537,0.19256,2.059,0,3,3,3,0.0723738,0.645324,0.399277,0,0,0,0,0.0154909,0.0403571,0.201319,0,0,0,0.79963,0,0.572257,0.56855,0.132394,0.00135888,0.999109,0.190971,0.999799,0.000548897
4800,480,20,130,5,17,108,48,55,21,6,0,9,79.1667,0.0164624,0.432691,0.174855,2.09574,0,2,2,2,0.0710198,0.655324,0.396216,0,0,0,0,0.0134538,0.0417258,0.194361,0,0,0,0.799696,0,0.520073,0.564922,0.130153,0.00137149,0.999129,0.190328,1.00189,0.00783994
5000,500,20.8333,131,5,17,109,47,58,21,5,0,7,100,0.0161061,0.472447,0.163778,2.12968,0,2,2,2,0.0697415,0.665323,0.393238,0,0,0,0,0.0117275,0.0425337,0.18757,0,0,0,0.799742,0,0.467965,0.561356,0.12782,0.00138259,0.999171,0.189664,1.00372,0.00967405
5200,520,21.6667,0,0,0,0,0,0,0,0,0,6,100,0.0158046,0.524402,0.120421,2.15777,0,0,0,0,0.0685369,0.665423,0.392779,0,0,0,0,0.0102583,0.0344359,0.170162,0,0,0,0.799807,0,0.358326,0.557844,0.121112,0.00139459,0.999921,0.189272,1.00533,0.00403232
5400,540,22.5,0,0,0,0,0,0,0,0,0,4,100,0.0155555,0.559215,0.0943687,2.1791,0,0,0,0,0.0675752,0.665423,0.391841,0,0,0,0,0.00899947,0.0285279,0.156937,0,0,0,0.799854,0,0.248896,0.554381,0.115972,0.0014082,0.999921,0.188801,1.00671,0.00180791
5600,560,23.3333,0,0,0,0,0,0,0,0,0,4,100,0.0153428,0.582541,0.0778884,2.19615,0,0,0,0,0.0665918,0.665423,0.390612,0,0,0,0,0.00784871,0.0275775,0.149781,0,0,0,0.799888,0,0.159152,0.550962,0.113174,0.00142209,0.999921,0.18828,1.0079,0.00515542
5800,580,24.1667,0,0,0,0,0,0,0,0,0,3,100,0.0151563,0.598171,0.0688622,2.2109,0,0,0,0,0.065536,0.665423,0.389157,0,0,0,0,0.00683005,0.0464343,0.145009,0,0,0,0.799907,0,0.0867263,0.547576,0.111259,0.00143555,0.999921,0.187723,1.00892,0.0170485
6000,600,25,0,0,0,0,0,0,0,0,0,3,100,0.0149892,0.608644,0.059019,2.2237,0,0,0,0,0.0644185,0.665423,0.387519,0,0,0,0,0.00594717,0.0589981,0.140968,0,0,0,0.799915,0,0.0146481,0.54422,0.109579,0.00144817,0.999921,0.187139,1.0098,0.0143449
6200,620,25.8333,0,0,0,0,0,0,0,0,0,4,100,0.0148365,0.615661,0.0539147,2.23491,0,0,0,0,0.0634621,0.665423,0.385729,0,0,0,0,0.00524987,0.0839957,0.137524,0,0,0,0.799917,0,9.36058e-07,0.54089,0.108092,0.0014597,0.999921,0.186531,1.01057,0.0239922
6400,640,26.6667,0,0,0,0,0,0,0,0,0,4,100,0.014695,0.620363,0.0476011,2.24512,0,0,0,0,0.06281,0.665423,0.383858,0,0,0,0,0.00477304,0.107693,0.13457,0,0,0,0.79991,0,9.36058e-07,0.537582,0.106762,0.00147008,0.999921,0.185905,1.01126,0.0218639
