step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.458005,0.0498953,0,2,0,0,0.0913445,0,0.022017,0,0,0,0,0.296729,0.0779114,0.266432,0,0,0,3.20531e-05,0,1,0.983853,0.204958,6.02189e-06,0.958349,0.00952457,0.463113,0.0796734
400,40,1.66667,8,5,3,0,8,0,0,0,9,9,0,0.0430615,0,0.70961,0.170555,0,4,0,0,0.0927305,0,0.167008,0,0,0,0,0.448222,0.272512,0.265642,0,0,0,3.19762e-05,0,1,0.878871,0.194144,5.1624e-05,0.99842,0.0750091,0.710147,0.159638
600,60,2.5,11,5,5,1,10,1,0,0,10,10,8.33333,0.0489706,0.000470836,0.665089,0.310487,0,4,4,0,0.195127,0,0.338859,0,0,0,0,0.527949,0.321447,0.232619,0,0,0,3.19631e-05,0,0.998193,0.702617,0.163309,0.000184296,0.998462,0.152782,0.770136,0.128086
800,80,3.33333,12,5,4,3,9,3,0,0,10,8,16.6667,0.0507457,0.00151635,0.596942,0.434804,0,6,6,0,0.230064,0,0.459403,0,0,0,0,0.556288,0.299955,0.313074,0,0,0,3.19503e-05,0,0.991627,0.650607,0.157283,0.000392336,0.998503,0.207547,0.744522,0.0958672
1000,100,4.16667,16,5,5,6,10,6,0,0,5,9,20.8333,0.0498466,0.00252889,0.568,0.54954,0,10,10,0,0.244335,0,0.489587,0,0,0,0,0.550392,0.255523,0.440746,0,0,0,3.19375e-05,0,0.983477,0.646435,0.160302,0.000610045,0.998524,0.221599,0.791969,0.0566536
1200,120,5,23,5,12,6,17,6,0,0,4,9,20.8333,0.0473158,0.00412461,0.52232,0.659198,0,10,10,0,0.248427,0,0.489588,0,0,0,0,0.529322,0.201463,0.482147,0,0,0,3.19248e-05,0,0.97327,0.642239,0.161805,0.000791173,0.998524,0.222037,0.826431,0.0230666
1400,140,5.83333,32,5,17,10,22,10,0,0,2,7,25,0.0441145,0.00571951,0.503868,0.762539,0,10,10,0,0.235029,0,0.489588,0,0,0,0,0.489969,0.153449,0.485167,0,0,0,3.1912e-05,0,0.962522,0.638053,0.162583,0.00093655,0.998545,0.222471,0.852677,0.00824319
1600,160,6.66667,40,5,16,19,25,15,0,0,1,8,29.1667,0.0407799,0.0077509,0.510303,0.863914,0,10,10,4,0.225908,0.0486438,0.489588,0,0,0,0,0.437823,0.138142,0.462953,0,0,0,0.000432136,0,0.949947,0.633902,0.162498,0.00105315,0.998566,0.222902,0.873956,0.0174453
1800,180,7.5,44,5,14,25,26,18,0,0,0,10,33.3333,0.0375933,0.0103455,0.486824,0.964016,0,10,10,6,0.222912,0.118639,0.489588,0,0,0,0,0.386074,0.124553,0.422756,0,0,0,0.00559602,0,0.935046,0.6298,0.161612,0.00114838,0.998587,0.223329,0.891928,0.0229247
