step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.451484,0.0496142,0,2,0,0,0.0913422,0,0.022017,0,0,0,0,0.296729,0.067938,0.266372,0,0,0,3.21567e-05,0,1,0.98368,0.204917,6.02189e-06,0.958349,0.00952457,0.463113,0.0689712
400,40,1.66667,9,5,4,0,9,0,0,0,9,10,0,0.0430965,0,0.698695,0.167831,0,4,0,0,0.0928594,0,0.173379,0,0,0,0,0.448208,0.28659,0.269154,0,0,0,3.19763e-05,0,1,0.888987,0.19656,5.33391e-05,0.99842,0.0778597,0.70887,0.176609
600,60,2.5,11,5,5,1,10,1,0,0,10,9,4.16667,0.0491557,0.000279826,0.648524,0.30435,0,4,4,0,0.18962,0,0.352886,0,0,0,0,0.525489,0.298774,0.243561,0,0,0,3.19631e-05,0,0.998709,0.730489,0.170473,0.000196236,0.998441,0.159119,0.763797,0.123665
800,80,3.33333,13,5,4,4,9,4,0,0,9,10,12.5,0.0510174,0.00101227,0.555812,0.425639,0,6,6,0,0.237507,0,0.464058,0,0,0,0,0.562378,0.322651,0.286366,0,0,0,3.19503e-05,0,0.993884,0.650681,0.15732,0.000415394,0.998483,0.209684,0.743287,0.111645
1000,100,4.16667,18,5,7,6,12,6,0,0,6,8,20.8333,0.0500363,0.00224171,0.518792,0.531552,0,10,10,0,0.259109,0,0.489589,0,0,0,0,0.558491,0.279505,0.427476,0,0,0,3.19375e-05,0,0.985426,0.646596,0.160189,0.000632039,0.998524,0.22164,0.7914,0.0615516
1200,120,5,24,5,11,8,16,8,0,0,5,8,25,0.0474455,0.00445839,0.510966,0.636325,0,10,10,0,0.234894,0,0.489589,0,0,0,0,0.517672,0.2356,0.478858,0,0,0,3.19248e-05,0,0.973565,0.642492,0.161274,0.000810576,0.998545,0.222077,0.825869,0.0441413
1400,140,5.83333,29,5,12,12,17,12,0,0,4,5,25,0.0442054,0.00652661,0.510715,0.739016,0,10,10,0,0.214491,0,0.489589,0,0,0,0,0.469951,0.201394,0.481903,0,0,0,3.1912e-05,0,0.961316,0.638391,0.161815,0.000953369,0.998545,0.222511,0.852179,0.0293059
1600,160,6.66667,39,5,18,16,22,17,0,0,3,7,29.1667,0.0408451,0.00886667,0.501037,0.840187,0,10,10,4,0.196256,0.028641,0.489589,0,0,0,0,0.417441,0.171897,0.466756,0,0,0,0.000163057,0,0.947578,0.634307,0.161612,0.00106768,0.998566,0.222941,0.873538,0.0194685
1800,180,7.5,47,5,21,21,26,21,0,0,2,10,33.3333,0.0376412,0.0111548,0.490536,0.939943,0,10,10,6,0.178102,0.0736313,0.489589,0,0,0,0,0.365188,0.147785,0.427444,0,0,0,0.000737801,0,0.933137,0.630249,0.161094,0.00116097,0.998587,0.223367,0.891587,0.0184673
