step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.453691,0.049608,0,2,0,0,0.0913435,0,0.022017,0,0,0,0,0.118692,0.0687003,0.266337,0,0,0,3.2403e-05,0,1,0.983592,0.204894,6.02189e-06,0.958349,0.00952457,0.463113,0.0695589
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0428355,0,0.704712,0.169141,0,4,0,0,0.0926765,0,0.0972245,0,0,0,0,0.179328,0.275399,0.263429,0,0,0,3.19766e-05,0,1,0.872652,0.192637,4.09313e-05,0.965154,0.0434966,0.729758,0.166228
600,60,2.5,9,5,3,1,8,1,0,0,8,10,8.33333,0.0479916,0.000492715,0.718266,0.316142,0,4,4,0,0.179366,0,0.190868,0,0,0,0,0.210507,0.323438,0.224745,0,0,0,3.19632e-05,0,0.998628,0.679806,0.157879,0.000124476,0.998462,0.0859072,0.840381,0.130779
800,80,3.33333,12,5,6,1,11,1,0,0,9,10,8.33333,0.0487653,0.00103023,0.680789,0.456237,0,6,6,0,0.212876,0,0.26675,0,0,0,0,0.222145,0.357039,0.330964,0,0,0,3.19503e-05,0,0.996479,0.650433,0.157259,0.000243834,0.998462,0.120381,0.867041,0.120497
1000,100,4.16667,17,5,9,3,14,3,0,0,6,7,12.5,0.0472321,0.00175343,0.546488,0.576273,0,10,10,0,0.266994,0,0.320622,0,0,0,0,0.225061,0.288441,0.417245,0,0,0,3.19375e-05,0,0.992653,0.64594,0.160198,0.000376255,0.998483,0.144977,0.854085,0.0597092
1200,120,5,22,5,11,6,16,6,0,0,2,8,16.6667,0.044572,0.00246008,0.530622,0.684,0,10,10,0,0.261546,0,0.357386,0,0,0,0,0.213007,0.215986,0.472704,0,0,0,3.19248e-05,0,0.987977,0.641372,0.162166,0.000505722,0.998504,0.161891,0.840145,0.0245272
1400,140,5.83333,28,5,13,10,20,8,0,0,1,9,29.1667,0.0414689,0.00460791,0.50683,0.788453,0,10,10,0,0.244761,0,0.381987,0,0,0,0,0.195182,0.179212,0.477552,0,0,0,3.19121e-05,0,0.97879,0.636825,0.162453,0.000624316,0.998566,0.173339,0.860239,0.0243807
1600,160,6.66667,35,5,13,17,22,13,0,0,1,9,29.1667,0.0383113,0.00737089,0.477852,0.88843,0,10,10,4,0.216325,0,0.398357,0,0,0,0,0.175073,0.142818,0.477329,0,0,0,3.18993e-05,0,0.967067,0.632352,0.161811,0.000729449,0.998566,0.181086,0.882004,0.0154452
1800,180,7.5,41,5,12,24,23,18,0,0,0,10,33.3333,0.0353093,0.0101859,0.455581,0.98158,0,10,10,6,0.199062,0.0141729,0.409177,0,0,0,0,0.15528,0.113455,0.465619,0,0,0,4.27963e-05,0,0.954081,0.627978,0.160811,0.000821359,0.998587,0.186337,0.900071,0.0100267
2000,200,8.33333,49,5,16,28,28,21,0,0,0,8,33.3333,0.0325654,0.0129658,0.43732,1.07139,0,10,10,10,0.184312,0.0416203,0.416192,0,0,0,0,0.13634,0.104822,0.436617,0,0,0,0.000359886,0,0.940089,0.623709,0.159625,0.000901465,0.998587,0.189874,0.915441,0.0151319
2200,220,9.16667,56,5,16,35,30,26,0,0,0,9,33.3333,0.0301178,0.0153986,0.427534,1.15752,0,10,10,10,0.174373,0.104916,0.420533,0,0,0,0,0.117814,0.0887101,0.399922,0,0,0,0.0167519,0,0.925993,0.61954,0.15856,0.000971458,0.998587,0.192205,0.928695,0.00860211
2400,240,10,62,5,19,38,31,31,0,0,0,10,41.6667,0.0279679,0.0235574,0.410697,1.24195,0,10,10,10,0.159905,0.178337,0.42287,0,0,0,0,0.100043,0.0805797,0.367161,0,0,0,0.13403,0,0.908911,0.615456,0.156534,0.00103286,0.998629,0.193629,0.940193,0.00489275
2600,260,10.8333,69,5,17,47,34,35,0,0,0,9,45.8333,0.0260967,0.0351226,0.385185,1.32187,0,10,10,10,0.14718,0.281234,0.423667,0,0,0,0,0.0847736,0.0767863,0.338254,0,0,0,0.385128,0,0.88966,0.611442,0.153974,0.00108681,0.99865,0.194357,0.950184,0.00458963
2800,280,11.6667,76,5,15,56,36,38,2,0,0,7,45.8333,0.0244769,0.046176,0.362263,1.39687,0,10,10,10,0.134623,0.396655,0.423326,0,0,0,0,0.0717168,0.0794399,0.314346,0,0,0,0.798797,0,0.869929,0.607485,0.151714,0.00113427,0.998671,0.194628,0.958863,0.00268277
3000,300,12.5,81,5,17,59,37,41,3,0,0,8,50,0.023079,0.0609539,0.340129,1.4673,0,10,10,10,0.123003,0.516647,0.422192,0,0,0,0,0.0606403,0.088776,0.293744,0,0,0,0.799196,0,0.846923,0.603574,0.149386,0.00117606,0.998712,0.194663,0.966391,0.0136719
3200,320,13.3333,91,5,18,68,43,42,6,0,0,9,54.1667,0.0218747,0.0835461,0.318341,1.53362,0,10,10,10,0.112298,0.636638,0.420457,0,0,0,0,0.0512028,0.106669,0.274885,0,0,0,0.79918,0,0.820723,0.599706,0.146616,0.00121298,0.998754,0.194546,0.972913,0.0230604
3400,340,14.1667,96,5,15,76,42,44,10,0,0,10,58.3333,0.0208364,0.118105,0.291238,1.59475,0,10,10,10,0.102844,0.756631,0.418236,0,0,0,0,0.0431901,0.119196,0.257929,0,0,0,0.799178,0,0.790486,0.595871,0.143675,0.00124551,0.998817,0.194309,0.978554,0.0196113
3600,360,15,102,5,15,82,45,45,12,0,0,10,58.3333,0.0199393,0.1489,0.267924,1.65084,0,9,9,9,0.0948866,0.874899,0.415686,0,0,0,0,0.0364604,0.111224,0.243894,0,0,0,0.799175,0,0.758531,0.592065,0.14114,0.00127413,0.998817,0.193974,0.983431,0.00926821
3800,380,15.8333,106,5,16,85,45,47,14,0,0,8,62.5,0.0191626,0.179007,0.246673,1.7026,0,8,8,8,0.0884495,0.979669,0.412918,0,0,0,0,0.0308899,0.0960099,0.23172,0,0,0,0.799186,0,0.725521,0.588282,0.138725,0.0012993,0.998858,0.193561,0.987647,0.00374568
4000,400,16.6667,110,5,19,86,47,43,19,1,0,7,66.6667,0.018488,0.213326,0.226511,1.75026,0,8,8,8,0.0832446,1.06966,0.410008,0,0,0,0,0.0262272,0.0872857,0.220732,0,0,0,0.799226,0,0.689411,0.584522,0.136272,0.0013214,0.998942,0.193084,0.991294,0.00435923
4200,420,17.5,116,5,22,89,50,45,19,2,0,6,70.8333,0.0178999,0.260295,0.204978,1.79352,0,6,6,6,0.0791942,1.15261,0.407011,0,0,0,0,0.0223746,0.0756403,0.211588,0,0,0,0.799268,0,0.648237,0.580787,0.13414,0.0013408,0.999004,0.192555,0.994454,0.00169993
