step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.426384,0.0480647,0,2,0,0,0.0913338,0,0.022017,0,0,0,0,0.296729,0.0686549,0.266471,0,0,0,3.20032e-05,0,1,0.983893,0.204977,1.48704e-07,0.958349,0.00952457,0.463113,0.0682188
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0430719,0,0.620428,0.15615,0,4,0,0,0.093209,0,0.168688,0,0,0,0,0.448217,0.233301,0.281742,0,0,0,3.19758e-05,0,1,0.924601,0.205157,1.28897e-06,0.99842,0.0757632,0.709755,0.13441
600,60,2.5,10,5,5,0,10,0,0,0,10,6,0,0.04903,0,0.573284,0.274006,0,4,3,0,0.209327,0,0.344741,0,0,0,0,0.525082,0.206131,0.335223,0,0,0,3.1963e-05,0,1,0.844117,0.1978,4.6559e-06,0.99842,0.155441,0.768111,0.0765155
800,80,3.33333,12,5,6,1,11,1,0,0,11,4,4.16667,0.0508881,7.55686e-05,0.555984,0.388883,0,6,6,0,0.217613,0,0.463547,0,0,0,0,0.545311,0.197526,0.476466,0,0,0,3.19503e-05,0,0.999513,0.758906,0.187579,1.00069e-05,0.998441,0.209436,0.744141,0.0608146
1000,100,4.16667,12,5,6,1,11,1,0,0,9,4,4.16667,0.0499501,0.00036565,0.533046,0.49806,0,10,10,0,0.20684,0,0.489588,0,0,0,0,0.534517,0.173318,0.504645,0,0,0,3.19375e-05,0,0.997471,0.672764,0.175547,1.54272e-05,0.998441,0.221619,0.791701,0.039129
1200,120,5,13,5,7,1,12,1,0,0,7,3,4.16667,0.0473861,0.00061951,0.498213,0.60142,0,10,10,0,0.191188,0,0.489588,0,0,0,0,0.506349,0.146717,0.505929,0,0,0,3.19248e-05,0,0.995429,0.642902,0.170625,1.9927e-05,0.998441,0.222057,0.826152,0.0212676
1400,140,5.83333,14,5,7,2,12,2,0,0,6,3,8.33333,0.0441634,0.00097235,0.439621,0.696868,0,10,10,0,0.175742,0,0.489589,0,0,0,0,0.470751,0.122464,0.507277,0,0,0,3.1912e-05,0,0.992531,0.638968,0.170096,2.35483e-05,0.998462,0.222491,0.852424,0.0106003
1600,160,6.66667,15,5,6,4,11,4,0,0,3,5,12.5,0.0408146,0.00168409,0.388322,0.780288,0,10,10,4,0.179688,0.0473276,0.489589,0,0,0,0,0.43498,0.102795,0.485143,0,0,0,0.000390627,0,0.986876,0.635049,0.169905,2.64612e-05,0.998483,0.222921,0.873741,0.00451787
1800,180,7.5,21,5,9,7,15,6,0,0,1,7,12.5,0.0376186,0.00237236,0.378587,0.856999,0,10,10,6,0.181835,0.145407,0.489589,0,0,0,0,0.39248,0.112181,0.447089,0,0,0,0.00465375,0,0.980753,0.63115,0.170184,2.88461e-05,0.998483,0.223348,0.891752,0.0248977
2000,200,8.33333,26,5,14,7,19,7,0,0,1,5,16.6667,0.0347078,0.00311893,0.356518,0.930905,0,10,10,10,0.177591,0.254599,0.489589,0,0,0,0,0.349322,0.140596,0.406832,0,0,0,0.114337,0,0.97368,0.627275,0.166703,3.08543e-05,0.998504,0.223771,0.907305,0.0336296
2200,220,9.16667,34,5,18,11,27,7,0,0,0,4,16.6667,0.0321314,0.00392756,0.364465,1.00313,0,10,10,10,0.187812,0.411909,0.489588,0,0,0,0,0.301268,0.136778,0.37809,0,0,0,0.455648,0,0.965517,0.623388,0.165469,3.26007e-05,0.998504,0.224191,0.920856,0.0222498
2400,240,10,45,5,25,15,34,11,0,0,0,7,20.8333,0.0298933,0.0051791,0.363364,1.0767,0,10,10,10,0.173791,0.56266,0.489588,0,0,0,0,0.253764,0.123947,0.355797,0,0,0,0.799051,0,0.955823,0.619469,0.164881,3.41679e-05,0.998525,0.224608,0.932677,0.0188423
2600,260,10.8333,55,5,18,32,37,18,0,0,0,7,25,0.0279732,0.00710369,0.346349,1.14826,0,10,10,10,0.157385,0.705016,0.489555,0,0,0,0,0.213546,0.111276,0.335859,0,0,0,0.799102,0,0.943743,0.61555,0.163653,3.56123e-05,0.998546,0.225005,0.942962,0.0137642
2800,280,11.6667,64,5,22,37,40,24,0,0,0,9,33.3333,0.0263361,0.00988446,0.321153,1.21556,0,10,10,10,0.141739,0.848336,0.48887,0,0,0,0,0.179476,0.0980751,0.317364,0,0,0,0.799142,0,0.928592,0.611649,0.161711,3.69585e-05,0.998587,0.225105,0.951869,0.00877847
3000,300,12.5,72,5,21,46,41,31,0,0,0,9,33.3333,0.0249344,0.012702,0.298457,1.27774,0,10,10,10,0.127861,0.988595,0.48717,0,0,0,0,0.150962,0.0891784,0.301804,0,0,0,0.799175,0,0.912369,0.607777,0.159885,3.81872e-05,0.998587,0.22475,0.959558,0.00787957
