step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.450384,0.0495813,0,2,0,0,0.0913413,0,0.022017,0,0,0,0,0.296729,0.0612924,0.266597,0,0,0,3.20556e-05,0,1,0.984274,0.205066,6.02189e-06,0.958349,0.00952457,0.463113,0.0606081
400,40,1.66667,9,5,4,0,9,0,0,0,9,10,0,0.0431013,0,0.691903,0.167193,0,4,0,0,0.0930162,0,0.174288,0,0,0,0,0.448206,0.268276,0.274498,0,0,0,3.1976e-05,0,1,0.904155,0.200215,5.35702e-05,0.99842,0.0782657,0.708652,0.166434
600,60,2.5,11,5,5,1,10,1,0,0,10,4,8.33333,0.0492073,0.000562477,0.573573,0.290674,0,4,4,0,0.224524,0,0.357586,0,0,0,0,0.531948,0.249504,0.256975,0,0,0,3.1963e-05,0,0.997644,0.776647,0.180455,0.00019938,0.998462,0.161249,0.762072,0.0938595
800,80,3.33333,14,5,6,3,11,3,0,0,13,3,12.5,0.0511321,0.00109607,0.608831,0.409768,0,6,6,0,0.22444,0,0.465479,0,0,0,0,0.553351,0.227179,0.388637,0,0,0,3.19503e-05,0,0.993813,0.650773,0.159982,0.000424399,0.998483,0.210345,0.74342,0.0671477
1000,100,4.16667,18,5,7,6,12,6,0,0,8,6,20.8333,0.0501144,0.00229594,0.530188,0.527109,0,10,10,0,0.235639,0,0.48959,0,0,0,0,0.546014,0.187415,0.467675,0,0,0,3.19375e-05,0,0.986137,0.646801,0.160112,0.000640567,0.998524,0.221655,0.791189,0.0374351
1200,120,5,22,5,10,7,14,8,0,0,3,9,20.8333,0.0474986,0.00392076,0.497826,0.630891,0,10,10,0,0.240686,0,0.48959,0,0,0,0,0.519806,0.150797,0.48367,0,0,0,3.19248e-05,0,0.975929,0.642829,0.161731,0.000818104,0.998524,0.222092,0.825654,0.0169826
1400,140,5.83333,29,5,14,10,19,10,0,0,2,8,20.8333,0.0442424,0.00534269,0.494525,0.730176,0,10,10,0,0.234385,0,0.48959,0,0,0,0,0.480457,0.11959,0.487355,0,0,0,3.1912e-05,0,0.965722,0.638862,0.162775,0.000959885,0.998524,0.222526,0.851985,0.00610849
1600,160,6.66667,39,5,19,15,23,16,0,0,2,6,29.1667,0.0408715,0.00728535,0.478777,0.828388,0,10,10,4,0.223337,0.0443201,0.48959,0,0,0,0,0.431684,0.0979621,0.465722,0,0,0,0.000370436,0,0.953545,0.634911,0.162831,0.0010733,0.998566,0.222956,0.873373,0.00290978
1800,180,7.5,47,5,22,20,27,20,0,0,0,8,29.1667,0.0376606,0.00971401,0.461272,0.922645,0,10,10,6,0.206875,0.104317,0.48959,0,0,0,0,0.382435,0.0904463,0.426007,0,0,0,0.001242,0,0.939257,0.630985,0.162314,0.00116583,0.998566,0.223382,0.891452,0.010604
2000,200,8.33333,54,5,17,32,28,26,0,0,0,10,37.5,0.0347395,0.0132278,0.448738,1.01402,0,10,10,10,0.191586,0.180815,0.48959,0,0,0,0,0.332062,0.0943644,0.391108,0,0,0,0.0541502,0,0.922887,0.62709,0.16087,0.00124365,0.998608,0.223805,0.907065,0.0144889
2200,220,9.16667,63,5,19,39,31,32,0,0,0,9,41.6667,0.032156,0.019812,0.403268,1.10135,0,10,10,10,0.190781,0.296685,0.489589,0,0,0,0,0.288482,0.0941084,0.361075,0,0,0,0.272277,0,0.904181,0.623226,0.159036,0.00131136,0.998629,0.224224,0.920665,0.0102695
2400,240,10,68,5,19,44,32,36,0,0,0,9,45.8333,0.0299128,0.0300526,0.379379,1.17992,0,10,10,10,0.179904,0.425681,0.489589,0,0,0,0,0.248642,0.0841884,0.33481,0,0,0,0.686972,0,0.882926,0.619394,0.156796,0.00137223,0.99865,0.22464,0.932526,0.00641965
2600,260,10.8333,76,5,24,47,38,36,2,0,0,9,50,0.0279892,0.0475989,0.346666,1.25272,0,10,10,10,0.164712,0.556404,0.489589,0,0,0,0,0.213208,0.0760014,0.312829,0,0,0,0.799127,0,0.855959,0.615594,0.154706,0.00142847,0.998712,0.225052,0.942841,0.00309325
2800,280,11.6667,86,5,22,59,39,44,3,0,0,10,54.1667,0.0263527,0.0675851,0.31881,1.31968,0,10,10,10,0.150035,0.687577,0.489382,0,0,0,0,0.182971,0.077588,0.294635,0,0,0,0.799139,0,0.826399,0.611824,0.15285,0.00148141,0.998754,0.225368,0.951771,0.00616498
3000,300,12.5,92,5,22,65,40,44,8,0,0,9,58.3333,0.0249622,0.108556,0.284117,1.38008,0,10,10,10,0.136489,0.8114,0.488539,0,0,0,0,0.157354,0.0700021,0.278566,0,0,0,0.799171,0,0.78764,0.608085,0.150796,0.00153109,0.998837,0.225392,0.959468,0.00258549
3200,320,13.3333,102,5,25,72,44,47,11,0,0,8,62.5,0.0237753,0.143967,0.25833,1.43447,0,10,10,10,0.124602,0.929824,0.487036,0,0,0,0,0.135716,0.0639379,0.266596,0,0,0,0.799197,0,0.746845,0.604375,0.149523,0.0015769,0.998879,0.225116,0.966082,0.00147281
3400,340,14.1667,113,5,27,81,47,51,15,0,0,9,66.6667,0.0227569,0.192817,0.230921,1.48353,0,10,10,10,0.114099,1.04465,0.48509,0,0,0,0,0.116931,0.0646535,0.254852,0,0,0,0.799223,0,0.699895,0.600696,0.147639,0.00161849,0.998921,0.224689,0.971761,0.00670535
3600,360,15,122,5,27,90,50,55,16,1,0,9,70.8333,0.0218786,0.243563,0.205742,1.52741,0,8,8,8,0.104838,1.13495,0.482686,0,0,0,0,0.10057,0.0585228,0.244255,0,0,0,0.799268,0,0.649629,0.597044,0.145641,0.00165582,0.998983,0.224144,0.976638,0.00476223
3800,380,15.8333,130,5,25,100,52,55,19,4,0,6,79.1667,0.0211172,0.305167,0.180129,1.56621,0,8,8,8,0.0970253,1.22457,0.479785,0,0,0,0,0.0866166,0.0525767,0.234367,0,0,0,0.799295,0,0.593116,0.593421,0.143456,0.001689,0.999108,0.223479,0.980834,0.0020487
4000,400,16.6667,136,5,21,110,52,58,22,4,0,8,79.1667,0.0204529,0.37814,0.156289,1.5998,0,8,8,8,0.0905014,1.31457,0.476506,0,0,0,0,0.0745918,0.0509868,0.224262,0,0,0,0.799314,0,0.528648,0.589825,0.140801,0.00171819,0.999108,0.222721,0.984453,0.00350058
4200,420,17.5,0,0,0,0,0,0,0,0,0,4,100,0.0198932,0.455191,0.119547,1.62812,0,8,8,8,0.0857077,1.40457,0.47971,0,0,0,0,0.0645942,0.049043,0.208714,0,0,0,0.799327,0,0.423959,0.586255,0.135654,0.00174717,0.999921,0.223706,0.98758,0.00280218
4400,440,18.3333,0,0,0,0,0,0,0,0,0,5,100,0.0195174,0.51284,0.0918795,1.64894,0,4,4,4,0.0818457,1.47694,0.485347,0,0,0,0,0.0557035,0.063037,0.190164,0,0,0,0.799371,0,0.281009,0.582712,0.12905,0.00179074,0.999921,0.226621,0.990194,0.0176273
4600,460,19.1667,0,0,0,0,0,0,0,0,0,4,100,0.0192448,0.551467,0.0768785,1.66577,0,4,4,4,0.0784118,1.53694,0.487324,0,0,0,0,0.0476352,0.112052,0.168887,0,0,0,0.79942,0,0.162169,0.579194,0.121146,0.00183957,0.999921,0.227887,0.992293,0.0311403
4800,480,20,0,0,0,0,0,0,0,0,0,4,100,0.0190214,0.57735,0.0622486,1.67968,0,3,3,3,0.0866833,1.58786,0.488133,0,0,0,0,0.0437847,0.151301,0.16182,0,0,0,0.799459,0,0.0649321,0.575694,0.118754,0.00188727,0.999921,0.228626,0.993969,0.0361947
5000,500,20.8333,0,0,0,0,0,0,0,0,0,4,100,0.0188252,0.594692,0.0457606,1.69131,0,3,3,3,0.0877632,1.63285,0.488055,0,0,0,0,0.0385525,0.171555,0.155888,0,0,0,0.799489,0,9.33987e-07,0.572206,0.116675,0.00193171,0.999921,0.228961,0.995324,0.0411773
5200,520,21.6667,0,0,0,0,0,0,0,0,0,3,100,0.0186468,0.606313,0.035978,1.69942,0,0,0,0,0.109825,1.6333,0.487816,0,0,0,0,0.0403963,0.149916,0.150885,0,0,0,0.799604,0,9.33987e-07,0.568726,0.114851,0.00197236,0.999921,0.22922,0.996442,0.0270665
5400,540,22.5,0,0,0,0,0,0,0,0,0,1,100,0.0184943,0.614099,0.0299745,1.70594,0,0,0,0,0.112564,1.6333,0.487775,0,0,0,0,0.0369716,0.109246,0.146642,0,0,0,0.799693,0,9.33987e-07,0.565253,0.113237,0.0020114,0.999921,0.229566,0.997378,0.0103894
5600,560,23.3333,0,0,0,0,0,0,0,0,0,1,100,0.0183552,0.619316,0.0256945,1.71151,0,0,0,0,0.0994417,1.6333,0.486836,0,0,0,0,0.0295338,0.0771212,0.143023,0,0,0,0.799764,0,9.33987e-07,0.561791,0.111796,0.00204751,0.999921,0.229503,0.998169,0.00365819
5800,580,24.1667,0,0,0,0,0,0,0,0,0,1,100,0.0182244,0.622812,0.0219894,1.71627,0,0,0,0,0.0894119,1.6333,0.485554,0,0,0,0,0.0239329,0.0544668,0.139918,0,0,0,0.79982,0,9.33987e-07,0.558344,0.110498,0.00208038,0.999921,0.229281,0.998852,0.00128872
6000,600,25,0,0,0,0,0,0,0,0,0,0,100,0.0180978,0.625155,0.0188679,1.72035,0,0,0,0,0.0817182,1.6333,0.483629,0,0,0,0,0.0196528,0.0384837,0.137236,0,0,0,0.799863,0,9.33987e-07,0.554919,0.109319,0.00210979,0.999921,0.228779,0.999457,0.000454224
6200,620,25.8333,0,0,0,0,0,0,0,0,0,0,100,0.0179661,0.626724,0.016304,1.72387,0,0,0,0,0.0757918,1.6333,0.480707,0,0,0,0,0.0161085,0.0272022,0.134902,0,0,0,0.799896,0,9.33987e-07,0.55152,0.108239,0.00213446,0.999921,0.22794,1.00001,0.000160174
6400,640,26.6667,0,0,0,0,0,0,0,0,0,0,100,0.0178221,0.627776,0.0141681,1.72691,0,0,0,0,0.0712041,1.6333,0.477005,0,0,0,0,0.0130975,0.0192359,0.132857,0,0,0,0.799921,0,9.33987e-07,0.548149,0.107242,0.00215334,0.999921,0.226946,1.00054,5.65099e-05
6600,660,27.5,0,0,0,0,0,0,0,0,0,0,100,0.0176635,0.628481,0.0123578,1.72956,0,0,0,0,0.0676317,1.6333,0.472717,0,0,0,0,0.0105978,0.0136081,0.131048,0,0,0,0.799939,0,9.33987e-07,0.544807,0.106314,0.00216621,0.999922,0.225878,1.00108,1.99463e-05
6800,680,28.3333,0,0,0,0,0,0,0,0,0,0,100,0.017491,0.628953,0.0108118,1.73188,0,0,0,0,0.0648301,1.6333,0.468015,0,0,0,0,0.0085511,0.00963058,0.129434,0,0,0,0.799953,0,9.33987e-07,0.541494,0.105444,0.00217334,0.999922,0.224777,1.00163,7.04368e-06
7000,700,29.1667,0,0,0,0,0,0,0,0,0,0,100,0.0173068,0.629269,0.00948507,1.73391,0,0,0,0,0.0626147,1.6333,0.463049,0,0,0,0,0.00688926,0.00681832,0.127981,0,0,0,0.799963,0,9.33987e-07,0.53821,0.104621,0.00217528,0.999922,0.223672,1.00221,2.48848e-06
7200,720,30,0,0,0,0,0,0,0,0,0,0,100,0.0171138,0.629481,0.00834182,1.73569,0,0,0,0,0.0608455,1.6333,0.457942,0,0,0,0,0.0055468,0.00482912,0.126661,0,0,0,0.799971,0,9.33987e-07,0.534953,0.103838,0.00217273,0.999922,0.222574,1.00282,8.79557e-07
7400,740,30.8333,0,0,0,0,0,0,0,0,0,0,100,0.0169154,0.629623,0.00735317,1.73726,0,0,0,0,0.0594164,1.6333,0.45279,0,0,0,0,0.00446556,0.00342153,0.12545,0,0,0,0.799977,0,9.33987e-07,0.531722,0.103089,0.00216645,0.999922,0.221485,1.00345,3.11017e-07
7600,760,31.6667,0,0,0,0,0,0,0,0,0,0,100,0.0167144,0.629718,0.00649538,1.73864,0,0,0,0,0.0582469,1.6333,0.447664,0,0,0,0,0.00359613,0.00242511,0.12433,0,0,0,0.799981,0,9.33987e-07,0.528517,0.102368,0.00215716,0.999922,0.220404,1.00412,1.10025e-07
7800,780,32.5,0,0,0,0,0,0,0,0,0,0,100,0.0165133,0.629782,0.00574885,1.73986,0,0,0,0,0.0572758,1.6333,0.442613,0,0,0,0,0.00289749,0.00171948,0.123284,0,0,0,0.799984,0,9.33987e-07,0.525336,0.101671,0.00214552,0.999922,0.219331,1.00479,3.89384e-08
8000,800,33.3333,0,0,0,0,0,0,0,0,0,0,100,0.0163144,0.629825,0.00509729,1.74095,0,0,0,0,0.0564566,1.6333,0.437672,0,0,0,0,0.00233614,0.0012196,0.1223,0,0,0,0.799986,0,9.33987e-07,0.522178,0.100993,0.00213211,0.999922,0.218266,1.00548,1.37863e-08
8200,820,34.1667,0,0,0,0,0,0,0,0,0,0,100,0.0161193,0.629853,0.00452708,1.74191,0,0,0,0,0.0557539,1.6333,0.432862,0,0,0,0,0.00188497,0.000865335,0.121366,0,0,0,0.799988,0,9.33987e-07,0.519042,0.100333,0.0021174,0.999922,0.217208,1.00617,4.88306e-09
