step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.451447,0.0495963,0,2,0,0,0.0913406,0,0.022017,0,0,0,0,0.118692,0.0730502,0.266468,0,0,0,3.20885e-05,0,1,0.983927,0.20498,6.02189e-06,0.958349,0.00952457,0.463113,0.0752549
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0428651,0,0.6999,0.16843,0,4,0,0,0.0927489,0,0.10211,0,0,0,0,0.179324,0.317579,0.26567,0,0,0,3.19761e-05,0,1,0.879054,0.194174,4.23438e-05,0.974794,0.0456859,0.728387,0.19471
600,60,2.5,10,5,4,1,9,1,0,0,8,9,4.16667,0.0481318,0.000235565,0.751932,0.316702,0,4,3,0,0.177064,0,0.201512,0,0,0,0,0.209132,0.404461,0.22754,0,0,0,3.1963e-05,0,0.999352,0.682993,0.159315,0.0001328,0.998441,0.0907173,0.835219,0.1597
800,80,3.33333,12,5,4,3,9,3,0,0,8,10,12.5,0.0490212,0.000668729,0.699848,0.467555,0,6,6,0,0.245973,0,0.281172,0,0,0,0,0.220868,0.430187,0.285665,0,0,0,3.19503e-05,0,0.997619,0.65032,0.157215,0.000262119,0.998483,0.12692,0.857223,0.137415
1000,100,4.16667,15,5,5,5,11,4,0,0,4,10,16.6667,0.0476003,0.00152932,0.56257,0.592984,0,10,10,0,0.309151,0,0.338102,0,0,0,0,0.2241,0.388302,0.441302,0,0,0,3.19375e-05,0,0.993285,0.645453,0.160037,0.000406524,0.998503,0.152921,0.839334,0.0862232
1200,120,5,18,5,6,7,12,6,0,0,3,8,20.8333,0.0450389,0.00301192,0.509579,0.698875,0,10,10,0,0.307455,0,0.375851,0,0,0,0,0.215649,0.305198,0.480442,0,0,0,3.19248e-05,0,0.986606,0.640176,0.161294,0.000548809,0.998524,0.170304,0.835774,0.036089
1400,140,5.83333,27,5,14,8,19,8,0,0,0,9,20.8333,0.0419976,0.00454733,0.500969,0.80032,0,10,10,0,0.275563,0,0.399558,0,0,0,0,0.198267,0.228906,0.484705,0,0,0,3.1912e-05,0,0.978007,0.634707,0.161969,0.000678502,0.998524,0.181372,0.858973,0.0152723
1600,160,6.66667,33,5,16,12,21,12,0,0,0,10,33.3333,0.038865,0.00635312,0.490601,0.900023,0,10,10,4,0.245355,0.0256455,0.414512,0,0,0,0,0.177595,0.173181,0.469484,0,0,0,0.000130809,0,0.967972,0.629296,0.161862,0.000791894,0.998587,0.188502,0.880515,0.00690121
1800,180,7.5,40,5,14,21,23,17,0,0,0,10,33.3333,0.0358624,0.00961161,0.479383,0.996581,0,10,10,6,0.2171,0.0706418,0.423906,0,0,0,0,0.15534,0.16339,0.427849,0,0,0,0.000689845,0,0.953416,0.624078,0.160277,0.000889342,0.998587,0.193128,0.898423,0.032431
2000,200,8.33333,46,5,13,28,25,21,0,0,0,10,33.3333,0.033102,0.0124632,0.465185,1.09161,0,10,10,10,0.1968,0.136038,0.429603,0,0,0,0,0.133941,0.134687,0.392405,0,0,0,0.0130698,0,0.938734,0.6191,0.158884,0.000972751,0.998587,0.196085,0.913701,0.015629
2200,220,9.16667,53,5,20,28,30,23,0,0,0,10,33.3333,0.0306281,0.0149588,0.422267,1.18009,0,10,10,10,0.188429,0.241559,0.432699,0,0,0,0,0.117793,0.109707,0.363333,0,0,0,0.161023,0,0.924025,0.614359,0.157656,0.00104425,0.998587,0.197868,0.926921,0.00616046
2400,240,10,61,5,21,35,31,30,0,0,0,10,41.6667,0.0284473,0.0209989,0.401611,1.26261,0,10,10,10,0.175171,0.360656,0.434037,0,0,0,0,0.101808,0.111621,0.3377,0,0,0,0.488263,0,0.907416,0.609819,0.155852,0.00110583,0.998629,0.198878,0.938432,0.0054638
2600,260,10.8333,69,5,21,43,35,34,0,0,0,10,50,0.0265456,0.0343115,0.370998,1.34051,0,10,10,10,0.159422,0.480654,0.43409,0,0,0,0,0.0866899,0.111337,0.312984,0,0,0,0.799225,0,0.886794,0.605314,0.152804,0.00115922,0.998671,0.199375,0.948469,0.00394475
2800,280,11.6667,76,5,22,49,36,38,2,0,0,9,50,0.0248977,0.0496598,0.342161,1.41194,0,10,10,10,0.143808,0.600653,0.433156,0,0,0,0,0.0737458,0.0988452,0.291499,0,0,0,0.799235,0,0.864232,0.600771,0.149724,0.00120574,0.998712,0.199525,0.957214,0.00219145
3000,300,12.5,82,5,26,51,39,40,3,0,0,10,50,0.0234744,0.067417,0.319172,1.47836,0,10,10,10,0.129634,0.718778,0.43149,0,0,0,0,0.0627024,0.0926155,0.273742,0,0,0,0.799253,0,0.838472,0.59628,0.147058,0.00124635,0.998733,0.19948,0.964818,0.00340507
3200,320,13.3333,93,5,30,58,44,43,6,0,0,10,58.3333,0.0222467,0.0992231,0.29236,1.53991,0,10,10,10,0.117729,0.834877,0.429293,0,0,0,0,0.0534089,0.0868616,0.25758,0,0,0,0.799272,0,0.807879,0.59189,0.144154,0.00128186,0.998817,0.199289,0.971418,0.00600749
3400,340,14.1667,103,5,32,66,45,49,9,0,0,9,62.5,0.0211876,0.143476,0.263998,1.59574,0,10,10,10,0.107441,0.946701,0.426724,0,0,0,0,0.0453272,0.0813902,0.243396,0,0,0,0.799292,0,0.772423,0.587616,0.141328,0.00131295,0.998858,0.198982,0.977137,0.00554684
3600,360,15,112,5,33,74,47,51,14,0,0,9,62.5,0.0202727,0.182773,0.243124,1.64649,0,10,10,10,0.098828,1.05418,0.423876,0,0,0,0,0.0383087,0.075323,0.232602,0,0,0,0.799313,0,0.735028,0.583459,0.139277,0.00134018,0.998879,0.198582,0.982088,0.00332805
3800,380,15.8333,124,5,32,87,52,54,18,0,0,6,66.6667,0.0194801,0.217568,0.226392,1.69371,0,10,10,10,0.0915942,1.16142,0.420809,0,0,0,0,0.0322545,0.0704382,0.224382,0,0,0,0.799325,0,0.696604,0.579416,0.137779,0.00136395,0.998921,0.198104,0.986374,0.00185449
4000,400,16.6667,133,5,29,99,54,55,22,2,0,7,75,0.0187907,0.281161,0.202029,1.73674,0,10,10,10,0.0853755,1.26755,0.41758,0,0,0,0,0.0270116,0.0693597,0.215252,0,0,0,0.799334,0,0.649812,0.575482,0.135532,0.00138461,0.999046,0.197563,0.990085,0.00388759
4200,420,17.5,139,5,24,110,52,60,20,7,0,6,79.1667,0.0181882,0.354193,0.178221,1.77488,0,7,7,7,0.0800686,1.34892,0.414247,0,0,0,0,0.0225332,0.0640796,0.205818,0,0,0,0.799383,0,0.597026,0.571647,0.132846,0.00140246,0.999108,0.196969,0.993304,0.00212894
4400,440,18.3333,143,5,24,114,54,56,25,8,0,8,79.1667,0.0176591,0.412566,0.162868,1.80905,0,5,5,5,0.0757978,1.41822,0.410857,0,0,0,0,0.0187912,0.0668759,0.19685,0,0,0,0.799436,0,0.543081,0.567901,0.130089,0.00141777,0.999109,0.196332,0.996102,0.00854387
4600,460,19.1667,145,5,24,116,53,59,24,9,0,7,100,0.0171922,0.461658,0.1478,1.84029,0,4,4,4,0.0726727,1.46322,0.407462,0,0,0,0,0.0157766,0.0612085,0.188338,0,0,0,0.799512,0,0.488205,0.564233,0.127304,0.00143085,0.999171,0.195659,0.998543,0.00662212
4800,480,20,0,0,0,0,0,0,0,0,0,7,100,0.0167953,0.517173,0.107266,1.86545,0,2,2,2,0.0701894,1.49885,0.406918,0,0,0,0,0.0133065,0.0530851,0.170132,0,0,0,0.799585,0,0.372891,0.560635,0.120469,0.00144439,0.999921,0.195346,1.00067,0.002975
5000,500,20.8333,0,0,0,0,0,0,0,0,0,6,100,0.0164623,0.554371,0.0828337,1.88435,0,2,2,2,0.0681401,1.52885,0.40558,0,0,0,0,0.0112794,0.0466935,0.158355,0,0,0,0.799648,0,0.25807,0.557101,0.116066,0.001459,0.999921,0.194901,1.00251,0.00150514
5200,520,21.6667,0,0,0,0,0,0,0,0,0,4,100,0.0161736,0.579296,0.0659364,1.89913,0,0,0,0,0.0666527,1.52915,0.403811,0,0,0,0,0.00969493,0.0494206,0.152257,0,0,0,0.799739,0,0.168497,0.553621,0.11382,0.00147317,0.999921,0.194372,1.00409,0.00263125
5400,540,22.5,0,0,0,0,0,0,0,0,0,2,100,0.0159182,0.595996,0.0536733,1.91105,0,0,0,0,0.0652591,1.52915,0.401815,0,0,0,0,0.00834924,0.0535158,0.14713,0,0,0,0.7998,0,0.0929539,0.550181,0.111869,0.00148634,0.999921,0.193785,1.00545,0.00233629
5600,560,23.3333,0,0,0,0,0,0,0,0,0,2,100,0.0156893,0.607186,0.0442782,1.92082,0,0,0,0,0.0639049,1.52915,0.399678,0,0,0,0,0.00719987,0.0582064,0.142798,0,0,0,0.799842,0,0.0179714,0.546776,0.110158,0.00149831,0.999921,0.193157,1.00664,0.00172681
5800,580,24.1667,0,0,0,0,0,0,0,0,0,2,100,0.0154818,0.614685,0.0368694,1.92892,0,0,0,0,0.0626194,1.52915,0.397437,0,0,0,0,0.00622896,0.0590359,0.139117,0,0,0,0.79987,0,8.94564e-07,0.543403,0.108645,0.00150903,0.999921,0.192497,1.00769,0.00105427
6000,600,25,0,0,0,0,0,0,0,0,0,0,100,0.0152918,0.619709,0.0300843,1.93566,0,0,0,0,0.0620172,1.52915,0.395122,0,0,0,0,0.00545452,0.0581633,0.135969,0,0,0,0.799889,0,8.94564e-07,0.540058,0.107295,0.00151851,0.999921,0.191813,1.00861,0.000599647
6200,620,25.8333,0,0,0,0,0,0,0,0,0,0,100,0.0151164,0.623075,0.0257035,1.94123,0,0,0,0,0.0608116,1.52915,0.392753,0,0,0,0,0.00463152,0.0421563,0.133257,0,0,0,0.799906,0,8.94564e-07,0.536738,0.106077,0.00152678,0.999921,0.191109,1.00944,0.000213912
6400,640,26.6667,0,0,0,0,0,0,0,0,0,0,100,0.0149529,0.625331,0.0221223,1.946,0,0,0,0,0.0597045,1.52915,0.390305,0,0,0,0,0.00387055,0.0305308,0.130905,0,0,0,0.799922,0,8.94564e-07,0.533445,0.10497,0.00153384,0.999921,0.190391,1.01019,7.6319e-05
