step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.470727,0.0515308,0,4,0,0,0.0912184,0,0.022017,0,0,0,0,0.118692,0.119619,0.201779,0,0,0,3.20163e-05,0,1,0.969496,0.177661,1.48704e-07,0.958349,0.00952457,0.463113,0.0548365
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0428319,0,0.731622,0.1743,0,8,4,0,0.0918936,0,0.0963213,0,0,0,0,0.179329,0.601961,0.340616,0,0,0,3.19758e-05,0,1,0.831144,0.164128,1.00832e-06,0.963544,0.0430954,0.730105,0.170455
600,60,2.5,8,5,2,1,7,1,0,0,10,10,4.16667,0.0479729,0.000145753,0.755784,0.328116,0,8,8,0,0.199959,0,0.190656,0,0,0,0,0.209815,0.805942,0.443015,0,0,0,3.1963e-05,0,0.999608,0.654705,0.152908,3.05686e-06,0.998441,0.0858085,0.84105,0.155974
800,80,3.33333,10,5,4,1,9,1,0,0,9,10,4.16667,0.0487952,0.000427071,0.609163,0.467106,0,12,12,0,0.304972,0,0.272863,0,0,0,0,0.227291,0.888937,0.467604,0,0,0,3.19503e-05,0,0.998531,0.650673,0.157168,6.09025e-06,0.998441,0.123136,0.866077,0.122756
1000,100,4.16667,12,5,5,2,10,2,0,0,6,8,8.33333,0.0473955,0.00080394,0.529685,0.579894,0,17,17,0,0.336898,0,0.333141,0,0,0,0,0.230824,0.784569,0.479218,0,0,0,3.19375e-05,0,0.996474,0.646557,0.160029,9.63221e-06,0.998462,0.150643,0.848458,0.0581078
1200,120,5,14,5,7,2,12,2,0,0,6,8,8.33333,0.0448759,0.00130259,0.475676,0.679436,0,17,17,0,0.319568,0,0.372232,0,0,0,0,0.222279,0.682685,0.487086,0,0,0,3.19248e-05,0,0.993252,0.642349,0.16185,1.31973e-05,0.998462,0.16863,0.839015,0.0272635
1400,140,5.83333,14,5,6,3,11,3,0,0,6,6,8.33333,0.0418791,0.00173898,0.438968,0.772992,0,17,17,4,0.293063,0.0217536,0.397434,0,0,0,0,0.20619,0.597806,0.483657,0,0,0,9.45548e-05,0,0.989791,0.638045,0.162889,1.64955e-05,0.998462,0.180373,0.859537,0.0126779
1600,160,6.66667,14,5,5,4,11,3,0,0,6,8,8.33333,0.0387918,0.00212087,0.420216,0.858713,0,17,17,6,0.271555,0.0713054,0.413737,0,0,0,0,0.187369,0.528733,0.448434,0,0,0,0.000440852,0,0.986189,0.633653,0.163352,1.94226e-05,0.998462,0.188113,0.880999,0.00961154
1800,180,7.5,14,5,5,4,10,4,0,0,3,9,8.33333,0.0358328,0.00245508,0.419427,0.94354,0,17,17,10,0.253121,0.133966,0.424263,0,0,0,0,0.167447,0.472672,0.413729,0,0,0,0.000907983,0,0.982507,0.629199,0.16343,2.19738e-05,0.998462,0.193253,0.898799,0.00729963
2000,200,8.33333,15,5,5,5,10,5,0,0,2,8,8.33333,0.0331126,0.00274756,0.396079,1.02495,0,17,17,16,0.242386,0.215208,0.430925,0,0,0,0,0.147513,0.441919,0.384895,0,0,0,0.0016417,0,0.978781,0.624715,0.16323,2.41861e-05,0.998462,0.196651,0.913957,0.00689287
2200,220,9.16667,16,5,5,6,10,6,0,0,0,7,12.5,0.030676,0.0031251,0.377326,1.10315,0,17,17,17,0.237011,0.342066,0.434914,0,0,0,0,0.128299,0.429833,0.360967,0,0,0,0.00304031,0,0.974313,0.620227,0.162843,2.61072e-05,0.998483,0.198842,0.927051,0.00664463
2400,240,10,19,5,8,6,13,6,0,0,0,6,12.5,0.02853,0.00363344,0.358015,1.17662,0,17,17,17,0.228345,0.479978,0.437064,0,0,0,0,0.110946,0.448691,0.341173,0,0,0,0.00497458,0,0.968712,0.615754,0.162375,2.7785e-05,0.998483,0.200201,0.938436,0.00657945
