step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.472592,0.0507467,0,4,1,0,0.0912611,0,0.0267349,0,0,0,0,0.2967,0.134436,0.294488,0,0,0,3.19955e-05,0,1,0.972551,0.181154,1.82065e-07,0.958349,0.011565,0.462364,0.064291
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0434722,0,0.726197,0.174841,0,8,5,0,0.0917076,0,0.184174,0,0,0,0,0.448035,0.55367,0.374982,0,0,0,3.19758e-05,0,1,0.807776,0.161782,1.53409e-06,0.99842,0.082639,0.704194,0.155427
600,60,2.5,9,5,4,0,9,0,0,0,10,9,0,0.0499106,0,0.724108,0.319005,0,8,8,0,0.233899,0,0.376613,0,0,0,0,0.527941,0.64774,0.450177,0,0,0,3.1963e-05,0,1,0.654701,0.152916,5.59091e-06,0.99842,0.169763,0.751842,0.11454
800,80,3.33333,11,5,6,0,11,0,0,0,9,10,0,0.0522775,0,0.642167,0.460692,0,12,12,0,0.300696,0,0.512105,0,0,0,0,0.56634,0.811859,0.468418,0,0,0,3.19503e-05,0,1,0.650495,0.156965,1.21094e-05,0.99842,0.231344,0.740689,0.119423
1000,100,4.16667,11,5,6,0,11,0,0,0,6,9,0,0.052015,0,0.533873,0.575859,0,17,17,0,0.366596,0,0.566442,0,0,0,0,0.584734,0.798102,0.47616,0,0,0,3.19375e-05,0,1,0.645598,0.158962,1.94229e-05,0.99842,0.256395,0.788182,0.0673052
1200,120,5,12,5,5,2,10,2,0,0,5,8,8.33333,0.050001,0.000424206,0.484869,0.677955,0,17,17,1,0.365247,0.0165362,0.584943,0,0,0,0,0.566831,0.735319,0.472795,0,0,0,5.92435e-05,0,0.996554,0.639724,0.159066,2.58968e-05,0.998462,0.265268,0.820967,0.0308476
1400,140,5.83333,13,5,6,2,11,2,0,0,5,7,8.33333,0.0471678,0.000970272,0.457723,0.772712,0,17,17,5,0.337298,0.0721329,0.593871,0,0,0,0,0.521557,0.67279,0.44277,0,0,0,0.000448825,0,0.991597,0.632762,0.157625,3.1302e-05,0.998462,0.26982,0.845589,0.0135083
1600,160,6.66667,15,5,7,3,12,3,0,0,5,4,12.5,0.0440973,0.00157883,0.437687,0.861929,0,17,17,8,0.309412,0.187752,0.594493,0,0,0,0,0.46351,0.62307,0.400651,0,0,0,0.00135737,0,0.985599,0.624718,0.154975,3.57971e-05,0.998483,0.270624,0.865429,0.00602199
1800,180,7.5,20,5,12,3,17,3,0,0,3,9,12.5,0.0411008,0.00228024,0.455881,0.950406,0,17,17,12,0.285751,0.346456,0.594494,0,0,0,0,0.39856,0.572085,0.363762,0,0,0,0.00308036,0,0.978164,0.615772,0.151608,3.9584e-05,0.998483,0.271143,0.882189,0.0205617
