step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.502152,0.0527885,0,4,0,0,0.0912652,0,0.0267349,0,0,0,0,0.2967,0.128911,0.207587,0,0,0,3.21374e-05,0,1,0.971869,0.180222,7.37298e-06,0.958349,0.011565,0.462364,0.0627486
400,40,1.66667,7,5,2,0,7,0,0,0,8,10,0,0.043472,0,0.819763,0.18911,0,8,4,0,0.0916132,0,0.183432,0,0,0,0,0.448034,0.539195,0.340581,0,0,0,3.19762e-05,0,1,0.79631,0.160631,6.20281e-05,0.99842,0.0823144,0.704221,0.150102
600,60,2.5,10,5,4,1,9,1,0,0,7,8,4.16667,0.0498286,0.000163711,0.927834,0.367105,0,8,8,0,0.166842,0,0.364728,0,0,0,0,0.519046,0.831204,0.442515,0,0,0,3.1963e-05,0,0.999117,0.654663,0.152856,0.000220653,0.998441,0.164395,0.754805,0.134338
800,80,3.33333,10,5,3,2,8,2,0,0,7,9,8.33333,0.052044,0.00050125,1.00544,0.566729,0,12,12,0,0.19584,0,0.490865,0,0,0,0,0.539883,1.17676,0.464735,0,0,0,3.19503e-05,0,0.99651,0.650175,0.156579,0.000469276,0.998462,0.221733,0.740927,0.174552
1000,100,4.16667,11,5,3,3,8,3,0,0,4,9,12.5,0.0517037,0.00127182,0.848172,0.754256,0,17,17,0,0.254594,0,0.550744,0,0,0,0,0.544334,1.29048,0.474422,0,0,0,3.19375e-05,0,0.989866,0.644538,0.157787,0.000750408,0.998483,0.249263,0.788684,0.130355
1200,120,5,15,5,6,4,11,4,0,0,1,9,16.6667,0.0497654,0.00218717,0.64158,0.9059,0,17,17,0,0.314164,0,0.576705,0,0,0,0,0.534529,1.23446,0.474014,0,0,0,3.19248e-05,0,0.981058,0.63744,0.156852,0.00101038,0.998504,0.261504,0.821633,0.0705221
1400,140,5.83333,18,5,7,6,12,6,0,0,0,10,16.6667,0.0470067,0.00311213,0.614294,1.02978,0,17,17,4,0.313656,0.0380738,0.586873,0,0,0,0,0.494673,1.14231,0.452952,0,0,0,0.000207191,0,0.971144,0.628972,0.154205,0.00123011,0.998504,0.266617,0.84626,0.0457883
1600,160,6.66667,24,5,12,7,17,7,0,0,0,10,20.8333,0.0439841,0.00459149,0.628242,1.15529,0,17,17,6,0.293086,0.116238,0.592212,0,0,0,0,0.443506,1.15321,0.403972,0,0,0,0.000825873,0,0.958912,0.619416,0.14995,0.00141257,0.998524,0.269547,0.866031,0.0809062
1800,180,7.5,30,5,16,9,21,9,0,0,0,10,20.8333,0.0410192,0.00592967,0.582582,1.2771,0,17,17,11,0.274715,0.218272,0.594472,0,0,0,0,0.394721,1.15136,0.362153,0,0,0,0.00182027,0,0.946521,0.609366,0.145581,0.00156593,0.998525,0.271086,0.882698,0.0645281
2000,200,8.33333,38,5,19,14,25,13,0,0,0,10,25,0.0382726,0.00755773,0.527862,1.38837,0,17,17,16,0.263722,0.347343,0.594485,0,0,0,0,0.352538,1.0602,0.326803,0,0,0,0.00329966,0,0.932583,0.599238,0.141323,0.00169759,0.998545,0.271606,0.897136,0.0360523
2200,220,9.16667,50,5,25,20,30,20,0,0,0,9,29.1667,0.0358102,0.00972739,0.494736,1.48996,0,17,17,16,0.247293,0.525288,0.594054,0,0,0,0,0.308477,0.891362,0.295956,0,0,0,0.00601101,0,0.916067,0.589187,0.136921,0.00181308,0.998566,0.271922,0.909791,0.0146291
2400,240,10,62,5,18,39,38,24,0,0,0,10,33.3333,0.033642,0.01228,0.497944,1.58995,0,17,17,17,0.219695,0.707012,0.593115,0,0,0,0,0.259384,0.763137,0.269317,0,0,0,0.117372,0,0.897331,0.579371,0.132604,0.00191568,0.998587,0.272004,0.920916,0.0112041
