step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.511128,0.052957,0,4,0,0,0.0912657,0,0.0267349,0,0,0,0,0.2967,0.137722,0.202753,0,0,0,3.21785e-05,0,1,0.970261,0.178127,7.37298e-06,0.958349,0.011565,0.462364,0.0677445
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0434685,0,0.817339,0.189146,0,8,4,0,0.0912742,0,0.183793,0,0,0,0,0.448037,0.583981,0.340564,0,0,0,3.19758e-05,0,1,0.777311,0.158724,6.18493e-05,0.99842,0.0824711,0.704347,0.162417
600,60,2.5,10,5,4,1,9,1,0,0,12,6,4.16667,0.0498699,0.000249943,0.660124,0.330106,0,8,8,0,0.247599,0,0.370087,0,0,0,0,0.540349,0.589081,0.442602,0,0,0,3.1963e-05,0,0.998909,0.654692,0.152894,0.000223134,0.998441,0.166818,0.753417,0.0919767
800,80,3.33333,12,5,3,4,8,4,0,0,14,5,12.5,0.0521568,0.000956055,0.673528,0.463734,0,12,12,0,0.25415,0,0.496547,0,0,0,0,0.565251,0.598855,0.463825,0,0,0,3.19503e-05,0,0.994017,0.650643,0.157124,0.000478337,0.998483,0.224316,0.740807,0.0713915
1000,100,4.16667,16,5,6,5,11,5,0,0,12,3,16.6667,0.0518571,0.00179587,0.638497,0.595376,0,17,17,0,0.241104,0,0.555616,0,0,0,0,0.554535,0.546088,0.476276,0,0,0,3.19375e-05,0,0.986733,0.646517,0.15993,0.000765927,0.998503,0.251488,0.788442,0.0402966
1200,120,5,18,5,7,6,12,6,0,0,10,2,20.8333,0.0498889,0.00336217,0.606548,0.720389,0,17,17,0,0.213336,0,0.577025,0,0,0,0,0.517299,0.477145,0.482451,0,0,0,3.19248e-05,0,0.975397,0.642287,0.161173,0.00102639,0.998524,0.261674,0.8213,0.0186118
1400,140,5.83333,26,5,12,9,18,8,0,0,7,2,20.8333,0.0470906,0.00485385,0.568372,0.838365,0,17,17,4,0.214583,0.0381305,0.587019,0,0,0,0,0.47308,0.412085,0.466728,0,0,0,0.000207586,0,0.963004,0.637952,0.161782,0.00124403,0.998524,0.266708,0.845919,0.00825903
1600,160,6.66667,33,5,17,11,22,11,0,0,7,1,25,0.0440425,0.00621236,0.564047,0.951946,0,17,17,6,0.21388,0.130686,0.592249,0,0,0,0,0.42158,0.354025,0.427915,0,0,0,0.00106475,0,0.950439,0.633546,0.161897,0.00142457,0.998545,0.269589,0.865723,0.00340521
1800,180,7.5,43,5,17,21,28,15,0,0,2,2,29.1667,0.0410607,0.0083548,0.55413,1.06368,0,17,17,10,0.199231,0.235153,0.594491,0,0,0,0,0.367591,0.307567,0.393762,0,0,0,0.00226496,0,0.934592,0.629103,0.160956,0.00157629,0.998566,0.271119,0.882438,0.00285684
