step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.496915,0.0522798,0,4,0,0,0.0912718,0,0.0267349,0,0,0,0,0.2967,0.135131,0.211635,0,0,0,3.20468e-05,0,1,0.97328,0.181982,7.37298e-06,0.958349,0.011565,0.462364,0.0668799
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0434565,0,0.826973,0.189277,0,8,4,0,0.0911435,0,0.181051,0,0,0,0,0.448041,0.671766,0.340538,0,0,0,3.19758e-05,0,1,0.746624,0.155645,6.12465e-05,0.99842,0.0812464,0.704782,0.191714
600,60,2.5,11,5,5,1,10,1,0,0,11,7,4.16667,0.0497785,0.000279826,0.689529,0.338056,0,8,8,0,0.21243,0,0.362923,0,0,0,0,0.531937,0.707748,0.442553,0,0,0,3.1963e-05,0,0.998757,0.654675,0.152872,0.000217061,0.998441,0.163581,0.756308,0.112584
800,80,3.33333,12,5,5,2,10,2,0,0,12,5,12.5,0.0519329,0.000756029,0.670548,0.473659,0,12,12,0,0.229998,0,0.490133,0,0,0,0,0.554137,0.7161,0.460232,0,0,0,3.19503e-05,0,0.995433,0.650521,0.156984,0.000459378,0.998483,0.221392,0.741064,0.0790278
1000,100,4.16667,15,5,6,4,11,4,0,0,10,5,16.6667,0.0515936,0.00180438,0.610977,0.605377,0,17,17,0,0.2169,0,0.558066,0,0,0,0,0.540053,0.650952,0.474634,0,0,0,3.19375e-05,0,0.986586,0.646184,0.159624,0.000737714,0.998503,0.252547,0.788925,0.0478983
1200,120,5,20,5,8,7,13,7,0,0,5,10,20.8333,0.0496978,0.00305589,0.574707,0.724443,0,17,17,0,0.251171,0,0.58187,0,0,0,0,0.521131,0.580159,0.477327,0,0,0,3.19248e-05,0,0.975794,0.641682,0.160954,0.000999822,0.998524,0.263814,0.821891,0.0350873
1400,140,5.83333,24,5,10,9,15,9,0,0,4,9,20.8333,0.0469595,0.00458581,0.533816,0.835916,0,17,17,4,0.260766,0.0326766,0.591295,0,0,0,0,0.484731,0.561454,0.467012,0,0,0,0.000169944,0,0.963401,0.636943,0.161116,0.00122091,0.998524,0.268592,0.846496,0.033042
1600,160,6.66667,33,5,16,12,21,12,0,0,3,10,25,0.0439505,0.00610838,0.525144,0.942729,0,17,17,6,0.262112,0.112698,0.59449,0,0,0,0,0.434929,0.569855,0.42675,0,0,0,0.00100675,0,0.950402,0.63196,0.16057,0.00140459,0.998545,0.270556,0.866233,0.0401783
1800,180,7.5,38,5,14,19,23,15,0,0,1,7,33.3333,0.0409948,0.00880315,0.489342,1.04475,0,17,17,10,0.249956,0.195439,0.594491,0,0,0,0,0.384351,0.576003,0.390205,0,0,0,0.00200138,0,0.932695,0.626939,0.158743,0.00155899,0.998587,0.271076,0.882865,0.0394017
2000,200,8.33333,42,5,12,25,23,19,0,0,0,10,33.3333,0.0382545,0.0117557,0.435647,1.13691,0,17,17,15,0.254673,0.291025,0.594435,0,0,0,0,0.347266,0.565221,0.359021,0,0,0,0.00309932,0,0.912871,0.621962,0.156654,0.0016915,0.998587,0.271566,0.897271,0.035188
2200,220,9.16667,50,5,16,29,28,22,0,0,0,8,37.5,0.0357968,0.0171591,0.403352,1.22102,0,17,17,16,0.257384,0.432308,0.594221,0,0,0,0,0.310167,0.513909,0.332182,0,0,0,0.00636095,0,0.891131,0.617036,0.154336,0.00180775,0.998608,0.271979,0.909899,0.0186314
2400,240,10,56,5,13,38,28,28,0,0,0,8,41.6667,0.0336359,0.0235671,0.390346,1.30042,0,17,17,16,0.24815,0.582255,0.59345,0,0,0,0,0.270688,0.471117,0.309412,0,0,0,0.146939,0,0.868264,0.612162,0.152035,0.00191153,0.998629,0.272138,0.920998,0.0158859
