step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.487403,0.0509229,0,4,0,0,0.0913315,0,0.0267349,0,0,0,0,0.2967,0.108463,0.2327,0,0,0,3.20176e-05,0,1,0.980861,0.191166,7.37298e-06,0.958349,0.011565,0.462364,0.0524967
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0434492,0,0.785514,0.182742,0,8,4,0,0.0920176,0,0.180239,0,0,0,0,0.448044,0.496565,0.340513,0,0,0,3.19759e-05,0,1,0.822532,0.163226,6.08816e-05,0.99842,0.0808786,0.705059,0.141961
600,60,2.5,10,5,4,1,9,1,0,0,10,10,4.16667,0.0497226,0.000231233,0.844701,0.350674,0,8,5,0,0.157107,0,0.354574,0,0,0,0,0.528119,0.769528,0.441723,0,0,0,3.1963e-05,0,0.999077,0.654366,0.15251,0.000213467,0.998441,0.159801,0.758361,0.1339
800,80,3.33333,11,5,4,2,9,2,0,0,8,10,12.5,0.0517844,0.000844417,0.705853,0.510735,0,12,12,0,0.26551,0,0.47629,0,0,0,0,0.575504,0.847433,0.457186,0,0,0,3.19503e-05,0,0.995047,0.649309,0.155645,0.000447205,0.998483,0.215129,0.741229,0.0996002
1000,100,4.16667,15,5,5,5,11,4,0,0,5,9,16.6667,0.0513777,0.00177425,0.584239,0.6399,0,17,17,0,0.318797,0,0.545031,0,0,0,0,0.586424,0.796271,0.468392,0,0,0,3.19375e-05,0,0.987243,0.643563,0.156948,0.000715877,0.998503,0.246633,0.789263,0.0519399
1200,120,5,18,5,7,6,12,6,0,0,3,9,20.8333,0.049513,0.00337336,0.54942,0.752167,0,17,17,0,0.29814,0,0.575557,0,0,0,0,0.55029,0.732889,0.471055,0,0,0,3.19248e-05,0,0.975331,0.637421,0.156661,0.00097631,0.998524,0.260932,0.822364,0.0304128
1400,140,5.83333,24,5,11,8,16,8,0,0,2,8,20.8333,0.0468338,0.00486364,0.53779,0.860554,0,17,17,4,0.279048,0.0326708,0.585806,0,0,0,0,0.499925,0.696963,0.454619,0,0,0,0.000169904,0,0.962938,0.631113,0.155892,0.00120048,0.998524,0.266081,0.846989,0.0209574
1600,160,6.66667,32,5,15,12,20,12,0,0,0,10,25,0.0438627,0.0066213,0.532508,0.968346,0,17,17,7,0.268954,0.0990869,0.591249,0,0,0,0,0.446842,0.642025,0.41279,0,0,0,0.000707843,0,0.94901,0.624797,0.154587,0.00138697,0.998545,0.26906,0.866682,0.0110287
1800,180,7.5,39,5,19,15,24,15,0,0,0,10,29.1667,0.0409319,0.00886591,0.50985,1.07296,0,17,17,11,0.255009,0.189745,0.594137,0,0,0,0,0.397563,0.586389,0.376712,0,0,0,0.00165224,0,0.932629,0.618576,0.152769,0.00154376,0.998566,0.270882,0.883249,0.0218718
2000,200,8.33333,50,5,24,21,31,19,0,0,0,10,29.1667,0.0382078,0.0110972,0.505187,1.17419,0,17,17,16,0.222984,0.279737,0.594392,0,0,0,0,0.34309,0.536445,0.346808,0,0,0,0.00263855,0,0.915285,0.612516,0.151037,0.0016782,0.998566,0.271513,0.897587,0.0198117
2200,220,9.16667,57,5,21,31,32,25,0,0,0,10,37.5,0.0357583,0.0161998,0.495211,1.27514,0,17,17,16,0.193549,0.369731,0.593709,0,0,0,0,0.290717,0.470242,0.320591,0,0,0,0.00371905,0,0.895203,0.606646,0.148834,0.00179562,0.998608,0.271715,0.910156,0.0118889
2400,240,10,65,5,25,35,36,29,0,0,0,10,41.6667,0.0335924,0.0235971,0.468869,1.37199,0,17,17,16,0.168534,0.459727,0.592157,0,0,0,0,0.245961,0.410781,0.297017,0,0,0,0.0118074,0,0.871817,0.600963,0.1461,0.00189888,0.998629,0.271538,0.921215,0.0054408
2600,260,10.8333,76,5,24,47,38,37,1,0,0,9,41.6667,0.031693,0.0323197,0.448443,1.46396,0,17,17,16,0.147578,0.549725,0.589415,0,0,0,0,0.207613,0.374941,0.277042,0,0,0,0.171006,0,0.846891,0.59543,0.143503,0.00198963,0.99865,0.270974,0.930946,0.00730502
2800,280,11.6667,86,5,22,59,43,41,2,0,0,9,41.6667,0.030031,0.0418111,0.430729,1.55198,0,17,17,16,0.130615,0.651573,0.585551,0,0,0,0,0.174878,0.343895,0.260754,0,0,0,0.53463,0,0.820027,0.590001,0.141314,0.00206867,0.998671,0.270156,0.939496,0.00594539
3000,300,12.5,91,5,18,68,42,44,5,0,0,9,50,0.0285774,0.0647033,0.400901,1.63555,0,17,17,17,0.120535,0.769322,0.580911,0,0,0,0,0.147026,0.319907,0.244737,0,0,0,0.797053,0,0.785856,0.584651,0.138358,0.00213695,0.998733,0.269219,0.947,0.00343263
3200,320,13.3333,98,5,21,72,44,45,9,0,0,9,58.3333,0.0273054,0.0958966,0.369238,1.71307,0,17,17,17,0.111216,0.889321,0.575751,0,0,0,0,0.123482,0.303726,0.229791,0,0,0,0.797189,0,0.747175,0.579371,0.135115,0.00219551,0.998796,0.268189,0.95358,0.0031521
3400,340,14.1667,103,5,22,76,45,46,12,0,0,9,58.3333,0.0261906,0.129815,0.337349,1.78407,0,16,16,16,0.102721,1.00167,0.570269,0,0,0,0,0.103846,0.291309,0.215428,0,0,0,0.797316,0,0.703439,0.574165,0.131521,0.00224541,0.998817,0.267086,0.959347,0.00336977
3600,360,15,110,5,19,86,46,49,15,0,0,9,62.5,0.0252115,0.161274,0.308018,1.8489,0,16,16,16,0.0951552,1.12167,0.564613,0,0,0,0,0.0872641,0.277491,0.203257,0,0,0,0.797368,0,0.658542,0.56905,0.128328,0.0022877,0.998858,0.265924,0.964403,0.00162505
