step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.464525,0.0508563,0,4,1,0,0.0912415,0,0.0267349,0,0,0,0,0.2967,0.147213,0.279197,0,0,0,3.19907e-05,0,1,0.972751,0.181632,1.82065e-07,0.958349,0.011565,0.462364,0.0676857
400,40,1.66667,6,5,1,0,6,0,0,0,8,10,0,0.0435129,0,0.716007,0.172007,0,8,5,0,0.0920979,0,0.189392,0,0,0,0,0.448016,0.54563,0.398695,0,0,0,3.19759e-05,0,1,0.844119,0.16543,1.58413e-06,0.99842,0.0849917,0.70268,0.150447
600,60,2.5,7,5,2,0,7,0,0,0,7,9,0,0.0499971,0,0.756979,0.323934,0,8,8,0,0.166441,0,0.37782,0,0,0,0,0.514389,0.737439,0.451598,0,0,0,3.1963e-05,0,1,0.65471,0.152928,5.74418e-06,0.99842,0.170306,0.749013,0.127293
800,80,3.33333,9,5,4,0,9,0,0,0,7,8,0,0.0524316,0,0.627322,0.466572,0,12,12,0,0.222804,0,0.513603,0,0,0,0,0.53868,0.81456,0.470081,0,0,0,3.19503e-05,0,1,0.65069,0.157197,1.24542e-05,0.99842,0.23205,0.740466,0.109581
1000,100,4.16667,11,5,5,1,10,1,0,0,5,7,4.16667,0.0521652,0.000276998,0.558596,0.585331,0,17,17,0,0.214966,0,0.558827,0,0,0,0,0.528125,0.777063,0.481991,0,0,0,3.19375e-05,0,0.99772,0.646596,0.160075,1.98571e-05,0.998441,0.25299,0.787833,0.0640985
1200,120,5,11,5,5,1,10,1,0,0,4,7,8.33333,0.0501025,0.000699669,0.499706,0.692479,0,17,17,1,0.205918,0.0132985,0.577957,0,0,0,0,0.501066,0.693114,0.485148,0,0,0,3.65809e-05,0,0.993977,0.642407,0.162182,2.62863e-05,0.998462,0.262146,0.820589,0.0271661
1400,140,5.83333,12,5,6,1,11,1,0,0,4,6,8.33333,0.0472379,0.00121134,0.475676,0.789832,0,17,17,5,0.205059,0.068906,0.587871,0,0,0,0,0.463062,0.604126,0.463213,0,0,0,0.000422072,0,0.98902,0.638123,0.163224,3.16432e-05,0.998462,0.267143,0.845241,0.0105661
1600,160,6.66667,13,5,5,3,10,3,0,0,4,6,12.5,0.0441467,0.00170192,0.417786,0.879539,0,17,17,8,0.224705,0.185857,0.592973,0,0,0,0,0.426889,0.52992,0.426012,0,0,0,0.00127425,0,0.983729,0.633759,0.163474,3.60938e-05,0.998483,0.269965,0.865131,0.00416294
1800,180,7.5,15,5,5,5,10,5,0,0,1,6,12.5,0.0411363,0.00238796,0.397779,0.961402,0,17,17,12,0.236786,0.358858,0.594493,0,0,0,0,0.384031,0.468668,0.395346,0,0,0,0.00304806,0,0.976294,0.629337,0.163529,3.98424e-05,0.998483,0.271169,0.881943,0.00165654
2000,200,8.33333,18,5,8,5,13,5,0,0,0,8,12.5,0.038359,0.00298834,0.369147,1.03963,0,17,17,17,0.239104,0.560586,0.594477,0,0,0,0,0.343814,0.451497,0.369912,0,0,0,0.00861645,0,0.96886,0.624884,0.163326,4.30695e-05,0.998483,0.271676,0.896521,0.0109738
2200,220,9.16667,22,5,10,7,16,6,0,0,0,9,12.5,0.0358765,0.00351375,0.422322,1.11887,0,17,17,17,0.225971,0.79875,0.594196,0,0,0,0,0.292533,0.504662,0.34877,0,0,0,0.259249,0,0.961428,0.620421,0.162967,4.59121e-05,0.998483,0.272058,0.909297,0.0380269
2400,240,10,31,5,19,7,24,7,0,0,0,8,12.5,0.0336943,0.00397355,0.443477,1.20716,0,17,17,17,0.207411,1.04032,0.593066,0,0,0,0,0.248085,0.564568,0.331196,0,0,0,0.795611,0,0.954009,0.615957,0.162485,4.84451e-05,0.998483,0.272052,0.920521,0.0455272
