step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.490373,0.052086,0,4,0,0,0.0912749,0,0.0267349,0,0,0,0,0.2967,0.0986055,0.215698,0,0,0,0.000163325,0,1,0.974663,0.183745,7.37298e-06,0.958349,0.011565,0.462364,0.0467727
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0434356,0,0.80703,0.185298,0,8,4,0,0.0917319,0,0.177794,0,0,0,0,0.448049,0.508933,0.340586,0,0,0,3.19759e-05,0,1,0.799393,0.160941,6.0202e-05,0.99842,0.0797849,0.705546,0.147023
600,60,2.5,10,5,4,1,9,1,0,0,10,10,12.5,0.0496843,0.00059606,0.626937,0.334501,0,8,8,0,0.196814,0,0.354228,0,0,0,0,0.534005,0.681394,0.442582,0,0,0,3.1963e-05,0,0.997409,0.654697,0.152887,0.000210784,0.998483,0.159649,0.75968,0.113465
800,80,3.33333,12,5,5,2,10,2,0,0,11,9,16.6667,0.0517408,0.00149575,0.602631,0.454293,0,12,12,0,0.217486,0,0.474805,0,0,0,0,0.558222,0.687397,0.465201,0,0,0,3.19503e-05,0,0.991341,0.650489,0.156928,0.000443095,0.998503,0.214455,0.741312,0.0739124
1000,100,4.16667,15,5,5,5,10,5,0,0,7,9,20.8333,0.0513021,0.00258651,0.53342,0.568446,0,17,17,0,0.231263,0,0.542197,0,0,0,0,0.550474,0.647164,0.476291,0,0,0,3.19375e-05,0,0.982161,0.645902,0.159224,0.000707921,0.998524,0.245343,0.789389,0.0531443
1200,120,5,18,5,6,7,12,6,0,0,5,9,20.8333,0.0494224,0.00417504,0.530241,0.674858,0,17,17,0,0.215923,0,0.574604,0,0,0,0,0.515805,0.556082,0.478332,0,0,0,3.19248e-05,0,0.970047,0.641056,0.159908,0.000965333,0.998524,0.260484,0.822552,0.0230598
1400,140,5.83333,25,5,11,9,16,9,0,0,2,9,20.8333,0.0467686,0.00556522,0.508596,0.776213,0,17,17,4,0.213439,0.032687,0.586555,0,0,0,0,0.472982,0.468519,0.46054,0,0,0,0.000170016,0,0.957665,0.636054,0.160005,0.00119057,0.998524,0.266402,0.847207,0.00869408
1600,160,6.66667,29,5,11,13,16,13,0,0,0,10,25,0.0438176,0.00723177,0.478222,0.87674,0,17,17,6,0.21218,0.103473,0.591871,0,0,0,0,0.428518,0.436403,0.420573,0,0,0,0.000895829,0,0.94375,0.630979,0.159367,0.00137848,0.998545,0.269324,0.86689,0.0185455
1800,180,7.5,36,5,15,16,20,16,0,0,0,9,29.1667,0.0408998,0.00897651,0.43559,0.969494,0,17,17,10,0.210428,0.187162,0.594462,0,0,0,0,0.389199,0.392123,0.386807,0,0,0,0.0019632,0,0.928807,0.625892,0.158396,0.00153645,0.998566,0.271012,0.88343,0.0105419
