step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.491375,0.0511446,0,4,1,0,0.0913244,0,0.0267349,0,0,0,0,0.2967,0.127156,0.296824,0,0,0,3.19944e-05,0,1,0.979083,0.188935,7.37298e-06,0.958349,0.011565,0.462364,0.061792
400,40,1.66667,6,5,1,0,6,0,0,0,8,10,0,0.0434474,0,0.805285,0.185388,0,8,5,0,0.0916813,0,0.180036,0,0,0,0,0.448045,0.586866,0.392178,0,0,0,3.19759e-05,0,1,0.786915,0.15969,6.07964e-05,0.99842,0.0807854,0.705116,0.171646
600,60,2.5,10,5,4,1,9,1,0,0,10,10,4.16667,0.0497671,0.000185957,0.870654,0.353033,0,8,7,0,0.156904,0,0.363075,0,0,0,0,0.52344,0.889875,0.449757,0,0,0,3.1963e-05,0,0.99916,0.654698,0.152899,0.000216243,0.998441,0.163624,0.756809,0.170443
800,80,3.33333,10,5,3,2,8,2,0,0,9,10,8.33333,0.0519805,0.000585358,0.896969,0.532549,0,12,12,0,0.232931,0,0.494357,0,0,0,0,0.546794,1.11939,0.467972,0,0,0,3.19503e-05,0,0.996333,0.650646,0.15713,0.000462825,0.998462,0.223291,0.741062,0.151726
1000,100,4.16667,12,5,3,4,9,3,0,0,2,7,12.5,0.051748,0.00130315,0.816435,0.706498,0,17,17,0,0.289051,0,0.560265,0,0,0,0,0.541135,1.18645,0.479618,0,0,0,3.19375e-05,0,0.989976,0.646491,0.159951,0.000751931,0.998483,0.253559,0.788784,0.12262
1200,120,5,13,5,4,4,9,4,0,0,0,10,12.5,0.0498194,0.00203899,0.657064,0.855579,0,17,17,1,0.335831,0.0115401,0.581467,0,0,0,0,0.528647,1.12919,0.483346,0,0,0,3.19248e-05,0,0.982543,0.642189,0.161677,0.00101431,0.998483,0.263652,0.821626,0.0691469
1400,140,5.83333,17,5,5,7,11,6,0,0,0,8,20.8333,0.0470419,0.00305178,0.565088,0.976181,0,17,17,5,0.355305,0.0592061,0.591774,0,0,0,0,0.500832,0.987874,0.461746,0,0,0,0.000354842,0,0.97264,0.63768,0.162408,0.0012334,0.998524,0.268827,0.846202,0.025822
1600,160,6.66667,22,5,8,9,13,9,0,0,0,7,25,0.0440076,0.00465415,0.519043,1.08441,0,17,17,7,0.328778,0.146551,0.594491,0,0,0,0,0.450259,0.880133,0.422936,0,0,0,0.00096461,0,0.960013,0.632997,0.162017,0.00141528,0.998545,0.270577,0.865959,0.00987521
1800,180,7.5,28,5,12,11,17,11,0,0,0,7,29.1667,0.0410353,0.00679989,0.54813,1.19045,0,17,17,12,0.296293,0.27283,0.594491,0,0,0,0,0.386948,0.804063,0.389075,0,0,0,0.00184691,0,0.944809,0.628196,0.160764,0.00156816,0.998566,0.271097,0.882628,0.022589
2000,200,8.33333,34,5,15,14,20,14,0,0,0,10,29.1667,0.0382837,0.00928917,0.552496,1.30318,0,17,17,17,0.268199,0.423343,0.59445,0,0,0,0,0.334801,0.844122,0.359761,0,0,0,0.00289803,0,0.927464,0.62333,0.15901,0.00169942,0.998566,0.271593,0.897074,0.0558115
2200,220,9.16667,46,5,21,20,28,18,0,0,0,10,33.3333,0.0358177,0.0115471,0.551421,1.41345,0,17,17,17,0.248371,0.624172,0.59406,0,0,0,0,0.285519,0.828015,0.335344,0,0,0,0.00438464,0,0.909873,0.618427,0.157314,0.00181457,0.998587,0.271927,0.90974,0.0536112
2400,240,10,57,5,30,22,35,22,0,0,0,10,33.3333,0.0336441,0.014157,0.525391,1.52183,0,17,17,17,0.224451,0.837524,0.592579,0,0,0,0,0.24211,0.756498,0.313783,0,0,0,0.0872137,0,0.890123,0.613503,0.155206,0.00191649,0.998587,0.271769,0.920876,0.030793
2600,260,10.8333,67,5,30,32,39,28,0,0,0,8,33.3333,0.0317382,0.0164411,0.499595,1.62457,0,17,17,17,0.199813,1.05733,0.589798,0,0,0,0,0.204792,0.66683,0.295987,0,0,0,0.544495,0,0.870511,0.608571,0.153334,0.00200597,0.998587,0.271156,0.930665,0.0130301
2800,280,11.6667,79,5,27,47,42,37,0,0,0,10,45.8333,0.0300703,0.0274091,0.466016,1.72134,0,17,17,17,0.175883,1.26972,0.585881,0,0,0,0,0.172787,0.605436,0.27699,0,0,0,0.794955,0,0.845076,0.603645,0.149941,0.00208377,0.99865,0.270345,0.939261,0.011741
3000,300,12.5,87,5,22,60,44,42,1,0,0,9,50,0.0286114,0.0411844,0.426755,1.81092,0,17,17,17,0.154486,1.47972,0.581195,0,0,0,0,0.145459,0.546073,0.259239,0,0,0,0.795189,0,0.817108,0.598734,0.146196,0.00215086,0.998671,0.269412,0.946802,0.00502492
