step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.489731,0.0516794,0,4,0,0,0.091303,0,0.022017,0,0,0,0,0.118692,0.108408,0.226292,0,0,0,3.20593e-05,0,1,0.978458,0.188363,6.02189e-06,0.958349,0.00952457,0.463113,0.0544267
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0428183,0,0.829953,0.187178,0,8,4,0,0.0919077,0,0.0939978,0,0,0,0,0.179331,0.550461,0.340595,0,0,0,3.19761e-05,0,1,0.804564,0.161462,4.01107e-05,0.959822,0.0420533,0.730715,0.158779
600,60,2.5,10,5,4,1,9,1,0,0,8,10,4.16667,0.0478943,0.000235565,0.820787,0.353558,0,8,8,0,0.219015,0,0.183527,0,0,0,0,0.215854,0.728451,0.442623,0,0,0,3.1963e-05,0,0.999354,0.6547,0.152903,0.000118786,0.998441,0.0825894,0.843989,0.13355
800,80,3.33333,11,5,5,1,10,1,0,0,8,10,4.16667,0.0485995,0.000505668,0.832451,0.521391,0,12,12,0,0.27755,0,0.260556,0,0,0,0,0.22969,0.915076,0.469673,0,0,0,3.19503e-05,0,0.998357,0.65064,0.157131,0.000232026,0.998441,0.117566,0.872994,0.145695
1000,100,4.16667,12,5,4,3,9,3,0,0,2,8,12.5,0.0470468,0.000982076,0.714441,0.678866,0,17,17,0,0.314964,0,0.316158,0,0,0,0,0.23226,0.965505,0.479132,0,0,0,3.19375e-05,0,0.996045,0.646449,0.159902,0.00036038,0.998483,0.142934,0.860778,0.100868
1200,120,5,15,5,7,3,11,4,0,0,2,10,12.5,0.0443941,0.001758,0.616804,0.811473,0,17,17,0,0.327138,0,0.354292,0,0,0,0,0.223963,0.837616,0.483488,0,0,0,3.19248e-05,0,0.99166,0.642042,0.161517,0.000487803,0.998483,0.160459,0.840998,0.0427735
1400,140,5.83333,19,5,9,5,14,5,0,0,2,6,20.8333,0.0413113,0.00268765,0.571757,0.929054,0,17,17,4,0.310619,0.0217929,0.37995,0,0,0,0,0.207771,0.723128,0.474612,0,0,0,9.48267e-05,0,0.985845,0.63742,0.16218,0.000605943,0.998524,0.172379,0.860781,0.017415
1600,160,6.66667,25,5,13,7,19,6,0,0,1,6,20.8333,0.0381783,0.00426355,0.55469,1.04211,0,17,17,7,0.289167,0.0801349,0.397048,0,0,0,0,0.184855,0.609796,0.437426,0,0,0,0.000545602,0,0.977528,0.632624,0.161767,0.000711678,0.998524,0.180453,0.882535,0.00646467
1800,180,7.5,29,5,14,10,19,10,0,0,0,9,25,0.0352003,0.00594312,0.541552,1.15171,0,17,17,11,0.261688,0.150132,0.408349,0,0,0,0,0.162093,0.522686,0.401646,0,0,0,0.00112477,0,0.968252,0.627701,0.160825,0.000804773,0.998545,0.185919,0.900564,0.00371933
