step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.49624,0.0521685,0,4,1,0,0.0912877,0,0.022017,0,0,0,0,0.296729,0.103282,0.305152,0,0,0,3.20672e-05,0,1,0.97663,0.186158,6.02189e-06,0.958349,0.00952457,0.463113,0.0491012
400,40,1.66667,8,5,3,0,8,0,0,0,9,9,0,0.0430614,0,0.811367,0.186664,0,8,5,0,0.0919178,0,0.167275,0,0,0,0,0.448222,0.522158,0.381655,0,0,0,3.19759e-05,0,1,0.819428,0.162952,5.16218e-05,0.99842,0.0751276,0.710142,0.152555
600,60,2.5,10,5,4,1,9,1,0,0,10,10,4.16667,0.0489801,0.000142747,0.629214,0.329808,0,8,8,0,0.216469,0,0.339164,0,0,0,0,0.539446,0.668328,0.449443,0,0,0,3.1963e-05,0,0.9994,0.654669,0.152864,0.000184868,0.998441,0.152919,0.769817,0.12769
800,80,3.33333,11,5,4,2,9,2,0,0,11,10,8.33333,0.0507263,0.000500008,0.603708,0.451672,0,12,12,0,0.2462,0,0.461679,0,0,0,0,0.568039,0.816702,0.465619,0,0,0,3.19503e-05,0,0.997193,0.650206,0.156617,0.000391079,0.998462,0.208569,0.743914,0.111024
1000,100,4.16667,17,5,8,4,13,4,0,0,8,10,16.6667,0.0498369,0.0012994,0.588187,0.570453,0,17,17,0,0.24832,0,0.489588,0,0,0,0,0.557444,0.835772,0.474298,0,0,0,3.19375e-05,0,0.991397,0.644899,0.158199,0.000609164,0.998503,0.221598,0.791984,0.0668304
1200,120,5,20,5,9,6,14,6,0,0,6,7,16.6667,0.0473093,0.00233522,0.559765,0.68704,0,17,17,1,0.262245,0.016327,0.489588,0,0,0,0,0.531885,0.751513,0.46839,0,0,0,5.77808e-05,0,0.983231,0.638714,0.158122,0.00079041,0.998504,0.222035,0.82645,0.0328615
1400,140,5.83333,25,5,10,10,15,10,0,0,5,7,25,0.04411,0.0037407,0.558998,0.799208,0,17,17,5,0.260633,0.0719353,0.489588,0,0,0,0,0.488537,0.635689,0.436533,0,0,0,0.000476824,0,0.973697,0.631789,0.156475,0.000935898,0.998545,0.22247,0.852696,0.0170248
1600,160,6.66667,30,5,13,12,18,12,0,0,1,10,25,0.0407767,0.00589854,0.513069,0.904221,0,17,17,7,0.264322,0.170691,0.489588,0,0,0,0,0.445897,0.567459,0.394634,0,0,0,0.00158736,0,0.961449,0.624515,0.153729,0.0010526,0.998545,0.222901,0.873973,0.0165311
1800,180,7.5,36,5,15,16,22,14,0,0,0,9,29.1667,0.037591,0.0078287,0.506245,1.00607,0,17,17,11,0.239239,0.275677,0.489588,0,0,0,0,0.39536,0.511282,0.359922,0,0,0,0.0028587,0,0.94909,0.617176,0.151179,0.0011479,0.998566,0.223328,0.891943,0.015642
