step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.508722,0.0525558,0,4,0,0,0.0912657,0,0.022017,0,0,0,0,0.296729,0.141609,0.203917,0,0,0,4.93989e-05,0,1,0.970649,0.178632,6.02189e-06,0.958349,0.00952457,0.463113,0.0705854
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0430947,0,0.796654,0.188007,0,8,4,0,0.0911942,0,0.173417,0,0,0,0,0.448209,0.584316,0.340531,0,0,0,3.19758e-05,0,1,0.774064,0.158387,5.32486e-05,0.99842,0.0778744,0.708901,0.162203
600,60,2.5,10,5,4,1,9,1,0,0,9,10,4.16667,0.0491829,0.000117025,0.85525,0.353788,0,8,8,0,0.163729,0,0.355945,0,0,0,0,0.519301,0.815118,0.442397,0,0,0,3.1963e-05,0,0.999455,0.654618,0.152805,0.000197778,0.998441,0.160493,0.762899,0.163894
800,80,3.33333,10,5,2,3,7,3,0,0,11,10,12.5,0.0511106,0.000548416,0.875844,0.531216,0,12,12,0,0.163188,0,0.465879,0,0,0,0,0.536845,1.11912,0.465011,0,0,0,3.19503e-05,0,0.996621,0.65033,0.156774,0.000422359,0.998483,0.21052,0.743375,0.176566
1000,100,4.16667,12,5,3,4,8,4,0,0,6,8,12.5,0.0500999,0.00137849,0.595238,0.674047,0,17,17,0,0.259751,0,0.48959,0,0,0,0,0.551989,1.04369,0.47289,0,0,0,3.19375e-05,0,0.990496,0.645505,0.159059,0.000638689,0.998483,0.221651,0.791245,0.0943517
1200,120,5,16,5,6,5,10,6,0,0,5,7,16.6667,0.0474886,0.00231143,0.560856,0.789605,0,17,17,0,0.284507,0,0.48959,0,0,0,0,0.534691,0.90904,0.476617,0,0,0,3.19248e-05,0,0.982994,0.640101,0.159726,0.000816448,0.998504,0.222089,0.825705,0.0450531
1400,140,5.83333,19,5,7,7,12,7,0,0,3,10,20.8333,0.0442354,0.0034193,0.562814,0.901828,0,17,17,4,0.269491,0.0326056,0.48959,0,0,0,0,0.486434,0.812251,0.459189,0,0,0,0.000169452,0,0.974287,0.634341,0.159392,0.000958447,0.998524,0.222522,0.852028,0.0390738
1600,160,6.66667,27,5,14,8,19,8,0,0,3,9,20.8333,0.0408665,0.00490385,0.564514,1.01412,0,17,17,5,0.257336,0.0925227,0.48959,0,0,0,0,0.434575,0.747822,0.418225,0,0,0,0.000609919,0,0.96408,0.628398,0.158247,0.00107205,0.998524,0.222952,0.873408,0.0380961
1800,180,7.5,37,5,21,11,26,11,0,0,2,10,25,0.0376569,0.00636454,0.554871,1.12689,0,17,17,9,0.244507,0.166696,0.48959,0,0,0,0,0.383285,0.707564,0.383332,0,0,0,0.00148654,0,0.953435,0.622387,0.156741,0.00116475,0.998545,0.223378,0.891481,0.0438309
