step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.499969,0.052274,0,4,0,0,0.091277,0,0.022017,0,0,0,0,0.118692,0.125299,0.210928,0,0,0,3.36436e-05,0,1,0.973093,0.181681,6.02189e-06,0.958349,0.00952457,0.463113,0.0615307
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0428665,0,0.821934,0.186739,0,8,4,0,0.0916496,0,0.102189,0,0,0,0,0.179323,0.633323,0.340529,0,0,0,3.19758e-05,0,1,0.794801,0.160459,4.24088e-05,0.973334,0.0457248,0.728375,0.179802
600,60,2.5,11,5,4,2,9,2,0,0,9,10,8.33333,0.0481259,0.000208255,0.784764,0.34763,0,8,8,0,0.243065,0,0.200504,0,0,0,0,0.21701,0.726006,0.44239,0,0,0,3.1963e-05,0,0.999427,0.65462,0.152802,0.000132532,0.998462,0.0902652,0.83548,0.131276
800,80,3.33333,12,5,3,4,8,4,0,0,10,10,16.6667,0.0490266,0.00092912,0.681041,0.497793,0,12,12,0,0.316272,0,0.281197,0,0,0,0,0.233281,0.779408,0.467618,0,0,0,3.19503e-05,0,0.996654,0.650379,0.156825,0.000262614,0.998503,0.126932,0.857719,0.0998648
1000,100,4.16667,14,5,3,6,8,6,0,0,5,9,16.6667,0.0476502,0.00201117,0.577377,0.622089,0,17,17,0,0.33403,0,0.340101,0,0,0,0,0.234293,0.709198,0.477557,0,0,0,3.19375e-05,0,0.990861,0.645971,0.159424,0.00041042,0.998503,0.153829,0.843731,0.0479152
1200,120,5,18,5,6,7,11,7,0,0,3,9,20.8333,0.0451439,0.00360441,0.51014,0.731841,0,17,17,0,0.321974,0,0.379488,0,0,0,0,0.224609,0.628382,0.481156,0,0,0,3.19248e-05,0,0.982818,0.64142,0.160452,0.00055778,0.998524,0.17196,0.837448,0.0296745
1400,140,5.83333,24,5,11,8,16,8,0,0,2,10,20.8333,0.0421526,0.00506584,0.506304,0.833848,0,17,17,4,0.286957,0.032688,0.404135,0,0,0,0,0.203503,0.537863,0.470514,0,0,0,0.000170023,0,0.974037,0.636759,0.160823,0.000693106,0.998524,0.183462,0.858741,0.0132071
1600,160,6.66667,28,5,11,12,17,11,0,0,1,10,25,0.0390579,0.00648404,0.480661,0.932458,0,17,17,5,0.27239,0.100476,0.419523,0,0,0,0,0.184578,0.524348,0.430287,0,0,0,0.000710938,0,0.964585,0.632025,0.160669,0.000811798,0.998545,0.190797,0.880149,0.0284003
1800,180,7.5,35,5,16,14,21,14,0,0,0,9,25,0.036081,0.00829933,0.464213,1.02662,0,17,17,9,0.255148,0.175468,0.429155,0,0,0,0,0.164221,0.468921,0.395536,0,0,0,0.00159139,0,0.953414,0.627255,0.159824,0.000913848,0.998545,0.19554,0.897931,0.0159494
2000,200,8.33333,43,5,16,22,23,20,0,0,0,8,33.3333,0.0333378,0.0108377,0.445742,1.11826,0,17,17,15,0.228511,0.265988,0.435021,0,0,0,0,0.142706,0.412044,0.364798,0,0,0,0.0026294,0,0.939623,0.622476,0.15813,0.00100119,0.998587,0.198584,0.913102,0.00774889
