step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.475097,0.0517432,0,4,1,0,0.0912125,0,0.022017,0,0,0,0,0.296729,0.157425,0.217845,0,0,0,3.1992e-05,0,1,0.967494,0.175124,1.48704e-07,0.958349,0.00952457,0.463113,0.0740268
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0430751,0,0.704685,0.172925,0,8,5,0,0.0917881,0,0.16928,0,0,0,0,0.448216,0.594429,0.389701,0,0,0,3.19758e-05,0,1,0.833864,0.1644,1.29286e-06,0.99842,0.0760273,0.709631,0.158914
600,60,2.5,7,5,2,0,7,0,0,0,9,9,0,0.0490714,0,0.646773,0.310645,0,8,8,0,0.213886,0,0.348749,0,0,0,0,0.526048,0.664184,0.452197,0,0,0,3.1963e-05,0,1,0.654706,0.152926,4.71856e-06,0.99842,0.157253,0.766717,0.120058
800,80,3.33333,10,5,4,1,9,1,0,0,9,8,4.16667,0.0509839,0.000151755,0.645959,0.439859,0,12,12,0,0.232635,0,0.465461,0,0,0,0,0.543429,0.694889,0.470293,0,0,0,3.19503e-05,0,0.999045,0.65069,0.157189,1.01918e-05,0.998441,0.210313,0.743889,0.0904447
1000,100,4.16667,11,5,5,1,10,1,0,0,2,8,4.16667,0.050015,0.000432323,0.599279,0.565765,0,17,17,0,0.242687,0,0.489589,0,0,0,0,0.529009,0.685357,0.481232,0,0,0,3.19375e-05,0,0.997003,0.64661,0.160092,1.56021e-05,0.998441,0.221632,0.791529,0.0639666
1200,120,5,11,5,4,2,9,2,0,0,1,10,4.16667,0.0474303,0.000677858,0.531908,0.678219,0,17,17,1,0.241677,0.00612471,0.489589,0,0,0,0,0.503085,0.639045,0.487462,0,0,0,3.19248e-05,0,0.994962,0.642449,0.161956,2.00819e-05,0.998441,0.222069,0.825976,0.0389608
1400,140,5.83333,12,5,4,3,9,3,0,0,1,10,8.33333,0.0441943,0.000999083,0.492472,0.781237,0,17,17,5,0.24259,0.0617493,0.489589,0,0,0,0,0.467861,0.574937,0.469091,0,0,0,0.000371977,0,0.992226,0.638205,0.163037,2.36828e-05,0.998462,0.222503,0.852264,0.0165725
1600,160,6.66667,12,5,2,5,7,5,0,0,1,9,12.5,0.0408368,0.00159039,0.451128,0.876104,0,17,17,8,0.246596,0.184314,0.489589,0,0,0,0,0.428896,0.510781,0.431376,0,0,0,0.00128216,0,0.987378,0.633889,0.163548,2.65777e-05,0.998483,0.222933,0.873605,0.00602908
1800,180,7.5,13,5,3,5,8,5,0,0,1,7,12.5,0.0376349,0.00229036,0.421294,0.963917,0,17,17,11,0.242963,0.361049,0.489589,0,0,0,0,0.381493,0.461317,0.399959,0,0,0,0.00324895,0,0.981255,0.62952,0.163667,2.89472e-05,0.998483,0.22336,0.89164,0.00268859
2000,200,8.33333,15,5,5,5,10,5,0,0,1,8,12.5,0.03472,0.00290292,0.383271,1.04659,0,17,17,17,0.24262,0.577163,0.489589,0,0,0,0,0.340714,0.46083,0.373817,0,0,0,0.00900709,0,0.975131,0.625122,0.163515,3.09427e-05,0.998483,0.223783,0.907215,0.0137537
2200,220,9.16667,17,5,5,7,10,7,0,0,0,10,16.6667,0.032141,0.00353922,0.345507,1.11883,0,17,17,17,0.257469,0.848664,0.489589,0,0,0,0,0.306916,0.428294,0.352079,0,0,0,0.281795,0,0.968355,0.620716,0.163175,3.26789e-05,0.998504,0.224203,0.920784,0.00836928
2400,240,10,21,5,9,7,14,7,0,0,0,9,16.6667,0.0299011,0.00429536,0.327744,1.1859,0,17,17,17,0.248586,1.11107,0.489589,0,0,0,0,0.277301,0.410888,0.334058,0,0,0,0.795432,0,0.960191,0.616318,0.162729,3.42379e-05,0.998504,0.224619,0.93262,0.00974681
2600,260,10.8333,24,5,10,9,16,8,0,0,0,10,16.6667,0.02798,0.00495709,0.31982,1.25153,0,17,17,17,0.219798,1.35152,0.489589,0,0,0,0,0.240085,0.382017,0.319122,0,0,0,0.795701,0,0.952028,0.611941,0.162213,3.56763e-05,0.998504,0.225032,0.942915,0.00518798
2800,280,11.6667,29,5,15,9,20,9,0,0,0,8,16.6667,0.0263467,0.00553619,0.329739,1.31679,0,17,17,17,0.193275,1.59197,0.489588,0,0,0,0,0.207451,0.388483,0.306755,0,0,0,0.7959,0,0.943865,0.607596,0.161659,3.70315e-05,0.998504,0.225441,0.951829,0.0140621
3000,300,12.5,37,5,18,14,25,12,0,0,0,9,16.6667,0.0249659,0.00604298,0.333341,1.38257,0,17,17,17,0.169949,1.83276,0.489509,0,0,0,0,0.175293,0.390321,0.296512,0,0,0,0.796042,0,0.935703,0.603288,0.161084,3.83266e-05,0.998504,0.225811,0.959508,0.0167786
3200,320,13.3333,48,5,26,17,31,17,0,0,0,6,20.8333,0.0237985,0.00719658,0.326623,1.4495,0,16,16,16,0.150861,2.06148,0.488866,0,0,0,0,0.146615,0.385514,0.28663,0,0,0,0.796194,0,0.925523,0.599017,0.159939,3.95604e-05,0.998525,0.225923,0.966092,0.0115208
3400,340,14.1667,59,5,25,29,36,23,0,0,0,7,20.8333,0.0228036,0.00820947,0.317587,1.51415,0,16,16,16,0.135068,2.27542,0.487427,0,0,0,0,0.123314,0.363443,0.278517,0,0,0,0.796365,0,0.915369,0.594779,0.15892,4.0709e-05,0.998525,0.225671,0.971724,0.00698221
3600,360,15,69,5,28,36,41,28,0,0,0,9,33.3333,0.0219455,0.0103007,0.301928,1.57657,0,15,15,15,0.122077,2.48778,0.485209,0,0,0,0,0.104098,0.342168,0.269313,0,0,0,0.796497,0,0.901958,0.590568,0.156986,4.17466e-05,0.998588,0.225157,0.976544,0.00387793
3800,380,15.8333,81,5,23,53,45,36,0,0,0,7,37.5,0.0211973,0.0139653,0.283376,1.63548,0,15,15,15,0.111261,2.692,0.482251,0,0,0,0,0.088135,0.324647,0.259476,0,0,0,0.796617,0,0.885532,0.58637,0.154407,4.26624e-05,0.998608,0.224508,0.980682,0.00277616
4000,400,16.6667,87,5,21,61,46,41,0,0,0,7,41.6667,0.0205394,0.0202519,0.262972,1.69034,0,12,12,12,0.102115,2.87759,0.478759,0,0,0,0,0.0745975,0.305714,0.250055,0,0,0,0.796786,0,0.867585,0.582176,0.151673,4.34568e-05,0.998629,0.223753,0.984252,0.00160454
4200,420,17.5,98,5,24,69,48,47,3,0,0,5,50,0.0199565,0.0343233,0.234441,1.74053,0,8,8,8,0.09463,2.98819,0.474888,0,0,0,0,0.0632667,0.275965,0.238766,0,0,0,0.79709,0,0.845202,0.577987,0.147929,4.41497e-05,0.998692,0.222915,0.987348,0.000993446
4400,440,18.3333,104,5,26,73,49,47,8,0,0,4,50,0.0194365,0.0510466,0.211271,1.78515,0,5,5,5,0.0889549,3.06773,0.47077,0,0,0,0,0.0541309,0.244986,0.228094,0,0,0,0.797411,0,0.820248,0.573814,0.144218,4.47225e-05,0.998692,0.22201,0.990049,0.000568463
4600,460,19.1667,108,5,21,82,51,46,11,0,0,6,54.1667,0.0189699,0.0773832,0.192746,1.82568,0,5,5,5,0.08418,3.12023,0.466524,0,0,0,0,0.0464806,0.216044,0.218165,0,0,0,0.797766,0,0.791254,0.569669,0.140629,4.52153e-05,0.998754,0.221052,0.992421,0.00170425
4800,480,20,113,5,16,92,48,49,16,0,0,6,54.1667,0.0185493,0.103855,0.185777,1.86347,0,2,2,2,0.0803241,3.15689,0.46223,0,0,0,0,0.0402682,0.196076,0.209719,0,0,0,0.798089,0,0.759534,0.565562,0.137494,4.56254e-05,0.998775,0.220056,0.994515,0.00551186
5000,500,20.8333,119,5,19,95,50,51,18,0,0,5,58.3333,0.0181687,0.137744,0.172115,1.89939,0,2,2,2,0.0768137,3.19189,0.457946,0,0,0,0,0.0348308,0.171751,0.201425,0,0,0,0.798351,0,0.724582,0.561502,0.134305,4.59484e-05,0.998817,0.219047,0.996375,0.00264208
