step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.497566,0.0514868,0,4,0,0,0.0913035,0,0.022017,0,0,0,0,0.296729,0.115279,0.223717,0,0,0,4.93994e-05,0,1,0.977604,0.187247,6.02189e-06,0.958349,0.00952457,0.463113,0.0597875
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0431159,0,0.809122,0.185852,0,8,4,0,0.0917377,0,0.176571,0,0,0,0,0.4482,0.653299,0.340586,0,0,0,3.19758e-05,0,1,0.798653,0.160867,5.42813e-05,0.99842,0.0792916,0.70811,0.187069
600,60,2.5,10,5,4,1,9,1,0,0,8,10,4.16667,0.049278,0.000257096,0.741659,0.349876,0,8,8,0,0.212789,0,0.363744,0,0,0,0,0.525339,0.770692,0.44253,0,0,0,3.1963e-05,0,0.998903,0.654668,0.152863,0.000204004,0.998441,0.16403,0.759686,0.126016
800,80,3.33333,11,5,4,2,9,2,0,0,9,6,8.33333,0.0512307,0.000716363,0.617536,0.48274,0,12,12,0,0.260808,0,0.465905,0,0,0,0,0.556456,0.757594,0.467712,0,0,0,3.19503e-05,0,0.995719,0.650405,0.156854,0.000433043,0.998462,0.210551,0.743081,0.0843545
1000,100,4.16667,15,5,6,4,11,4,0,0,6,6,12.5,0.0501805,0.0013762,0.58583,0.605542,0,17,17,0,0.251432,0,0.48959,0,0,0,0,0.545972,0.671575,0.477391,0,0,0,3.19375e-05,0,0.990645,0.645922,0.159358,0.000648507,0.998483,0.22167,0.79098,0.0436963
1200,120,5,22,5,12,5,17,5,0,0,5,4,20.8333,0.0475439,0.00281505,0.555809,0.717625,0,17,17,0,0.240841,0,0.48959,0,0,0,0,0.51521,0.565302,0.479376,0,0,0,3.19248e-05,0,0.982398,0.64128,0.160258,0.000825089,0.998524,0.222107,0.825452,0.0160948
1400,140,5.83333,26,5,12,9,17,9,0,0,3,6,25,0.0442743,0.00439027,0.530135,0.826579,0,17,17,4,0.244777,0.0326915,0.48959,0,0,0,0,0.473344,0.476889,0.46516,0,0,0,0.000170047,0,0.97215,0.636534,0.160558,0.000965932,0.998545,0.22254,0.851807,0.00605901
1600,160,6.66667,35,5,16,14,23,12,0,0,3,6,25,0.0408945,0.006467,0.495556,0.929353,0,17,17,7,0.250663,0.117659,0.48959,0,0,0,0,0.430357,0.407144,0.424601,0,0,0,0.000876629,0,0.959902,0.631737,0.159928,0.00107852,0.998545,0.22297,0.873224,0.00234269
1800,180,7.5,41,5,18,18,25,16,0,0,1,8,29.1667,0.0376775,0.00873087,0.468996,1.02704,0,17,17,12,0.248629,0.243729,0.48959,0,0,0,0,0.37989,0.36388,0.38992,0,0,0,0.00220257,0,0.946409,0.626934,0.158824,0.00117036,0.998566,0.223396,0.891331,0.00460638
