step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.502393,0.0523228,0,4,0,0,0.0912775,0,0.022017,0,0,0,0,0.118692,0.12932,0.210508,0,0,0,3.21627e-05,0,1,0.972957,0.181499,6.02189e-06,0.958349,0.00952457,0.463113,0.063594
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0428492,0,0.818369,0.188506,0,8,4,0,0.0914728,0,0.0994746,0,0,0,0,0.179326,0.555334,0.340576,0,0,0,3.19759e-05,0,1,0.787113,0.159709,4.15787e-05,0.96945,0.0445063,0.729158,0.156173
600,60,2.5,9,5,3,1,8,1,0,0,9,10,4.16667,0.0480567,0.000185957,0.857662,0.359277,0,8,4,0,0.161636,0,0.195991,0,0,0,0,0.212061,0.855347,0.442556,0,0,0,3.1963e-05,0,0.999496,0.654677,0.152874,0.000128331,0.998441,0.0882106,0.837985,0.148597
800,80,3.33333,10,5,4,1,9,1,0,0,10,10,8.33333,0.0489235,0.00062149,0.805739,0.527489,0,12,12,0,0.243241,0,0.277031,0,0,0,0,0.225998,0.974833,0.465582,0,0,0,3.19503e-05,0,0.997901,0.650294,0.156719,0.000254812,0.998462,0.12503,0.861582,0.125887
1000,100,4.16667,12,5,3,4,8,4,0,0,4,10,16.6667,0.0475285,0.00144731,0.6761,0.677303,0,17,17,0,0.304243,0,0.335233,0,0,0,0,0.229184,1.00102,0.476895,0,0,0,3.19375e-05,0,0.99368,0.645363,0.158722,0.000399508,0.998503,0.151607,0.844727,0.115061
1200,120,5,13,5,3,5,8,5,0,0,2,10,16.6667,0.0449972,0.00246466,0.589685,0.80463,0,17,17,0,0.34852,0,0.373521,0,0,0,0,0.223938,0.922099,0.480829,0,0,0,3.19248e-05,0,0.98721,0.640015,0.159506,0.000543241,0.998504,0.169236,0.838894,0.0660143
1400,140,5.83333,19,5,9,5,14,5,0,0,2,10,16.6667,0.0419882,0.00335498,0.524506,0.913605,0,17,17,4,0.364621,0.0326808,0.398481,0,0,0,0,0.213096,0.838223,0.469581,0,0,0,0.000169973,0,0.980269,0.634405,0.159534,0.000675301,0.998504,0.180874,0.859156,0.0397189
1600,160,6.66667,22,5,8,9,13,9,0,0,1,8,20.8333,0.0388936,0.00453117,0.483077,1.01493,0,17,17,7,0.357236,0.0948344,0.414866,0,0,0,0,0.195453,0.706416,0.427843,0,0,0,0.00064075,0,0.972105,0.628651,0.158782,0.000792213,0.998524,0.188655,0.880622,0.0163455
1800,180,7.5,28,5,12,11,17,11,0,0,1,9,29.1667,0.0359313,0.00695776,0.474737,1.11005,0,17,17,11,0.318811,0.197636,0.425522,0,0,0,0,0.169956,0.603078,0.389998,0,0,0,0.00167336,0,0.960151,0.622849,0.1567,0.000894041,0.998566,0.193856,0.898432,0.0127634
2000,200,8.33333,36,5,17,14,22,14,0,0,0,10,29.1667,0.0332086,0.00942733,0.485184,1.20715,0,17,17,16,0.276784,0.307798,0.432161,0,0,0,0,0.144277,0.547776,0.358257,0,0,0,0.00295365,0,0.947105,0.617081,0.154591,0.000982181,0.998566,0.197247,0.913598,0.0165249
2200,220,9.16667,46,5,21,20,28,18,0,0,0,10,33.3333,0.030767,0.01195,0.493353,1.30538,0,17,17,16,0.243133,0.437903,0.435957,0,0,0,0,0.122295,0.564173,0.331483,0,0,0,0.00645867,0,0.933072,0.611398,0.152453,0.00105832,0.998587,0.199352,0.926703,0.0348278
