step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.466699,0.0517655,0,2,0,0,0.0912094,0,0.0267349,0,0,0,0,0.2967,0.161739,0.195897,0,0,0,3.1991e-05,0,1,0.967452,0.175104,1.82065e-07,0.958349,0.011565,0.462364,0.0754482
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0435483,0,0.689033,0.169572,0,4,0,0,0.092207,0,0.195895,0,0,0,0,0.448002,0.615716,0.202563,0,0,0,3.19758e-05,0,1,0.865291,0.167554,1.62808e-06,0.99842,0.0879008,0.70137,0.16653
600,60,2.5,8,5,3,0,8,0,0,0,9,10,0,0.0502217,0,0.757663,0.31767,0,4,4,0,0.225806,0,0.396117,0,0,0,0,0.523418,0.739407,0.225318,0,0,0,3.1963e-05,0,1,0.678413,0.155311,6.11698e-06,0.99842,0.178585,0.74195,0.145023
800,80,3.33333,13,5,6,2,11,2,0,0,9,10,8.33333,0.052801,0.000209466,0.64974,0.463741,0,6,6,0,0.301051,0,0.52041,0,0,0,0,0.562293,0.791985,0.423115,0,0,0,3.19503e-05,0,0.99839,0.650715,0.15721,1.32758e-05,0.998462,0.235177,0.739925,0.119938
1000,100,4.16667,13,5,4,4,9,4,0,0,6,10,12.5,0.0524304,0.000865647,0.557367,0.583952,0,10,10,0,0.328224,0,0.56028,0,0,0,0,0.569625,0.819984,0.47788,0,0,0,3.19375e-05,0,0.992776,0.646634,0.160095,2.0679e-05,0.998483,0.253699,0.787094,0.0914087
1200,120,5,13,5,4,4,9,4,0,0,2,9,12.5,0.0502834,0.00165611,0.454267,0.685874,0,10,10,0,0.328923,0,0.579172,0,0,0,0,0.551143,0.754751,0.486186,0,0,0,3.19248e-05,0,0.98534,0.642418,0.161891,2.70241e-05,0.998483,0.262747,0.819842,0.0455307
1400,140,5.83333,15,5,5,5,10,5,0,0,2,9,12.5,0.0473646,0.00234787,0.40717,0.771472,0,10,10,0,0.316549,0,0.589,0,0,0,0,0.524896,0.639533,0.489749,0,0,0,3.1912e-05,0,0.977904,0.63808,0.162881,3.22917e-05,0.998483,0.267704,0.84457,0.0172097
1600,160,6.66667,20,5,10,5,15,5,0,0,2,6,12.5,0.0442378,0.00295325,0.393574,0.851418,0,10,10,4,0.289339,0.0460129,0.594057,0,0,0,0,0.481287,0.545679,0.472334,0,0,0,0.000262746,0,0.970468,0.633646,0.163298,3.6661e-05,0.998483,0.270506,0.864562,0.00657575
1800,180,7.5,24,5,13,6,18,6,0,0,2,4,12.5,0.0412037,0.00348304,0.382173,0.929034,0,10,10,6,0.2648,0.14907,0.594495,0,0,0,0,0.424867,0.469853,0.433191,0,0,0,0.00102058,0,0.963033,0.629151,0.163325,4.03398e-05,0.998483,0.271221,0.881477,0.00254249
