step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.490082,0.0523175,0,2,0,0,0.0912766,0,0.0267349,0,0,0,0,0.2967,0.10874,0.215541,0,0,0,3.20116e-05,0,1,0.974627,0.183679,7.37298e-06,0.958349,0.011565,0.462364,0.051859
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0434691,0,0.801844,0.184845,0,4,0,0,0.0920723,0,0.183717,0,0,0,0,0.448036,0.515344,0.202536,0,0,0,3.19758e-05,0,1,0.83293,0.164307,6.18812e-05,0.99842,0.082436,0.704312,0.146924
600,60,2.5,10,5,4,1,9,1,0,0,8,9,4.16667,0.0498873,0.000178567,0.845087,0.353488,0,4,4,0,0.24432,0,0.372941,0,0,0,0,0.530126,0.644082,0.2186,0,0,0,3.1963e-05,0,0.999168,0.654707,0.152911,0.000224226,0.998441,0.168111,0.752861,0.119336
800,80,3.33333,10,5,3,2,8,2,0,0,10,10,8.33333,0.0522489,0.000563664,0.839565,0.524203,0,6,6,0,0.298432,0,0.503524,0,0,0,0,0.564877,0.844389,0.37006,0,0,0,3.19503e-05,0,0.996497,0.650674,0.15716,0.000485777,0.998462,0.22748,0.740733,0.147823
1000,100,4.16667,13,5,5,3,10,3,0,0,5,10,12.5,0.0519539,0.00121086,0.686474,0.675228,0,10,10,0,0.357082,0,0.558279,0,0,0,0,0.575004,0.825467,0.465764,0,0,0,3.19375e-05,0,0.990865,0.646386,0.159811,0.000776185,0.998483,0.252704,0.788269,0.0897652
1200,120,5,18,5,9,4,14,4,0,0,3,9,16.6667,0.049959,0.00211895,0.638572,0.806964,0,10,10,0,0.32543,0,0.578617,0,0,0,0,0.542487,0.7474,0.483012,0,0,0,3.19248e-05,0,0.982142,0.641511,0.160896,0.00103604,0.998504,0.262407,0.821084,0.0509019
1400,140,5.83333,21,5,10,6,15,6,0,0,2,10,20.8333,0.047139,0.00326554,0.598113,0.929844,0,10,10,0,0.283602,0,0.588686,0,0,0,0,0.496451,0.650568,0.482138,0,0,0,3.1912e-05,0,0.971521,0.636205,0.160798,0.00125242,0.998524,0.267474,0.845708,0.0320016
1600,160,6.66667,32,5,17,10,22,10,0,0,1,10,20.8333,0.0440768,0.00476929,0.553989,1.04649,0,10,10,4,0.25654,0.040767,0.593686,0,0,0,0,0.447354,0.588213,0.463083,0,0,0,0.000226026,0,0.959129,0.630654,0.159801,0.00143184,0.998524,0.270252,0.865537,0.0227315
1800,180,7.5,42,5,23,14,28,14,0,0,0,8,25,0.0410858,0.00645387,0.515248,1.15339,0,10,10,6,0.235428,0.110761,0.594492,0,0,0,0,0.398825,0.502264,0.420742,0,0,0,0.000815457,0,0.945499,0.624995,0.158342,0.0015826,0.998545,0.271134,0.88228,0.0097745
2000,200,8.33333,52,5,20,27,31,21,0,0,0,9,29.1667,0.0383217,0.00871586,0.491981,1.25392,0,10,10,10,0.217272,0.204556,0.594492,0,0,0,0,0.349597,0.435337,0.38416,0,0,0,0.00171942,0,0.929132,0.619318,0.156276,0.00171212,0.998566,0.271648,0.896794,0.00498329
2200,220,9.16667,64,5,23,36,38,26,0,0,0,10,33.3333,0.0358489,0.0112688,0.510798,1.35474,0,10,10,10,0.205579,0.356013,0.594306,0,0,0,0,0.296744,0.421225,0.353458,0,0,0,0.00832734,0,0.911591,0.613677,0.154185,0.00182608,0.998587,0.272075,0.909515,0.0183057
2400,240,10,71,5,18,48,39,32,0,0,0,10,37.5,0.0336769,0.0183356,0.497852,1.45637,0,10,10,10,0.18907,0.507296,0.593466,0,0,0,0,0.252161,0.423841,0.326098,0,0,0,0.176697,0,0.89074,0.608102,0.151487,0.00192794,0.998608,0.272201,0.920691,0.020087
2600,260,10.8333,80,5,18,57,41,39,0,0,0,9,41.6667,0.0317815,0.0280652,0.465852,1.55305,0,10,10,10,0.171854,0.658053,0.591353,0,0,0,0,0.214781,0.379194,0.302044,0,0,0,0.590048,0,0.867525,0.6026,0.148523,0.00201874,0.998629,0.271774,0.930498,0.00923475
2800,280,11.6667,88,5,25,58,46,39,3,0,0,9,41.6667,0.0301297,0.0407232,0.442694,1.64399,0,10,10,10,0.155395,0.802425,0.588175,0,0,0,0,0.183278,0.350295,0.281418,0,0,0,0.797358,0,0.841029,0.597173,0.145632,0.00209892,0.998671,0.271008,0.939089,0.00885274
3000,300,12.5,97,5,28,64,47,47,3,0,0,8,45.8333,0.0286919,0.0540705,0.420326,1.73055,0,10,10,10,0.14,0.942772,0.584303,0,0,0,0,0.156019,0.321459,0.263711,0,0,0,0.797436,0,0.810955,0.591829,0.142846,0.00216946,0.998691,0.270117,0.946604,0.00649823
3200,320,13.3333,108,5,24,79,50,49,9,0,0,8,50,0.0274394,0.0774485,0.395308,1.81276,0,10,10,10,0.126062,1.08277,0.579859,0,0,0,0,0.132321,0.301067,0.247153,0,0,0,0.797502,0,0.774339,0.586576,0.139653,0.00223115,0.998754,0.269138,0.953169,0.00509456
3400,340,14.1667,116,5,22,89,49,54,13,0,0,9,54.1667,0.0263454,0.103559,0.382055,1.89086,0,10,10,10,0.113837,1.22277,0.574981,0,0,0,0,0.111918,0.309628,0.232976,0,0,0,0.797555,0,0.73501,0.581429,0.136706,0.0022847,0.998796,0.268086,0.958902,0.0151187
3600,360,15,121,5,25,91,52,52,17,0,0,9,58.3333,0.0253864,0.144715,0.349246,1.96383,0,10,10,10,0.103378,1.36276,0.569809,0,0,0,0,0.0945588,0.295026,0.219405,0,0,0,0.797593,0,0.688715,0.576402,0.133427,0.0023308,0.998837,0.266975,0.96391,0.0100486
3800,380,15.8333,127,5,24,98,51,55,20,1,0,10,66.6667,0.0245424,0.183423,0.326838,2.03259,0,10,10,10,0.0945776,1.50276,0.564447,0,0,0,0,0.0798061,0.297651,0.207007,0,0,0,0.797617,0,0.640324,0.5715,0.130148,0.00237015,0.998921,0.265815,0.968291,0.0105145
