step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.509318,0.0523145,0,2,0,0,0.0912907,0,0.0267349,0,0,0,0,0.2967,0.124112,0.215052,0,0,0,6.36743e-05,0,1,0.974595,0.18348,7.37298e-06,0.958349,0.011565,0.462364,0.062397
400,40,1.66667,8,5,3,0,8,0,0,0,9,9,0,0.043445,0,0.85861,0.194655,0,4,0,0,0.0910821,0,0.179733,0,0,0,0,0.448046,0.623397,0.202456,0,0,0,3.19759e-05,0,1,0.737941,0.154777,6.06775e-05,0.99842,0.0806495,0.705199,0.180223
600,60,2.5,10,5,4,1,9,1,0,0,8,9,4.16667,0.04975,0.000251376,0.844706,0.374448,0,4,2,0,0.188221,0,0.360559,0,0,0,0,0.523864,0.849785,0.218258,0,0,0,3.1963e-05,0,0.99901,0.654581,0.152761,0.000215149,0.998441,0.16251,0.757466,0.158227
800,80,3.33333,13,5,6,2,11,2,0,0,8,10,8.33333,0.0519314,0.00076658,0.669953,0.530199,0,6,6,0,0.260898,0,0.48705,0,0,0,0,0.561782,0.921908,0.376027,0,0,0,3.19503e-05,0,0.995703,0.64995,0.156341,0.000458959,0.998462,0.220001,0.741113,0.132841
1000,100,4.16667,17,5,8,4,13,4,0,0,4,9,16.6667,0.0515785,0.00167394,0.578842,0.652595,0,10,10,0,0.285311,0,0.549641,0,0,0,0,0.55997,0.801477,0.446763,0,0,0,3.19375e-05,0,0.988069,0.644703,0.158063,0.000736183,0.998503,0.248744,0.788958,0.0650055
1200,120,5,22,5,10,7,15,7,0,0,4,4,25,0.0496711,0.00392082,0.565497,0.767429,0,10,10,0,0.252208,0,0.576582,0,0,0,0,0.521351,0.678985,0.466095,0,0,0,3.19248e-05,0,0.97393,0.639063,0.157592,0.000996715,0.998545,0.261426,0.821944,0.0306292
1400,140,5.83333,31,5,14,12,21,10,0,0,1,4,25,0.0469414,0.00605617,0.532224,0.876557,0,10,10,0,0.239865,0,0.586656,0,0,0,0,0.478085,0.560501,0.464019,0,0,0,3.1912e-05,0,0.959059,0.633211,0.156582,0.00121816,0.998545,0.266496,0.846558,0.0125869
1600,160,6.66667,41,5,19,17,24,17,0,0,1,4,29.1667,0.0439378,0.00845842,0.507937,0.980684,0,10,10,2,0.226395,0.0291293,0.591923,0,0,0,0,0.431688,0.467213,0.448906,0,0,0,0.000147908,0,0.942368,0.627269,0.154941,0.0014022,0.998566,0.269394,0.866292,0.00486517
1800,180,7.5,49,5,19,25,26,23,0,0,1,6,29.1667,0.0409854,0.0107406,0.529677,1.0846,0,10,10,6,0.199051,0.0805732,0.594296,0,0,0,0,0.373934,0.419262,0.407857,0,0,0,0.000716114,0,0.925021,0.621335,0.153256,0.00155689,0.998566,0.270984,0.882917,0.0151249
