step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.507234,0.0522476,0,2,0,0,0.0912832,0,0.0267349,0,0,0,0,0.2967,0.155917,0.20759,0,0,0,3.20302e-05,0,1,0.972037,0.18024,7.37298e-06,0.958349,0.011565,0.462364,0.0777921
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0434663,0,0.808375,0.189005,0,4,0,0,0.0911253,0,0.182798,0,0,0,0,0.448036,0.656119,0.202465,0,0,0,3.19758e-05,0,1,0.75662,0.156648,6.17388e-05,0.99842,0.0820282,0.7044,0.180595
600,60,2.5,11,5,5,1,10,1,0,0,9,9,8.33333,0.0498073,0.000396342,0.672337,0.343961,0,4,3,0,0.197636,0,0.361751,0,0,0,0,0.53613,0.758656,0.218331,0,0,0,3.1963e-05,0,0.998161,0.654617,0.152794,0.000219105,0.998462,0.163054,0.755189,0.137912
800,80,3.33333,13,5,4,4,9,4,0,0,11,8,16.6667,0.0518838,0.000993486,0.617538,0.470023,0,6,6,0,0.28073,0,0.478898,0,0,0,0,0.580942,0.694668,0.29092,0,0,0,3.19503e-05,0,0.99404,0.650197,0.156612,0.000456276,0.998503,0.216323,0.741044,0.0768397
1000,100,4.16667,16,5,6,5,11,5,0,0,6,10,16.6667,0.0514592,0.0020675,0.563285,0.58748,0,10,10,0,0.305791,0,0.548687,0,0,0,0,0.578748,0.617539,0.402118,0,0,0,3.19375e-05,0,0.984977,0.645499,0.158923,0.000725702,0.998503,0.248301,0.789037,0.0481025
1200,120,5,24,5,12,7,17,7,0,0,5,8,20.8333,0.0495762,0.00371083,0.521874,0.693678,0,10,10,0,0.287047,0,0.576704,0,0,0,0,0.543604,0.521274,0.470659,0,0,0,3.19248e-05,0,0.972748,0.640619,0.159629,0.000985949,0.998524,0.261466,0.822124,0.0202979
1400,140,5.83333,33,5,16,12,21,12,0,0,2,10,25,0.0468769,0.00556664,0.499189,0.797043,0,10,10,0,0.264337,0,0.587304,0,0,0,0,0.493791,0.436238,0.471191,0,0,0,3.1912e-05,0,0.958982,0.635633,0.159446,0.0012089,0.998545,0.266774,0.84677,0.00865199
1600,160,6.66667,39,5,14,20,20,19,0,0,2,10,25,0.0438935,0.00749648,0.504217,0.897266,0,10,10,4,0.232579,0.00817417,0.592574,0,0,0,0,0.440028,0.385022,0.463282,0,0,0,3.18993e-05,0,0.944111,0.630609,0.158778,0.00139434,0.998545,0.269674,0.866495,0.0139015
1800,180,7.5,49,5,16,28,25,24,0,0,1,10,29.1667,0.0409544,0.00944958,0.483018,0.997323,0,10,10,6,0.206312,0.0354706,0.594489,0,0,0,0,0.387559,0.346792,0.437298,0,0,0,0.000191073,0,0.928363,0.625595,0.157803,0.0015502,0.998566,0.271057,0.883094,0.0130147
2000,200,8.33333,58,5,22,31,31,27,0,0,1,9,37.5,0.0382249,0.0131911,0.464844,1.09244,0,10,10,10,0.186126,0.0786667,0.594432,0,0,0,0,0.336289,0.295481,0.397886,0,0,0,0.000666203,0,0.909011,0.620628,0.155945,0.0016839,0.998608,0.271547,0.897463,0.00515025
2200,220,9.16667,68,5,24,39,35,33,0,0,0,10,41.6667,0.0357739,0.0210353,0.435997,1.18312,0,10,10,10,0.17463,0.160563,0.59408,0,0,0,0,0.289978,0.260338,0.362862,0,0,0,0.00170941,0,0.885468,0.615738,0.153279,0.001801,0.998629,0.271899,0.910055,0.00249378
2400,240,10,75,5,21,49,35,40,0,0,0,10,45.8333,0.0336136,0.0298518,0.407715,1.2678,0,10,10,10,0.16287,0.252436,0.592936,0,0,0,0,0.250331,0.235505,0.333372,0,0,0,0.00783623,0,0.860601,0.610945,0.150692,0.00190493,0.99865,0.271892,0.921127,0.0018314
2600,260,10.8333,83,5,23,55,39,42,2,0,0,9,50,0.031724,0.0470411,0.370411,1.34568,0,10,10,10,0.151821,0.363285,0.590769,0,0,0,0,0.216084,0.219401,0.306003,0,0,0,0.124918,0,0.828375,0.606261,0.147207,0.00199708,0.998712,0.271467,0.930856,0.00127202
2800,280,11.6667,95,5,29,61,46,45,4,0,0,10,54.1667,0.030078,0.0684431,0.346887,1.41757,0,10,10,10,0.14022,0.481409,0.587716,0,0,0,0,0.185866,0.218448,0.283161,0,0,0,0.41313,0,0.792051,0.601696,0.144107,0.00207863,0.998775,0.270733,0.93939,0.00613307
3000,300,12.5,106,5,27,74,46,51,9,0,0,10,58.3333,0.0286467,0.106672,0.308782,1.48325,0,10,10,10,0.129263,0.601408,0.58401,0,0,0,0,0.159707,0.212439,0.26282,0,0,0,0.797767,0,0.746078,0.597251,0.140842,0.00215066,0.998837,0.269845,0.94686,0.00509101
3200,320,13.3333,117,5,33,79,50,53,14,0,0,9,66.6667,0.0274022,0.162835,0.265882,1.54097,0,10,10,10,0.119857,0.721406,0.579835,0,0,0,0,0.137564,0.205461,0.243627,0,0,0,0.797737,0,0.690806,0.592919,0.137085,0.00221413,0.998921,0.268874,0.953387,0.00280195
