step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.489867,0.0518891,0,2,0,0,0.091282,0,0.0267349,0,0,0,0,0.2967,0.124077,0.217037,0,0,0,3.20285e-05,0,1,0.975176,0.184332,7.37298e-06,0.958349,0.011565,0.462364,0.0617055
400,40,1.66667,8,5,3,0,8,0,0,0,8,10,0,0.0434591,0,0.767074,0.180621,0,4,0,0,0.0921002,0,0.181332,0,0,0,0,0.448039,0.459756,0.202543,0,0,0,3.19759e-05,0,1,0.841129,0.16513,6.1377e-05,0.99842,0.0813727,0.704694,0.131104
600,60,2.5,11,5,5,1,10,1,0,0,8,9,4.16667,0.0497445,0.000191852,0.850701,0.346643,0,4,0,0,0.163923,0,0.355606,0,0,0,0,0.528132,0.733775,0.218606,0,0,0,3.1963e-05,0,0.99908,0.654709,0.152913,0.000215005,0.998441,0.160271,0.757588,0.13919
800,80,3.33333,11,5,3,3,8,3,0,0,10,10,12.5,0.0518178,0.000725259,0.820951,0.517954,0,6,6,0,0.241137,0,0.478463,0,0,0,0,0.562959,0.876766,0.355553,0,0,0,3.19503e-05,0,0.995483,0.650678,0.157159,0.000450203,0.998483,0.216114,0.741175,0.134905
1000,100,4.16667,15,5,4,6,9,6,0,0,4,10,16.6667,0.0514455,0.0016865,0.686104,0.668312,0,10,10,0,0.296861,0,0.547256,0,0,0,0,0.56923,0.847164,0.454348,0,0,0,3.19375e-05,0,0.9875,0.646542,0.159992,0.000722734,0.998503,0.247651,0.789165,0.0849151
1200,120,5,21,5,10,6,15,6,0,0,3,8,20.8333,0.0495582,0.00329317,0.579797,0.793384,0,10,10,0,0.284895,0,0.575045,0,0,0,0,0.538679,0.719794,0.477551,0,0,0,3.19248e-05,0,0.975597,0.642263,0.161239,0.000982419,0.998524,0.26071,0.822229,0.0371313
1400,140,5.83333,27,5,13,9,18,9,0,0,1,7,25,0.0468632,0.00485787,0.525399,0.904007,0,10,10,0,0.275349,0,0.586183,0,0,0,0,0.49622,0.597447,0.482408,0,0,0,3.1912e-05,0,0.962998,0.637842,0.16167,0.00120563,0.998545,0.266261,0.846858,0.0136219
1600,160,6.66667,33,5,15,13,20,13,0,0,1,7,25,0.0438835,0.00687622,0.484616,1.00542,0,10,10,3,0.263243,0.00097479,0.591619,0,0,0,0,0.448025,0.501676,0.482784,0,0,0,3.18993e-05,0,0.948128,0.633302,0.161131,0.00139144,0.998545,0.269236,0.866567,0.00493347
1800,180,7.5,43,5,20,18,25,18,0,0,0,9,33.3333,0.0409469,0.00907469,0.44331,1.09789,0,10,10,6,0.252723,0.0451441,0.594334,0,0,0,0,0.401846,0.430938,0.452009,0,0,0,0.000261329,0,0.931821,0.628684,0.160031,0.00154763,0.998587,0.27098,0.883152,0.00546654
2000,200,8.33333,49,5,16,28,27,22,0,0,0,10,37.5,0.0382195,0.0148128,0.424409,1.18432,0,10,10,10,0.230971,0.108741,0.59449,0,0,0,0,0.352164,0.382171,0.409236,0,0,0,0.000992032,0,0.910064,0.624029,0.157619,0.00168165,0.998608,0.271566,0.897508,0.00767842
2200,220,9.16667,57,5,17,35,29,28,0,0,0,10,50,0.0357729,0.0249707,0.403741,1.2682,0,10,10,10,0.216545,0.221312,0.594459,0,0,0,0,0.305243,0.351896,0.371725,0,0,0,0.00242048,0,0.884791,0.619378,0.154563,0.00179942,0.99867,0.272063,0.910089,0.00881463
2400,240,10,64,5,18,41,32,32,0,0,0,9,50,0.0336221,0.0401568,0.367358,1.34517,0,10,10,10,0.197883,0.341308,0.593849,0,0,0,0,0.264119,0.321072,0.337998,0,0,0,0.0114163,0,0.855086,0.614759,0.150774,0.00190481,0.998671,0.272295,0.921145,0.00602021
2600,260,10.8333,72,5,17,50,34,38,0,0,0,9,50,0.0317473,0.0534466,0.349374,1.41641,0,10,10,10,0.17754,0.461306,0.592259,0,0,0,0,0.224644,0.295043,0.310247,0,0,0,0.16534,0,0.825485,0.610193,0.147538,0.00199934,0.998671,0.27208,0.930849,0.00347394
2800,280,11.6667,79,5,14,60,35,42,2,0,0,8,50,0.0301169,0.0671414,0.340723,1.48572,0,10,10,10,0.157997,0.581304,0.589462,0,0,0,0,0.188453,0.29196,0.287436,0,0,0,0.518264,0,0.793585,0.60569,0.144776,0.00208363,0.998712,0.271431,0.939346,0.00299097
3000,300,12.5,83,5,12,66,36,42,5,0,0,9,54.1667,0.0286964,0.0841664,0.32845,1.55288,0,10,10,10,0.140616,0.701303,0.585643,0,0,0,0,0.158391,0.279103,0.268502,0,0,0,0.797318,0,0.756861,0.60126,0.142336,0.00215787,0.998775,0.270547,0.946776,0.00483995
3200,320,13.3333,89,5,16,68,40,41,8,0,0,9,62.5,0.0274552,0.116789,0.311862,1.61792,0,10,10,10,0.1256,0.8213,0.581101,0,0,0,0,0.133252,0.280818,0.251077,0,0,0,0.79737,0,0.713605,0.596902,0.139497,0.00222248,0.998858,0.269566,0.953269,0.00819486
3400,340,14.1667,94,5,16,73,40,44,10,0,0,8,62.5,0.0263674,0.16112,0.288172,1.67797,0,10,10,10,0.112902,0.943473,0.576067,0,0,0,0,0.111753,0.267439,0.234957,0,0,0,0.797409,0,0.663887,0.592611,0.136359,0.00227816,0.998858,0.268508,0.958944,0.00385234
3600,360,15,98,5,18,75,39,46,13,0,0,7,62.5,0.0254104,0.196326,0.265806,1.73357,0,10,10,10,0.102743,1.07375,0.570682,0,0,0,0,0.0937513,0.258802,0.221845,0,0,0,0.797402,0,0.613247,0.588375,0.133751,0.00232566,0.998879,0.267387,0.96391,0.00204266
3800,380,15.8333,107,5,24,78,46,44,17,0,0,7,62.5,0.024565,0.223774,0.248005,1.78504,0,10,10,10,0.094829,1.20402,0.565085,0,0,0,0,0.0789745,0.253503,0.211143,0,0,0,0.797399,0,0.562673,0.584186,0.131558,0.00236575,0.998879,0.266214,0.968262,0.00215632
4000,400,16.6667,115,5,22,88,48,46,21,0,0,7,66.6667,0.0238153,0.256765,0.233882,1.83327,0,9,9,9,0.0885731,1.32627,0.55941,0,0,0,0,0.0668406,0.251997,0.201064,0,0,0,0.797442,0,0.508881,0.580043,0.129164,0.00239928,0.998921,0.265014,0.972086,0.0047172
4200,420,17.5,122,5,26,91,47,52,20,3,0,7,75,0.0231481,0.2967,0.220112,1.87905,0,8,8,8,0.0832562,1.43442,0.553755,0,0,0,0,0.0565477,0.242217,0.191731,0,0,0,0.797515,0,0.451608,0.575948,0.1267,0.00242712,0.999046,0.26382,0.975456,0.00274493
4400,440,18.3333,132,5,21,106,50,53,22,7,0,7,75,0.0225522,0.353823,0.203716,1.92149,0,5,5,5,0.0787198,1.52771,0.548153,0,0,0,0,0.047827,0.231662,0.181961,0,0,0,0.797633,0,0.385714,0.571901,0.123763,0.00245006,0.999046,0.262636,0.978433,0.00202606
4600,460,19.1667,136,5,18,113,49,55,23,9,0,8,75,0.0220176,0.394132,0.192354,1.96134,0,5,5,5,0.0750241,1.58771,0.542626,0,0,0,0,0.0404202,0.221696,0.173966,0,0,0,0.797855,0,0.332442,0.567902,0.121291,0.00246874,0.999046,0.26146,0.981071,0.00409792
