step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.461871,0.0515513,0,2,0,0,0.0912169,0,0.0267349,0,0,0,0,0.2967,0.15976,0.20053,0,0,0,3.19921e-05,0,1,0.969066,0.177119,1.82065e-07,0.958349,0.011565,0.462364,0.075093
400,40,1.66667,6,5,1,0,6,0,0,0,8,10,0,0.0435429,0,0.687978,0.168909,0,4,0,0,0.0922407,0,0.194616,0,0,0,0,0.448004,0.579522,0.202565,0,0,0,3.19758e-05,0,1,0.86667,0.167693,1.62144e-06,0.99842,0.0873307,0.701602,0.158301
600,60,2.5,12,5,7,0,12,0,0,0,10,8,0,0.0501143,0,0.550225,0.286011,0,4,2,0,0.215985,0,0.382994,0,0,0,0,0.538059,0.581589,0.234514,0,0,0,3.1963e-05,0,1,0.707173,0.158193,5.94353e-06,0.99842,0.172652,0.745098,0.0938887
800,80,3.33333,12,5,7,0,12,0,0,0,11,6,0,0.052502,0,0.541778,0.397469,0,6,6,0,0.23299,0,0.508094,0,0,0,0,0.561368,0.541224,0.340936,0,0,0,3.19503e-05,0,1,0.650724,0.157238,1.26476e-05,0.99842,0.229574,0.740244,0.0571859
1000,100,4.16667,13,5,7,1,12,1,0,0,9,5,4.16667,0.0521435,0.000272749,0.537579,0.505353,0,10,10,0,0.217403,0,0.555537,0,0,0,0,0.545526,0.453376,0.4202,0,0,0,3.19375e-05,0,0.997933,0.646703,0.160192,1.98885e-05,0.998441,0.251509,0.787672,0.0239545
1200,120,5,13,5,6,2,11,2,0,0,9,5,8.33333,0.0500822,0.000566831,0.518906,0.612174,0,10,10,0,0.194969,0,0.57689,0,0,0,0,0.511897,0.390896,0.480391,0,0,0,3.19248e-05,0,0.995251,0.642649,0.162151,2.62982e-05,0.998462,0.26167,0.820513,0.0103033
1400,140,5.83333,14,5,6,3,11,3,0,0,4,4,12.5,0.0472256,0.00131473,0.450479,0.708013,0,10,10,0,0.180842,0,0.586812,0,0,0,0,0.471811,0.336006,0.483545,0,0,0,3.1912e-05,0,0.988509,0.638569,0.163375,3.16577e-05,0.998483,0.26667,0.84521,0.00445931
1600,160,6.66667,18,5,9,4,14,4,0,0,3,5,12.5,0.0441392,0.00204911,0.41174,0.794289,0,10,10,2,0.168036,0.0243178,0.592031,0,0,0,0,0.427575,0.287426,0.469883,0,0,0,0.000112754,0,0.981074,0.634471,0.164074,3.61104e-05,0.998483,0.269545,0.865122,0.00174449
1800,180,7.5,23,5,12,6,17,6,0,0,0,7,12.5,0.0411318,0.0026918,0.386201,0.873363,0,10,10,4,0.173303,0.0593146,0.594396,0,0,0,0,0.38905,0.25177,0.434499,0,0,0,0.000365689,0,0.97364,0.630364,0.164386,3.986e-05,0.998483,0.27113,0.881945,0.00160952
2000,200,8.33333,28,5,17,6,22,6,0,0,0,7,12.5,0.0383564,0.00325424,0.393728,0.951855,0,10,10,8,0.161348,0.114788,0.594493,0,0,0,0,0.339794,0.259762,0.402788,0,0,0,0.000914392,0,0.966206,0.62626,0.164425,4.30877e-05,0.998483,0.271688,0.896526,0.0187371
2200,220,9.16667,38,5,25,8,30,8,0,0,0,9,16.6667,0.0358757,0.00404316,0.403594,1.03219,0,10,10,8,0.157672,0.213658,0.594245,0,0,0,0,0.296208,0.278122,0.376523,0,0,0,0.00212245,0,0.956322,0.622165,0.164263,4.59323e-05,0.998504,0.272085,0.909303,0.0244439
2400,240,10,50,5,28,17,35,15,0,0,0,8,20.8333,0.0336943,0.00515818,0.39793,1.1129,0,10,10,10,0.14925,0.321013,0.593073,0,0,0,0,0.253996,0.282149,0.353953,0,0,0,0.013999,0,0.945019,0.618078,0.163629,4.84655e-05,0.998525,0.27206,0.920525,0.0198981
2600,260,10.8333,63,5,32,26,41,22,0,0,0,9,25,0.0317882,0.00710221,0.382386,1.19155,0,10,10,10,0.139045,0.443331,0.590695,0,0,0,0,0.214322,0.269519,0.333454,0,0,0,0.179876,0,0.930418,0.61399,0.162229,5.0714e-05,0.998546,0.271555,0.930375,0.0121633
2800,280,11.6667,70,5,30,35,42,28,0,0,0,8,29.1667,0.0301253,0.00954707,0.365076,1.26619,0,10,10,10,0.127923,0.565826,0.587181,0,0,0,0,0.180342,0.258897,0.315085,0,0,0,0.549499,0,0.913387,0.609889,0.160372,5.26928e-05,0.998566,0.270768,0.939007,0.0107118
3000,300,12.5,85,5,34,46,49,36,0,0,0,9,41.6667,0.0286742,0.0176994,0.330193,1.33633,0,10,10,10,0.117162,0.688321,0.582834,0,0,0,0,0.151454,0.247367,0.296435,0,0,0,0.797636,0,0.891068,0.605758,0.15733,5.44192e-05,0.998629,0.269853,0.946564,0.00631099
3200,320,13.3333,94,5,29,60,48,46,0,0,0,9,45.8333,0.027406,0.0293146,0.299242,1.3992,0,10,10,10,0.1075,0.810818,0.577898,0,0,0,0,0.127088,0.245926,0.278798,0,0,0,0.797692,0,0.865552,0.601594,0.153815,5.59135e-05,0.99865,0.268845,0.953174,0.00953448
3400,340,14.1667,104,5,32,67,51,47,6,0,0,9,45.8333,0.0262954,0.0407281,0.292581,1.45871,0,10,10,10,0.0998542,0.933314,0.572607,0,0,0,0,0.107148,0.320919,0.263762,0,0,0,0.797722,0,0.839468,0.597405,0.150619,5.72113e-05,0.998671,0.267762,0.958957,0.0332844
3600,360,15,109,5,25,79,48,51,10,0,0,8,45.8333,0.0253212,0.0541581,0.274952,1.51612,0,10,10,10,0.0936441,1.05581,0.567195,0,0,0,0,0.0906965,0.387967,0.251247,0,0,0,0.797719,0,0.810264,0.593198,0.147844,5.83291e-05,0.998692,0.26662,0.964017,0.032258
3800,380,15.8333,115,5,26,84,49,51,15,0,0,8,50,0.0244653,0.074115,0.256774,1.56991,0,10,10,10,0.0884865,1.1783,0.561748,0,0,0,0,0.0770275,0.443189,0.239954,0,0,0,0.797703,0,0.777928,0.588973,0.145075,5.92779e-05,0.998733,0.265436,0.968448,0.032962
4000,400,16.6667,121,5,26,90,50,53,18,0,0,9,58.3333,0.0237113,0.111285,0.197384,1.61603,0,10,10,10,0.106774,1.30902,0.556338,0,0,0,0,0.0720207,0.444673,0.228364,0,0,0,0.797669,0,0.738946,0.58473,0.141792,6.00932e-05,0.998817,0.264243,0.972332,0.0212483
4200,420,17.5,126,5,20,101,48,53,20,5,0,7,66.6667,0.0230469,0.162736,0.164935,1.65231,0,7,7,7,0.123351,1.42346,0.551281,0,0,0,0,0.0696638,0.384203,0.216153,0,0,0,0.797697,0,0.691183,0.580471,0.137937,6.08199e-05,0.9989,0.26306,0.975742,0.00821377
4400,440,18.3333,132,5,17,110,50,56,20,6,0,5,66.6667,0.0224642,0.208095,0.140329,1.68266,0,4,4,4,0.121038,1.51436,0.546653,0,0,0,0,0.064082,0.335977,0.2044,0,0,0,0.797812,0,0.640935,0.576211,0.134001,6.1459e-05,0.9989,0.261885,0.978735,0.00597431
4600,460,19.1667,137,5,18,114,50,54,24,9,0,7,70.8333,0.0219535,0.263281,0.13192,1.70903,0,3,3,3,0.115084,1.56284,0.542313,0,0,0,0,0.0589749,0.309055,0.193267,0,0,0,0.798043,0,0.584967,0.571969,0.130099,6.2048e-05,0.998963,0.260719,0.981361,0.0150692
4800,480,20,138,5,22,111,52,55,22,9,0,8,79.1667,0.0215038,0.343952,0.1122,1.73339,0,2,2,2,0.107623,1.59784,0.53804,0,0,0,0,0.0544979,0.263563,0.181078,0,0,0,0.79827,0,0.516988,0.56776,0.125601,6.26047e-05,0.999109,0.259562,0.983666,0.00703429
5000,500,20.8333,141,5,22,114,53,57,25,6,0,7,100,0.0211023,0.409576,0.10244,1.755,0,2,2,2,0.0968277,1.63284,0.533609,0,0,0,0,0.0442075,0.224689,0.170509,0,0,0,0.798457,0,0.445843,0.5636,0.121611,6.30998e-05,0.999171,0.258412,0.985694,0.00306882
5200,520,21.6667,0,0,0,0,0,0,0,0,0,7,100,0.0207864,0.482276,0.0742783,1.7718,0,0,0,0,0.0881369,1.63319,0.535598,0,0,0,0,0.0358774,0.201409,0.160543,0,0,0,0.798744,0,0.293566,0.559511,0.117751,0.00252481,0.999921,0.257386,0.987464,0.00917874
5400,540,22.5,0,0,0,0,0,0,0,0,0,6,100,0.0205516,0.530988,0.0593102,1.78632,0,0,0,0,0.0866794,1.63319,0.535517,0,0,0,0,0.0312584,0.260419,0.152413,0,0,0,0.798958,0,0.14757,0.555513,0.114537,0.00255619,0.999921,0.25662,0.988952,0.0330492
5600,560,23.3333,0,0,0,0,0,0,0,0,0,6,100,0.0203582,0.563628,0.0426662,1.79762,0,0,0,0,0.0815203,1.63319,0.534631,0,0,0,0,0.0284545,0.313839,0.145687,0,0,0,0.799103,0,0.0452831,0.551573,0.111812,0.00258874,0.999921,0.255772,0.990186,0.0294062
5800,580,24.1667,0,0,0,0,0,0,0,0,0,4,100,0.0201954,0.585498,0.0302292,1.80478,0,0,0,0,0.0881817,1.63319,0.534148,0,0,0,0,0.0298725,0.305145,0.140046,0,0,0,0.799208,0,9.7798e-07,0.547667,0.109459,0.00262147,0.999921,0.25525,0.991211,0.0146198
6000,600,25,0,0,0,0,0,0,0,0,0,2,100,0.0200685,0.600152,0.0169847,1.80931,0,0,0,0,0.0927677,1.63319,0.534242,0,0,0,0,0.0283995,0.262962,0.135275,0,0,0,0.799297,0,9.7798e-07,0.543786,0.107403,0.0026563,0.999921,0.255137,0.992059,0.00584749
6200,620,25.8333,0,0,0,0,0,0,0,0,0,1,100,0.0199715,0.609971,0.0123762,1.81222,0,0,0,0,0.0849597,1.63319,0.534303,0,0,0,0,0.0237411,0.212589,0.131212,0,0,0,0.799383,0,9.7798e-07,0.539929,0.105588,0.00269293,0.999921,0.254806,0.992749,0.00206392
6400,640,26.6667,0,0,0,0,0,0,0,0,0,0,100,0.0198906,0.61655,0.00917113,1.81436,0,0,0,0,0.0787121,1.63319,0.533602,0,0,0,0,0.01974,0.171877,0.127741,0,0,0,0.799464,0,9.7798e-07,0.5361,0.103978,0.00272914,0.999921,0.254242,0.993309,0.000728822
6600,660,27.5,0,0,0,0,0,0,0,0,0,0,100,0.0198097,0.620959,0.0069104,1.81596,0,0,0,0,0.073647,1.63319,0.531914,0,0,0,0,0.0161558,0.138971,0.124776,0,0,0,0.799538,0,9.7798e-07,0.532305,0.102545,0.00276211,0.999922,0.253595,0.993773,0.000257487
6800,680,28.3333,0,0,0,0,0,0,0,0,0,0,100,0.0197171,0.623913,0.00526246,1.81717,0,0,0,0,0.0695366,1.63319,0.529273,0,0,0,0,0.0130828,0.112373,0.122248,0,0,0,0.799604,0,9.7798e-07,0.528552,0.101266,0.00278974,0.999922,0.252778,0.994183,9.10097e-05
7000,700,29.1667,0,0,0,0,0,0,0,0,0,0,100,0.019607,0.625892,0.00403865,1.8181,0,0,0,0,0.0661963,1.63319,0.525844,0,0,0,0,0.0105242,0.0908716,0.120099,0,0,0,0.799662,0,9.7798e-07,0.524848,0.100125,0.00281091,0.999922,0.251779,0.994577,3.21822e-05
7200,720,30,0,0,0,0,0,0,0,0,0,0,100,0.0194779,0.627218,0.00311871,1.81881,0,0,0,0,0.0634745,1.63319,0.521832,0,0,0,0,0.00843139,0.0734892,0.118277,0,0,0,0.799713,0,9.7798e-07,0.521198,0.0991033,0.00282536,0.999922,0.250709,0.994981,1.13851e-05
7400,740,30.8333,0,0,0,0,0,0,0,0,0,0,100,0.0193312,0.628107,0.00242092,1.81936,0,0,0,0,0.0612478,1.63319,0.517428,0,0,0,0,0.00673859,0.0594358,0.116734,0,0,0,0.799757,0,9.7798e-07,0.517606,0.0981866,0.00283346,0.999922,0.249612,0.995415,4.02943e-06
7600,760,31.6667,0,0,0,0,0,0,0,0,0,0,100,0.0191703,0.628702,0.00188779,1.81979,0,0,0,0,0.0594161,1.63319,0.512786,0,0,0,0,0.00537887,0.0480731,0.11543,0,0,0,0.799795,0,9.7798e-07,0.514073,0.0973601,0.00283594,0.999922,0.248505,0.995887,1.42671e-06
7800,780,32.5,0,0,0,0,0,0,0,0,0,0,100,0.0189987,0.629101,0.00147798,1.82013,0,0,0,0,0.0578991,1.63319,0.508027,0,0,0,0,0.00429142,0.0388852,0.114325,0,0,0,0.799828,0,9.7798e-07,0.5106,0.0966105,0.00283365,0.999922,0.247399,0.996399,5.05368e-07
8000,800,33.3333,0,0,0,0,0,0,0,0,0,0,100,0.0188202,0.629369,0.00116132,1.82039,0,0,0,0,0.0566324,1.63319,0.503237,0,0,0,0,0.00342398,0.0314555,0.113384,0,0,0,0.799855,0,9.7798e-07,0.507187,0.0959255,0.00282746,0.999922,0.2463,0.996948,1.79084e-07
8200,820,34.1667,0,0,0,0,0,0,0,0,0,0,100,0.0186381,0.629548,0.000915501,1.8206,0,0,0,0,0.0555643,1.63319,0.498479,0,0,0,0,0.00273297,0.025447,0.112578,0,0,0,0.799878,0,9.7798e-07,0.50383,0.0952938,0.00281817,0.999922,0.245207,0.997527,6.34858e-08
