step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0294937,0,0.499102,0.0526078,0,2,0,0,0.0912657,0,0.0267349,0,0,0,0,0.2967,0.13434,0.204606,0,0,0,3.20527e-05,0,1,0.970879,0.17893,7.37298e-06,0.958349,0.011565,0.462364,0.0650247
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0434598,0,0.789308,0.184566,0,4,0,0,0.0916966,0,0.181617,0,0,0,0,0.448039,0.556169,0.202509,0,0,0,3.19759e-05,0,1,0.805226,0.161526,6.141e-05,0.99842,0.081499,0.704634,0.154821
600,60,2.5,10,5,3,2,8,2,0,0,8,8,8.33333,0.0497834,0.000174047,0.646188,0.335898,0,4,2,0,0.198717,0,0.360379,0,0,0,0,0.532775,0.658592,0.218511,0,0,0,3.1963e-05,0,0.999244,0.654681,0.152872,0.00021745,0.998462,0.162435,0.756265,0.109638
800,80,3.33333,12,5,5,2,10,2,0,0,9,10,8.33333,0.0519371,0.000751348,0.639684,0.464002,0,6,6,0,0.26263,0,0.487599,0,0,0,0,0.557547,0.677187,0.368,0,0,0,3.19503e-05,0,0.995479,0.650479,0.15694,0.000459907,0.998462,0.220253,0.74106,0.086088
1000,100,4.16667,15,5,6,4,11,4,0,0,5,9,16.6667,0.0516769,0.0016112,0.581291,0.589026,0,10,10,0,0.282368,0,0.557131,0,0,0,0,0.552761,0.602975,0.4559,0,0,0,3.19375e-05,0,0.987924,0.646089,0.159523,0.000745343,0.998503,0.25214,0.788864,0.0476692
1200,120,5,20,5,9,6,14,6,0,0,5,8,16.6667,0.049773,0.00260808,0.546,0.701837,0,10,10,0,0.272461,0,0.577316,0,0,0,0,0.529257,0.516743,0.481091,0,0,0,3.19248e-05,0,0.978009,0.641555,0.161189,0.00100851,0.998504,0.261774,0.821747,0.0198147
1400,140,5.83333,25,5,10,10,15,10,0,0,1,10,20.8333,0.0470102,0.00357121,0.515985,0.808002,0,10,10,0,0.267135,0,0.587548,0,0,0,0,0.492904,0.440921,0.484347,0,0,0,3.1912e-05,0,0.967797,0.63692,0.161923,0.00122836,0.998524,0.266915,0.846328,0.00750057
1600,160,6.66667,33,5,13,15,18,15,0,0,1,10,25,0.0439854,0.00508611,0.50694,0.909704,0,10,10,4,0.239217,0.0270708,0.592871,0,0,0,0,0.440179,0.384927,0.474842,0,0,0,0.000130691,0,0.955244,0.632229,0.161771,0.00141094,0.998545,0.269839,0.866073,0.00340687
1800,180,7.5,39,5,13,21,22,17,0,0,1,9,29.1667,0.0410193,0.00741238,0.505402,1.0105,0,10,10,6,0.218592,0.0870676,0.59449,0,0,0,0,0.385507,0.362553,0.432023,0,0,0,0.000687133,0,0.939248,0.62752,0.160284,0.0015644,0.998566,0.271088,0.882725,0.0135836
