step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0294937,0,0.502251,0.0526975,0,2,0,0,0.091259,0,0.0267349,0,0,0,0,0.2967,0.139535,0.202458,0,0,0,3.20041e-05,0,1,0.9701,0.177993,7.37298e-06,0.958349,0.011565,0.462364,0.0664129
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0434585,0,0.785095,0.185188,0,4,0,0,0.0915417,0,0.181591,0,0,0,0,0.44804,0.543784,0.202504,0,0,0,3.19758e-05,0,1,0.800071,0.161009,6.13436e-05,0.99842,0.0814864,0.704712,0.150499
600,60,2.5,11,5,5,1,10,1,0,0,9,10,12.5,0.0497778,0.000456654,0.878544,0.352103,0,4,3,0,0.156829,0,0.359719,0,0,0,0,0.521037,0.764308,0.218544,0,0,0,3.1963e-05,0,0.997899,0.654698,0.152887,0.000217067,0.998483,0.162133,0.756475,0.141644
800,80,3.33333,12,5,4,3,9,3,0,0,10,10,16.6667,0.0519248,0.00142584,0.837766,0.528716,0,6,6,0,0.247009,0,0.486623,0,0,0,0,0.551389,0.948235,0.252308,0,0,0,3.19503e-05,0,0.991278,0.650504,0.156945,0.000458807,0.998503,0.219811,0.741073,0.132665
1000,100,4.16667,16,5,6,5,11,5,0,0,3,9,16.6667,0.0516246,0.00244587,0.608203,0.67291,0,10,10,0,0.343765,0,0.551851,0,0,0,0,0.568379,0.84523,0.445218,0,0,0,3.19375e-05,0,0.981901,0.645673,0.159019,0.000740479,0.998503,0.24975,0.788906,0.0614135
1200,120,5,23,5,11,7,16,7,0,0,3,6,20.8333,0.0497098,0.00336514,0.553857,0.787237,0,10,10,0,0.32391,0,0.576982,0,0,0,0,0.539376,0.703252,0.478918,0,0,0,3.19248e-05,0,0.971968,0.640247,0.159622,0.00100142,0.998524,0.261613,0.821854,0.0222869
1400,140,5.83333,30,5,14,11,20,10,0,0,1,7,20.8333,0.0469678,0.00485645,0.529784,0.894372,0,10,10,0,0.282967,0,0.587232,0,0,0,0,0.490838,0.588599,0.477337,0,0,0,3.1912e-05,0,0.959575,0.634468,0.158851,0.00122228,0.998524,0.266763,0.84646,0.00899725
1600,160,6.66667,35,5,15,15,20,15,0,0,1,7,33.3333,0.0439563,0.00681889,0.522541,0.999545,0,10,10,4,0.24506,0.0218201,0.592582,0,0,0,0,0.433392,0.502365,0.464842,0,0,0,9.39383e-05,0,0.94499,0.628527,0.157217,0.00140576,0.998587,0.269699,0.866201,0.00632207
1800,180,7.5,47,5,23,19,29,18,0,0,0,9,33.3333,0.0409988,0.0100192,0.520226,1.10309,0,10,10,6,0.21904,0.0818148,0.594433,0,0,0,0,0.376961,0.468399,0.419519,0,0,0,0.000542427,0,0.925165,0.622571,0.154403,0.00155998,0.998587,0.271053,0.882839,0.0218672
2000,200,8.33333,54,5,24,25,32,22,0,0,0,10,37.5,0.0382571,0.0146252,0.510587,1.20635,0,10,10,10,0.197902,0.155085,0.594491,0,0,0,0,0.32456,0.425694,0.379873,0,0,0,0.00127527,0,0.904128,0.616696,0.151673,0.00169235,0.998608,0.271594,0.89725,0.0195554
2200,220,9.16667,65,5,27,33,36,29,0,0,0,10,41.6667,0.0357975,0.0235232,0.483696,1.30669,0,10,10,10,0.18671,0.266154,0.593862,0,0,0,0,0.278391,0.397049,0.345248,0,0,0,0.00279397,0,0.879702,0.610958,0.148479,0.00180835,0.998629,0.271821,0.909882,0.0140201
2400,240,10,74,5,27,42,40,34,0,0,0,10,45.8333,0.0336219,0.032552,0.454783,1.40092,0,10,10,10,0.172501,0.384049,0.591948,0,0,0,0,0.237915,0.356577,0.316456,0,0,0,0.0407635,0,0.854532,0.605371,0.145597,0.00191006,0.99865,0.271466,0.920994,0.00596473
2600,260,10.8333,87,5,29,53,44,42,1,0,0,8,50,0.0317101,0.0476685,0.416329,1.48845,0,10,10,10,0.157165,0.503746,0.58889,0,0,0,0,0.203022,0.325419,0.290173,0,0,0,0.260034,0,0.82403,0.599912,0.142065,0.00199872,0.998691,0.270789,0.930773,0.00272965
2800,280,11.6667,93,5,29,59,44,45,4,0,0,8,54.1667,0.0300371,0.0637805,0.386424,1.56895,0,10,10,10,0.142247,0.619694,0.584944,0,0,0,0,0.17329,0.308774,0.26796,0,0,0,0.675902,0,0.791468,0.594552,0.138807,0.0020757,0.998754,0.269965,0.93937,0.00558863
3000,300,12.5,104,5,23,76,47,47,10,0,0,10,58.3333,0.0285765,0.0950523,0.356295,1.6433,0,10,10,10,0.128694,0.746892,0.580428,0,0,0,0,0.147391,0.293622,0.248234,0,0,0,0.797417,0,0.750848,0.589269,0.135433,0.00214242,0.998816,0.269029,0.946915,0.00509217
3200,320,13.3333,110,5,24,81,46,50,14,0,0,10,62.5,0.0273024,0.137334,0.324917,1.7117,0,10,10,10,0.116563,0.88189,0.575516,0,0,0,0,0.125007,0.27922,0.230368,0,0,0,0.797404,0,0.703594,0.584055,0.131896,0.00220014,0.998879,0.268007,0.953527,0.00252873
3400,340,14.1667,116,5,22,89,46,53,17,0,0,6,62.5,0.0261898,0.178404,0.29476,1.77377,0,10,10,10,0.106288,1.01689,0.570328,0,0,0,0,0.10602,0.270681,0.215033,0,0,0,0.797401,0,0.652441,0.57891,0.12863,0.00224993,0.998879,0.266917,0.959315,0.00291086
3600,360,15,121,5,24,92,48,52,21,0,0,9,66.6667,0.025216,0.220205,0.278116,1.83155,0,10,10,10,0.0981085,1.15189,0.564983,0,0,0,0,0.0901324,0.285384,0.201436,0,0,0,0.797418,0,0.598596,0.573841,0.125453,0.00229271,0.998921,0.265774,0.96438,0.0116328
3800,380,15.8333,128,5,26,97,48,55,22,3,0,9,75,0.0243616,0.283537,0.249237,1.88449,0,10,10,10,0.0914239,1.28688,0.559586,0,0,0,0,0.0768273,0.272536,0.188043,0,0,0,0.797427,0,0.535509,0.56886,0.121865,0.00232936,0.999046,0.264592,0.968812,0.00501713
4000,400,16.6667,136,5,25,106,49,58,22,7,0,7,79.1667,0.0236095,0.355997,0.222845,1.9319,0,10,10,10,0.0857255,1.42188,0.55419,0,0,0,0,0.0654512,0.267922,0.175179,0,0,0,0.797435,0,0.464527,0.563982,0.118088,0.00236066,0.999108,0.263408,0.972695,0.00474383
4200,420,17.5,141,5,26,110,50,59,23,9,0,8,79.1667,0.0229448,0.413849,0.20158,1.97428,0,8,8,8,0.0808632,1.53318,0.548829,0,0,0,0,0.0557315,0.260833,0.164223,0,0,0,0.797504,0,0.392124,0.559221,0.114749,0.00238728,0.999108,0.262233,0.976103,0.00577271
4400,440,18.3333,0,0,0,0,0,0,0,0,0,7,100,0.0223669,0.4728,0.166984,2.01197,0,6,6,6,0.0769606,1.63248,0.546935,0,0,0,0,0.0476236,0.247534,0.1543,0,0,0,0.797593,0,0.277726,0.55459,0.11156,0.00241198,0.999921,0.261186,0.979096,0.00367039
4600,460,19.1667,0,0,0,0,0,0,0,0,0,8,100,0.0219133,0.524639,0.146502,2.04232,0,6,6,6,0.0734337,1.70748,0.547082,0,0,0,0,0.0404014,0.252242,0.145643,0,0,0,0.797742,0,0.168072,0.550091,0.108666,0.00244427,0.999921,0.260437,0.981683,0.0140679
4800,480,20,0,0,0,0,0,0,0,0,0,7,100,0.0215435,0.559373,0.151744,2.07293,0,4,4,4,0.0703155,1.77362,0.545958,0,0,0,0,0.0340199,0.381901,0.138533,0,0,0,0.79787,0,0.0636107,0.545678,0.106215,0.00247942,0.999921,0.259575,0.983875,0.038367
5000,500,20.8333,0,0,0,0,0,0,0,0,0,8,100,0.0212255,0.582647,0.154053,2.10405,0,4,4,4,0.06758,1.83362,0.543911,0,0,0,0,0.028462,0.610115,0.13267,0,0,0,0.797944,0,9.60203e-07,0.541341,0.104119,0.00251362,0.999921,0.258635,0.985728,0.052069
5200,520,21.6667,0,0,0,0,0,0,0,0,0,9,100,0.0209401,0.598242,0.15074,2.13485,0,0,0,0,0.0651673,1.83421,0.541121,0,0,0,0,0.0236972,0.864688,0.127761,0,0,0,0.798187,0,9.60203e-07,0.537055,0.102285,0.00254478,0.999921,0.257631,0.987309,0.0566906
5400,540,22.5,0,0,0,0,0,0,0,0,0,8,100,0.020675,0.608691,0.129467,2.16318,0,0,0,0,0.0630993,1.83421,0.537729,0,0,0,0,0.0196592,1.09574,0.123521,0,0,0,0.798309,0,9.60203e-07,0.532779,0.100619,0.00257178,0.999921,0.256575,0.98868,0.0415702
