step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.486623,0.0518239,0,2,0,0,0.0912934,0,0.022017,0,0,0,0,0.118692,0.104274,0.224152,0,0,0,3.20405e-05,0,1,0.977655,0.187426,6.02189e-06,0.958349,0.00952457,0.463113,0.051741
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0428251,0,0.784932,0.181126,0,4,0,0,0.0924685,0,0.0952738,0,0,0,0,0.17933,0.472501,0.202572,0,0,0,3.19758e-05,0,1,0.869142,0.167943,4.0433e-05,0.960821,0.0426246,0.730456,0.137705
600,60,2.5,10,5,4,1,9,1,0,0,10,10,4.16667,0.0479375,0.000275583,0.909938,0.356646,0,4,4,0,0.167099,0,0.186763,0,0,0,0,0.209205,0.732826,0.218619,0,0,0,3.1963e-05,0,0.999236,0.654715,0.152919,0.000121275,0.998441,0.0840526,0.842352,0.151993
800,80,3.33333,10,5,3,2,8,2,0,0,10,10,12.5,0.0486637,0.000750015,0.878358,0.535079,0,6,6,0,0.235693,0,0.262703,0,0,0,0,0.222677,0.908611,0.241403,0,0,0,3.19503e-05,0,0.997482,0.65051,0.156953,0.000236623,0.998483,0.118542,0.870633,0.129732
1000,100,4.16667,12,5,3,4,8,4,0,0,4,10,16.6667,0.0471278,0.00177601,0.802933,0.706178,0,10,10,0,0.250291,0,0.319138,0,0,0,0,0.220806,1.04211,0.427546,0,0,0,3.19375e-05,0,0.992642,0.645416,0.158704,0.00036713,0.998503,0.14429,0.857847,0.110345
1200,120,5,15,5,5,5,10,5,0,0,1,8,16.6667,0.0444913,0.00275231,0.663021,0.853818,0,10,10,0,0.267935,0,0.357224,0,0,0,0,0.213052,1.01969,0.473701,0,0,0,3.19248e-05,0,0.986696,0.638864,0.158086,0.000496873,0.998504,0.161799,0.840556,0.0636996
1400,140,5.83333,19,5,8,6,13,6,0,0,1,9,16.6667,0.0414147,0.00360671,0.616104,0.981554,0,10,10,0,0.254517,0,0.382486,0,0,0,0,0.196714,0.98034,0.470893,0,0,0,3.1912e-05,0,0.980268,0.631123,0.155964,0.000616716,0.998504,0.173546,0.860504,0.0523397
1600,160,6.66667,23,5,11,7,16,7,0,0,1,6,25,0.0382806,0.00510132,0.580122,1.10147,0,10,10,4,0.237442,0.0220909,0.39924,0,0,0,0,0.177134,0.93282,0.450334,0,0,0,9.74329e-05,0,0.971788,0.622764,0.152621,0.00072348,0.998545,0.181467,0.882228,0.0318315
1800,180,7.5,32,5,17,10,22,10,0,0,0,9,25,0.0352976,0.00708927,0.601729,1.21887,0,10,10,6,0.207158,0.0520836,0.410221,0,0,0,0,0.152772,0.836277,0.408347,0,0,0,0.000307359,0,0.961372,0.614192,0.14887,0.000817096,0.998545,0.186792,0.900242,0.0272171
2000,200,8.33333,43,5,25,13,31,12,0,0,0,10,29.1667,0.0325659,0.00938321,0.608934,1.34054,0,10,10,10,0.184644,0.0924274,0.417072,0,0,0,0,0.130724,0.742939,0.366677,0,0,0,0.00069308,0,0.949456,0.605666,0.145107,0.0008986,0.998566,0.190257,0.915559,0.0256472
2200,220,9.16667,52,5,27,20,36,16,0,0,0,10,33.3333,0.030122,0.0120835,0.593427,1.46147,0,10,10,10,0.172452,0.155871,0.420974,0,0,0,0,0.111496,0.671936,0.330815,0,0,0,0.0013769,0,0.935791,0.59722,0.14118,0.000969319,0.998587,0.19239,0.928768,0.0172312
2400,240,10,60,5,27,28,37,23,0,0,0,10,33.3333,0.0279678,0.0146264,0.568992,1.57802,0,10,10,10,0.157983,0.223617,0.422773,0,0,0,0,0.0948088,0.574383,0.30044,0,0,0,0.00221317,0,0.921673,0.588627,0.137392,0.00103063,0.998587,0.193572,0.940237,0.0072512
2600,260,10.8333,68,5,25,38,39,29,0,0,0,10,37.5,0.0260872,0.0182078,0.548495,1.6903,0,10,10,10,0.143491,0.300414,0.423075,0,0,0,0,0.0803952,0.51223,0.274507,0,0,0,0.00432127,0,0.906978,0.580018,0.133708,0.00108384,0.998608,0.194107,0.950219,0.0080489
2800,280,11.6667,76,5,18,53,41,35,0,0,0,10,45.8333,0.0244554,0.0276063,0.519915,1.79818,0,10,10,10,0.129714,0.379512,0.422313,0,0,0,0,0.0680565,0.474085,0.249516,0,0,0,0.0495511,0,0.889367,0.57152,0.129042,0.00113011,0.99865,0.19431,0.958905,0.0105947
3000,300,12.5,81,5,18,58,40,40,1,0,0,9,45.8333,0.0230448,0.0404379,0.481191,1.89845,0,10,10,10,0.11736,0.459509,0.420786,0,0,0,0,0.0576106,0.425082,0.227401,0,0,0,0.223813,0,0.869408,0.563221,0.124427,0.00117045,0.998671,0.194318,0.966454,0.00459911
3200,320,13.3333,86,5,18,63,41,41,4,0,0,9,50,0.0218273,0.0554928,0.449333,1.99144,0,10,10,10,0.106466,0.539507,0.418706,0,0,0,0,0.048758,0.395516,0.208115,0,0,0,0.530654,0,0.847204,0.555187,0.120053,0.00120568,0.998712,0.194175,0.973003,0.0079526
3400,340,14.1667,92,5,21,66,42,43,7,0,0,10,54.1667,0.0207767,0.0836164,0.417561,2.0786,0,10,10,10,0.0969227,0.619505,0.41624,0,0,0,0,0.0411503,0.370732,0.190771,0,0,0,0.797366,0,0.819501,0.547478,0.115736,0.00123651,0.998775,0.193913,0.978679,0.0062105
3600,360,15,100,5,24,71,45,45,10,0,0,9,58.3333,0.0198691,0.118673,0.385702,2.15915,0,10,10,10,0.0887154,0.699504,0.413502,0,0,0,0,0.0346176,0.343282,0.175954,0,0,0,0.797399,0,0.788655,0.54013,0.111852,0.00126351,0.998817,0.193555,0.983592,0.00303381
3800,380,15.8333,105,5,22,78,45,46,14,0,0,9,62.5,0.0190834,0.153838,0.361923,2.23416,0,10,10,10,0.0818977,0.779502,0.410579,0,0,0,0,0.0290787,0.331254,0.163755,0,0,0,0.797426,0,0.75629,0.533154,0.108549,0.00128716,0.998858,0.193121,0.987844,0.00651716
4000,400,16.6667,111,5,20,86,45,49,17,0,0,9,66.6667,0.0184012,0.202387,0.330647,2.30349,0,9,9,9,0.0761584,0.855801,0.407539,0,0,0,0,0.0243675,0.310439,0.15236,0,0,0,0.797473,0,0.718616,0.526549,0.105192,0.00130788,0.998921,0.192623,0.991525,0.00309666
4200,420,17.5,116,5,21,90,47,48,20,1,0,6,66.6667,0.0178067,0.241803,0.304836,2.367,0,8,8,8,0.071736,0.9179,0.404432,0,0,0,0,0.0205099,0.296772,0.143728,0,0,0,0.797574,0,0.680163,0.520309,0.102639,0.00132602,0.998921,0.192076,0.994714,0.00577721
4400,440,18.3333,123,5,21,97,50,50,20,3,0,6,70.8333,0.0172866,0.283114,0.281611,2.42576,0,6,6,6,0.0685458,0.974099,0.40131,0,0,0,0,0.0173925,0.289448,0.136588,0,0,0,0.797683,0,0.639902,0.514413,0.100441,0.00134188,0.998984,0.191487,0.997484,0.00890673
4600,460,19.1667,129,5,23,101,52,50,19,8,0,9,75,0.0168299,0.339982,0.258212,2.48,0,5,5,5,0.0659319,1.01315,0.398217,0,0,0,0,0.0147859,0.270967,0.12936,0,0,0,0.79787,0,0.594038,0.508825,0.0980125,0.00135578,0.999046,0.190866,0.999893,0.00670932
4800,480,20,132,5,22,105,50,54,21,7,0,9,79.1667,0.0164271,0.397839,0.237131,2.52973,0,3,3,3,0.0638677,1.04315,0.395168,0,0,0,0,0.0126581,0.245435,0.122577,0,0,0,0.798084,0,0.544828,0.503503,0.0956036,0.00136798,0.999109,0.190219,1.002,0.00317543
5000,500,20.8333,133,5,15,113,49,57,20,7,0,10,79.1667,0.0160702,0.445005,0.223962,2.57557,0,3,3,3,0.0620216,1.07315,0.392173,0,0,0,0,0.0108149,0.234118,0.116864,0,0,0,0.798254,0,0.494491,0.498416,0.0934945,0.00137869,0.999109,0.189551,1.00384,0.00674939
5200,520,21.6667,0,0,0,0,0,0,0,0,0,9,100,0.0157559,0.498715,0.189969,2.61797,0,0,0,0,0.0601718,1.07345,0.390274,0,0,0,0,0.00914533,0.210455,0.111069,0,0,0,0.798576,0,0.414,0.493545,0.09125,0.00138858,0.999921,0.189003,1.00545,0.00395814
