step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.514289,0.0532476,0,2,0,0,0.0912539,0,0.022017,0,0,0,0,0.296729,0.15442,0.197345,0,0,0,3.20106e-05,0,1,0.968347,0.175772,6.02189e-06,0.958349,0.00952457,0.463113,0.0751683
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0430635,0,0.80516,0.189894,0,4,0,0,0.0911658,0,0.167644,0,0,0,0,0.448221,0.585609,0.202485,0,0,0,3.19758e-05,0,1,0.775665,0.158561,5.17234e-05,0.99842,0.0752922,0.710053,0.160135
600,60,2.5,11,5,5,1,10,1,0,0,10,9,4.16667,0.0490165,8.48457e-05,0.792667,0.344869,0,4,3,0,0.209282,0,0.343944,0,0,0,0,0.530506,0.640113,0.218574,0,0,0,3.1963e-05,0,0.999633,0.654692,0.152899,0.000187115,0.998441,0.15508,0.768589,0.122369
800,80,3.33333,12,5,4,3,9,3,0,0,11,10,12.5,0.0508371,0.00077376,0.687837,0.498882,0,6,6,0,0.259128,0,0.45873,0,0,0,0,0.563723,0.713815,0.399482,0,0,0,3.19503e-05,0,0.995511,0.650643,0.157122,0.000399692,0.998483,0.207255,0.744242,0.1054
1000,100,4.16667,16,5,8,3,13,3,0,0,9,10,12.5,0.0499057,0.0015757,0.653446,0.63336,0,10,10,0,0.285881,0,0.489588,0,0,0,0,0.567645,0.672985,0.459055,0,0,0,3.19375e-05,0,0.989417,0.646505,0.159969,0.000616711,0.998483,0.221611,0.7918,0.0641718
1200,120,5,21,5,10,6,15,6,0,0,7,9,16.6667,0.0473562,0.00256156,0.590125,0.758136,0,10,10,0,0.282146,0,0.489588,0,0,0,0,0.54733,0.585603,0.476267,0,0,0,3.19248e-05,0,0.981363,0.642258,0.16175,0.000797046,0.998504,0.222049,0.826261,0.0320655
1400,140,5.83333,29,5,16,8,21,8,0,0,5,8,20.8333,0.0441428,0.0036858,0.565637,0.873165,0,10,10,0,0.252025,0,0.489588,0,0,0,0,0.500892,0.488311,0.481005,0,0,0,3.1912e-05,0,0.972524,0.637907,0.162547,0.000941635,0.998524,0.222483,0.852525,0.0121491
1600,160,6.66667,35,5,17,13,22,13,0,0,3,9,29.1667,0.0408001,0.0061427,0.522032,0.981676,0,10,10,1,0.221439,0.0147822,0.489588,0,0,0,0,0.449541,0.448068,0.465884,0,0,0,4.69413e-05,0,0.95948,0.633471,0.16167,0.00105754,0.998566,0.222913,0.873828,0.0203831
1800,180,7.5,44,5,20,19,26,18,0,0,1,10,29.1667,0.0376082,0.00871404,0.496325,1.08336,0,10,10,4,0.195034,0.0322775,0.489588,0,0,0,0,0.400112,0.379387,0.441485,0,0,0,0.000169389,0,0.945191,0.62898,0.160394,0.00115218,0.998566,0.223341,0.891824,0.00882967
2000,200,8.33333,52,5,19,28,28,24,0,0,1,9,29.1667,0.0347002,0.0109643,0.476802,1.18199,0,10,10,8,0.177522,0.0695487,0.489588,0,0,0,0,0.349017,0.320573,0.405109,0,0,0,0.000506806,0,0.930903,0.624458,0.159164,0.00123173,0.998566,0.223764,0.907363,0.00350639
2200,220,9.16667,57,5,15,37,28,29,0,0,0,10,37.5,0.0321258,0.0137645,0.476226,1.27791,0,10,10,10,0.168946,0.151095,0.489588,0,0,0,0,0.301608,0.288205,0.373121,0,0,0,0.00154967,0,0.915911,0.619932,0.157758,0.00130088,0.998608,0.224184,0.920902,0.0049205
2400,240,10,64,5,16,43,32,32,0,0,0,8,45.8333,0.0298892,0.0242378,0.436165,1.36975,0,10,10,10,0.15723,0.238593,0.489588,0,0,0,0,0.258647,0.260666,0.342203,0,0,0,0.00312662,0,0.894982,0.615426,0.154636,0.00136292,0.99865,0.224601,0.932713,0.00560669
2600,260,10.8333,71,5,17,49,36,35,0,0,0,9,45.8333,0.0279703,0.0359523,0.428977,1.45621,0,10,10,10,0.146021,0.341227,0.489588,0,0,0,0,0.220521,0.267681,0.315706,0,0,0,0.0940329,0,0.872534,0.61096,0.151528,0.00142014,0.99865,0.225014,0.942989,0.0165119
2800,280,11.6667,78,5,19,54,39,35,4,0,0,8,45.8333,0.0263375,0.0470202,0.407528,1.54006,0,10,10,10,0.135786,0.464073,0.489429,0,0,0,0,0.187714,0.248112,0.293959,0,0,0,0.362449,0,0.849441,0.606544,0.148887,0.00147391,0.998691,0.225351,0.951889,0.00732704
3000,300,12.5,87,5,21,61,42,40,5,0,0,10,50,0.0249512,0.0602572,0.388496,1.61993,0,10,10,10,0.125955,0.599956,0.488709,0,0,0,0,0.15968,0.23613,0.276007,0,0,0,0.797748,0,0.822872,0.602187,0.146591,0.00152449,0.998712,0.225432,0.959561,0.00372352
3200,320,13.3333,94,5,22,67,44,42,8,0,0,7,58.3333,0.0237686,0.0804991,0.360255,1.6953,0,10,10,10,0.116692,0.739952,0.487221,0,0,0,0,0.135877,0.234076,0.258883,0,0,0,0.797678,0,0.792771,0.597891,0.143668,0.00157121,0.998796,0.225189,0.966153,0.00517771
3400,340,14.1667,101,5,23,73,44,45,12,0,0,9,58.3333,0.0227518,0.117894,0.329098,1.76439,0,10,10,10,0.108591,0.87995,0.48509,0,0,0,0,0.115773,0.235032,0.24283,0,0,0,0.797619,0,0.755658,0.593656,0.14039,0.00161335,0.998817,0.224756,0.971814,0.00583711
3600,360,15,111,5,27,79,49,46,16,0,0,7,58.3333,0.0218712,0.147866,0.305063,1.828,0,10,10,10,0.101781,1.01995,0.482384,0,0,0,0,0.0989965,0.226659,0.229765,0,0,0,0.797569,0,0.717833,0.589479,0.137666,0.00165066,0.998817,0.224195,0.976681,0.00270224
3800,380,15.8333,118,5,20,93,48,52,18,0,0,6,66.6667,0.021104,0.190114,0.271488,1.886,0,10,10,10,0.0959994,1.154,0.479167,0,0,0,0,0.0850075,0.217303,0.217099,0,0,0,0.797549,0,0.675038,0.585358,0.134578,0.00168327,0.9989,0.223512,0.980875,0.00128113
4000,400,16.6667,126,5,20,101,50,53,21,2,0,7,75,0.0204322,0.25259,0.238415,1.93728,0,9,9,9,0.0909154,1.27221,0.475615,0,0,0,0,0.0731743,0.207189,0.204516,0,0,0,0.797603,0,0.623505,0.581292,0.131096,0.00171154,0.999046,0.222734,0.984501,0.00181517
4200,420,17.5,132,5,20,107,52,55,20,5,0,6,75,0.0198412,0.319191,0.207985,1.98187,0,7,7,7,0.0866651,1.38552,0.471849,0,0,0,0,0.0632591,0.194399,0.192756,0,0,0,0.797673,0,0.565899,0.577279,0.127593,0.00173587,0.999046,0.221881,0.987647,0.000836815
4400,440,18.3333,139,5,20,114,53,57,21,8,0,8,79.1667,0.0193186,0.370745,0.194271,2.0224,0,5,5,5,0.0830257,1.47871,0.467962,0,0,0,0,0.0549799,0.19488,0.182877,0,0,0,0.797808,0,0.508135,0.573321,0.124558,0.00175669,0.999109,0.220971,0.990387,0.00681091
4600,460,19.1667,142,5,20,117,54,60,20,8,0,7,100,0.0188545,0.429472,0.175271,2.05942,0,5,5,5,0.0799269,1.5487,0.46402,0,0,0,0,0.0477572,0.177155,0.173005,0,0,0,0.798006,0,0.445155,0.569415,0.121293,0.00177441,0.999171,0.220016,0.992783,0.00355911
4800,480,20,0,0,0,0,0,0,0,0,0,6,100,0.0185018,0.495607,0.163749,2.0932,0,3,3,3,0.0769801,1.60838,0.469175,0,0,0,0,0.041301,0.246853,0.163584,0,0,0,0.798189,0,0.309612,0.565568,0.118019,0.00179918,0.999921,0.220335,0.99486,0.0328705
5000,500,20.8333,0,0,0,0,0,0,0,0,0,6,100,0.0182622,0.539921,0.130721,2.12365,0,3,3,3,0.0740768,1.66087,0.47195,0,0,0,0,0.0377386,0.33299,0.155822,0,0,0,0.798331,0,0.190781,0.56178,0.115255,0.00183331,0.999921,0.221586,0.996572,0.0412968
5200,520,21.6667,0,0,0,0,0,0,0,0,0,3,100,0.0180868,0.569613,0.111833,2.14787,0,0,0,0,0.0928507,1.6614,0.474042,0,0,0,0,0.0441424,0.374919,0.149321,0,0,0,0.798602,0,0.0982285,0.558017,0.112868,0.00187085,0.999921,0.222878,0.997944,0.0332273
5400,540,22.5,0,0,0,0,0,0,0,0,0,2,100,0.0179643,0.589508,0.103606,2.16907,0,0,0,0,0.0850722,1.6614,0.475507,0,0,0,0,0.0349674,0.396331,0.1438,0,0,0,0.798803,0,0.0101382,0.55426,0.110766,0.00191131,0.999921,0.223888,0.999022,0.0287635
5600,560,23.3333,0,0,0,0,0,0,0,0,0,5,100,0.0178542,0.602839,0.126321,2.19191,0,0,0,0,0.0788902,1.6614,0.475068,0,0,0,0,0.0278184,0.490815,0.139049,0,0,0,0.798943,0,9.42795e-07,0.550498,0.108885,0.00194901,0.999921,0.224037,0.999869,0.0567407
5800,580,24.1667,0,0,0,0,0,0,0,0,0,5,100,0.0177456,0.611772,0.131762,2.21824,0,0,0,0,0.084714,1.6614,0.474072,0,0,0,0,0.0251621,0.651403,0.134891,0,0,0,0.79901,0,9.42795e-07,0.546717,0.107167,0.00198274,0.999921,0.223931,1.00056,0.0821708
6000,600,25,0,0,0,0,0,0,0,0,0,6,100,0.0176399,0.617757,0.128669,2.24482,0,0,0,0,0.0780626,1.6614,0.472805,0,0,0,0,0.0197824,0.7707,0.131167,0,0,0,0.799026,0,9.42795e-07,0.542897,0.10556,0.00201317,0.999921,0.223699,1.00114,0.0636484
