step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.485949,0.0511298,0,2,0,0,0.091318,0,0.022017,0,0,0,0,0.296729,0.120689,0.229395,0,0,0,3.20047e-05,0,1,0.979633,0.189721,6.02189e-06,0.958349,0.00952457,0.463113,0.059818
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0431057,0,0.799651,0.184363,0,4,0,0,0.0919087,0,0.174829,0,0,0,0,0.448204,0.607337,0.202513,0,0,0,3.19759e-05,0,1,0.806282,0.161633,5.3786e-05,0.99842,0.0785087,0.708494,0.174093
600,60,2.5,11,5,5,1,10,1,0,0,7,10,8.33333,0.0492581,0.00056953,0.645432,0.335649,0,4,4,0,0.253014,0,0.364807,0,0,0,0,0.532031,0.679472,0.218568,0,0,0,3.1963e-05,0,0.997694,0.654702,0.152898,0.000202631,0.998462,0.16451,0.760378,0.124174
800,80,3.33333,12,5,4,3,8,4,0,0,10,8,16.6667,0.0512337,0.00150743,0.518181,0.44775,0,6,6,0,0.303694,0,0.466186,0,0,0,0,0.569842,0.708642,0.395605,0,0,0,3.19503e-05,0,0.991201,0.650658,0.15713,0.00043292,0.998503,0.210678,0.743041,0.0911839
1000,100,4.16667,16,5,5,6,10,6,0,0,6,8,16.6667,0.0501822,0.00251727,0.528668,0.552021,0,10,10,0,0.309549,0,0.48959,0,0,0,0,0.562724,0.616099,0.470713,0,0,0,3.19375e-05,0,0.983035,0.646522,0.159976,0.000648367,0.998503,0.221669,0.790994,0.039916
1200,120,5,20,5,8,7,13,7,0,0,3,10,20.8333,0.0475449,0.00374103,0.531987,0.659374,0,10,10,0,0.30299,0,0.48959,0,0,0,0,0.529292,0.541526,0.48322,0,0,0,3.19248e-05,0,0.97393,0.642279,0.161483,0.000824945,0.998524,0.222106,0.825459,0.023974
1400,140,5.83333,25,5,10,10,15,10,0,0,2,9,25,0.0442749,0.00532094,0.492531,0.76333,0,10,10,0,0.294692,0,0.48959,0,0,0,0,0.494005,0.462893,0.485382,0,0,0,3.1912e-05,0,0.963355,0.637941,0.161893,0.000965793,0.998545,0.222539,0.851811,0.00966198
1600,160,6.66667,31,5,13,13,18,13,0,0,2,9,25,0.0408948,0.00728146,0.449084,0.857526,0,10,10,4,0.284636,0.0473215,0.48959,0,0,0,0,0.450835,0.406868,0.461674,0,0,0,0.000272439,0,0.951107,0.633531,0.161456,0.00107839,0.998545,0.222969,0.873226,0.00704845
1800,180,7.5,38,5,17,16,23,15,0,0,0,10,33.3333,0.0376778,0.00964466,0.440333,0.948554,0,10,10,6,0.275951,0.121492,0.48959,0,0,0,0,0.401859,0.407859,0.420686,0,0,0,0.000876489,0,0.937063,0.629079,0.160308,0.00117024,0.998587,0.223395,0.891332,0.0201684
