step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.496988,0.052427,0,2,0,0,0.0912695,0,0.022017,0,0,0,0,0.118692,0.146568,0.207918,0,0,0,3.20076e-05,0,1,0.972019,0.180369,6.02189e-06,0.958349,0.00952457,0.463113,0.0708174
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.0428588,0,0.803579,0.185836,0,4,0,0,0.0916915,0,0.101378,0,0,0,0,0.179325,0.59753,0.202513,0,0,0,3.19759e-05,0,1,0.807156,0.161721,4.20431e-05,0.972481,0.0453547,0.728653,0.165407
600,60,2.5,10,5,4,1,9,1,0,0,9,10,4.16667,0.0481297,0.00026707,0.940153,0.364221,0,4,4,0,0.187123,0,0.203675,0,0,0,0,0.206244,0.829422,0.223749,0,0,0,3.1963e-05,0,0.999217,0.654693,0.152894,0.000132596,0.998441,0.0916904,0.835211,0.162529
800,80,3.33333,11,5,4,2,9,2,0,0,10,10,12.5,0.0490886,0.000951127,0.895749,0.554241,0,6,6,0,0.247009,0,0.289609,0,0,0,0,0.220238,1.07565,0.391866,0,0,0,3.19503e-05,0,0.99624,0.650548,0.157008,0.000266414,0.998483,0.13072,0.854407,0.175714
1000,100,4.16667,14,5,5,4,11,3,0,0,4,9,12.5,0.047772,0.00173092,0.709581,0.716235,0,10,10,0,0.321312,0,0.349042,0,0,0,0,0.225969,1.05253,0.470541,0,0,0,3.19375e-05,0,0.991636,0.646127,0.15955,0.000419623,0.998483,0.157873,0.837642,0.103248
1200,120,5,18,5,6,7,12,6,0,0,1,10,16.6667,0.0452788,0.00266184,0.580155,0.842726,0,10,10,0,0.341546,0,0.385742,0,0,0,0,0.221585,0.901783,0.482704,0,0,0,3.19248e-05,0,0.985172,0.641295,0.160741,0.000570147,0.998504,0.174801,0.833704,0.0477042
1400,140,5.83333,22,5,9,8,14,8,0,0,1,8,20.8333,0.0422694,0.00419743,0.527823,0.953322,0,10,10,0,0.312535,0,0.408563,0,0,0,0,0.206216,0.747293,0.482206,0,0,0,3.1912e-05,0,0.976277,0.636095,0.160435,0.000705998,0.998524,0.185483,0.858409,0.0173028
1600,160,6.66667,29,5,13,11,18,11,0,0,1,10,25,0.0391504,0.00597476,0.531349,1.05955,0,10,10,4,0.281441,0.0461882,0.422917,0,0,0,0,0.183388,0.655441,0.456395,0,0,0,0.000264506,0,0.966048,0.630542,0.159184,0.000823937,0.998545,0.192353,0.879806,0.0178827
1800,180,7.5,36,5,17,14,23,13,0,0,0,10,25,0.036152,0.00785364,0.525666,1.16575,0,10,10,6,0.247558,0.106182,0.431831,0,0,0,0,0.159958,0.57823,0.414653,0,0,0,0.000717749,0,0.954812,0.624876,0.157589,0.000924768,0.998545,0.196773,0.897609,0.0154085
2000,200,8.33333,48,5,13,30,29,19,0,0,0,10,33.3333,0.0333895,0.0100586,0.50088,1.26898,0,10,10,10,0.22411,0.189502,0.437073,0,0,0,0,0.139165,0.496917,0.379087,0,0,0,0.00159808,0,0.942087,0.619234,0.155625,0.00101061,0.998587,0.199535,0.912817,0.00647439
2200,220,9.16667,55,5,7,43,32,23,0,0,0,10,33.3333,0.0309099,0.0128544,0.48848,1.36783,0,10,10,10,0.209967,0.318421,0.439807,0,0,0,0,0.119941,0.491414,0.348076,0,0,0,0.00324569,0,0.92701,0.613653,0.153165,0.00108382,0.998587,0.201169,0.925997,0.0225876
2400,240,10,59,5,11,43,33,26,0,0,0,9,33.3333,0.0287213,0.0153011,0.47961,1.46529,0,10,10,10,0.189909,0.447938,0.440759,0,0,0,0,0.101411,0.471003,0.322725,0,0,0,0.0326067,0,0.911994,0.608138,0.151071,0.00114654,0.998587,0.202083,0.93749,0.017965
2600,260,10.8333,64,5,13,46,34,30,0,0,0,8,41.6667,0.026809,0.0227726,0.452275,1.55942,0,10,10,10,0.169812,0.580832,0.44035,0,0,0,0,0.0856592,0.431817,0.299295,0,0,0,0.259644,0,0.894347,0.602675,0.148192,0.00120048,0.998629,0.202483,0.947526,0.0107388
2800,280,11.6667,67,5,12,50,32,35,0,0,0,10,50,0.0251478,0.0334312,0.426255,1.64783,0,10,10,10,0.150984,0.715828,0.438914,0,0,0,0,0.0721469,0.398317,0.277931,0,0,0,0.71677,0,0.874763,0.59725,0.144868,0.00124692,0.998671,0.202574,0.956285,0.00807873
3000,300,12.5,75,5,14,56,35,39,1,0,0,10,50,0.0237088,0.0476252,0.396288,1.73016,0,10,10,10,0.134174,0.850826,0.436725,0,0,0,0,0.0606233,0.367351,0.257783,0,0,0,0.796925,0,0.852848,0.591854,0.140988,0.00128689,0.998691,0.202477,0.963916,0.00435296
