step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.45441,0.0502844,0,2,0,0,0.0912698,0,0.022017,0,0,0,0,0.296729,0.131298,0.218749,0,0,0,3.19915e-05,0,1,0.975633,0.185063,1.48704e-07,0.958349,0.00952457,0.463113,0.06308
400,40,1.66667,6,5,1,0,6,0,0,0,9,10,0,0.043078,0,0.682981,0.165842,0,4,0,0,0.0926704,0,0.169772,0,0,0,0,0.448215,0.542803,0.202589,0,0,0,3.19758e-05,0,1,0.890501,0.170086,1.29635e-06,0.99842,0.0762487,0.709528,0.150997
600,60,2.5,10,5,5,0,10,0,0,0,10,7,0,0.049078,0,0.611671,0.298433,0,4,4,0,0.208697,0,0.348325,0,0,0,0,0.527548,0.654011,0.21871,0,0,0,3.1963e-05,0,1,0.716938,0.159178,4.73007e-06,0.99842,0.15706,0.766483,0.123853
800,80,3.33333,13,5,7,1,12,1,0,0,10,9,4.16667,0.0509374,8.02118e-05,0.548373,0.413789,0,6,6,0,0.248231,0,0.463715,0,0,0,0,0.559554,0.699959,0.299665,0,0,0,3.19503e-05,0,0.999496,0.650734,0.157237,1.01148e-05,0.998441,0.209519,0.743951,0.105654
1000,100,4.16667,14,5,8,1,13,1,0,0,6,7,4.16667,0.0499838,0.000369713,0.520746,0.520645,0,10,10,0,0.252276,0,0.489589,0,0,0,0,0.554803,0.618619,0.46126,0,0,0,3.19375e-05,0,0.997455,0.646694,0.160177,1.55293e-05,0.998441,0.221627,0.791585,0.0514075
1200,120,5,15,5,9,1,14,1,0,0,2,9,4.16667,0.0474093,0.000623066,0.482541,0.624667,0,10,10,0,0.249549,0,0.489589,0,0,0,0,0.522899,0.583033,0.485676,0,0,0,3.19248e-05,0,0.995413,0.642584,0.162082,2.00179e-05,0.998441,0.222064,0.826043,0.0406025
1400,140,5.83333,17,5,11,1,16,1,0,0,2,8,4.16667,0.0441799,0.000844783,0.463324,0.719664,0,10,10,0,0.241165,0,0.489589,0,0,0,0,0.483494,0.522447,0.488885,0,0,0,3.1912e-05,0,0.993372,0.638401,0.163213,2.36277e-05,0.998441,0.222498,0.852329,0.0208602
1600,160,6.66667,21,5,13,3,18,3,0,0,0,9,8.33333,0.0408267,0.0013271,0.443752,0.809944,0,10,10,4,0.233937,0.0488166,0.489589,0,0,0,0,0.438933,0.475868,0.468047,0,0,0,0.000282397,0,0.989371,0.634149,0.163765,2.65305e-05,0.998462,0.222929,0.873662,0.0204759
1800,180,7.5,28,5,16,7,21,7,0,0,0,8,16.6667,0.0376277,0.0021456,0.40539,0.895668,0,10,10,6,0.220892,0.12082,0.489589,0,0,0,0,0.394486,0.416987,0.430093,0,0,0,0.000901495,0,0.982726,0.629844,0.1639,2.89066e-05,0.998504,0.223355,0.891688,0.0094054
